arm,period,timeframe_min,side,confirmation_delay_min,events
v7,development,30,-1,0.0,3043
v7,development,30,-1,30.0,310
v7,development,30,1,0.0,3064
v7,development,30,1,30.0,328
v7,development,60,-1,0.0,1584
v7,development,60,-1,60.0,147
v7,development,60,1,0.0,1826
v7,development,60,1,60.0,244
v7,development,240,-1,0.0,547
v7,development,240,-1,240.0,73
v7,development,240,1,0.0,618
v7,development,240,1,240.0,77
v7,validation,30,-1,0.0,4569
v7,validation,30,-1,30.0,730
v7,validation,30,1,0.0,5017
v7,validation,30,1,30.0,757
v7,validation,60,-1,0.0,2379
v7,validation,60,-1,60.0,314
v7,validation,60,1,0.0,2669
v7,validation,60,1,60.0,365
v7,validation,240,-1,0.0,713
v7,validation,240,-1,240.0,128
v7,validation,240,1,0.0,984
v7,validation,240,1,240.0,112
v8,development,30,-1,0.0,2540
v8,development,30,-1,30.0,245
v8,development,30,1,0.0,2583
v8,development,30,1,30.0,260
v8,development,60,-1,0.0,1352
v8,development,60,-1,60.0,122
v8,development,60,1,0.0,1500
v8,development,60,1,60.0,179
v8,development,240,-1,0.0,500
v8,development,240,-1,240.0,64
v8,development,240,1,0.0,511
v8,development,240,1,240.0,60
v8,validation,30,-1,0.0,3872
v8,validation,30,-1,30.0,609
v8,validation,30,1,0.0,4101
v8,validation,30,1,30.0,608
v8,validation,60,-1,0.0,1910
v8,validation,60,-1,60.0,245
v8,validation,60,1,0.0,2147
v8,validation,60,1,60.0,293
v8,validation,240,-1,0.0,621
v8,validation,240,-1,240.0,111
v8,validation,240,1,0.0,807
v8,validation,240,1,240.0,85
