entry_month,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2023-01,11,-6.853867436474158,-31.843698020534976,-75.39254180121574,0.7234699324403884,False,0.2727272727272727,8,0
2023-02,12,-46.997949678480964,-44.32765893394254,-563.9753961417715,0.23930828173633903,False,0.16666666666666666,10,0
2023-03,5,-21.961494626615004,-54.2380077625204,-109.80747313307502,0.68173904753807,False,0.2,4,0
2023-04,12,-0.18134652636915954,-48.94779371028232,-2.1761583164299143,0.9956409330982542,False,0.25,9,0
2023-05,6,18.339640890728536,13.53940716030666,110.0378453443712,1.6924697189868145,False,0.5,3,0
2023-06,9,-3.2239747626466397,-24.708612240131306,-29.015772863819755,0.8960493377775413,False,0.1111111111111111,8,0
2023-07,14,-23.12324225287034,-26.100780980425846,-323.7253915401848,0.31245234313159653,False,0.21428571428571427,11,0
2023-08,10,-7.892107324208196,-18.578424172519682,-78.92107324208196,0.5548097174878671,False,0.1,9,0
2023-09,11,-36.545699975564446,-35.84965470395109,-402.0026997312089,0.01854966371388455,False,0.09090909090909091,10,0
2023-10,9,-41.27700687298107,-34.662332972192125,-371.4930618568296,0.02295964888034892,False,0.1111111111111111,8,0
2023-11,10,-28.444189569318905,-24.084607569167236,-284.44189569318905,0.1746628297959032,False,0.2,8,0
2023-12,12,-16.254883381274073,-17.969282101449835,-195.05860057528886,0.4156444394588086,False,0.25,9,0
2024-01,10,3.5631354990785096,-30.012912284932675,35.6313549907851,1.1072967881943483,False,0.3,7,0
2024-02,9,-39.28815246723076,-47.67499229108794,-353.5933722050768,0.35195344953826674,False,0.1111111111111111,8,0
2024-03,10,22.461988846900056,-6.284281578123867,224.61988846900059,1.673256380121939,False,0.5,5,0
2024-04,9,-37.63339222867482,-44.72906449395384,-338.70053005807335,0.3723007053888148,False,0.3333333333333333,6,0
2024-05,11,-39.07082454362893,-66.831565981309,-429.7790699799182,0.27557437633009146,False,0.18181818181818182,9,0
2024-06,6,-31.303703644808696,-30.859046785035577,-187.82222186885218,0.0,False,0.0,6,0
2024-07,10,-7.604763661919816,-32.995748816543305,-76.04763661919816,0.8159902721397616,False,0.3,7,0
2024-08,12,34.18078818900987,-29.87789220942767,410.1694582681184,2.2646049890358904,False,0.4166666666666667,7,0
2024-09,9,-5.5269630560138845,-34.419064825569315,-49.74266750412496,0.8966377159510045,False,0.2222222222222222,7,0
2024-10,16,-51.94173260149271,-47.163324815366984,-831.0677216238834,0.0,False,0.0,16,0
2024-11,16,-22.4801349426747,-35.69588898973992,-359.6821590827952,0.46619885015390455,False,0.1875,13,0
2024-12,12,6.080554075391359,-59.67537088361669,72.96664890469631,1.113408305865524,False,0.3333333333333333,8,0
