instId,project_symbol,state,settleCcy,ctVal,minSz,listTime,has_15m_400d_fetch
BTC-USDT-SWAP,BTC_USDT_SWAP,live,USDT,0.01,0.01,1573557408000,True
ETH-USDT-SWAP,ETH_USDT_SWAP,live,USDT,0.1,0.01,1573557408000,True
OKB-USDT-SWAP,OKB_USDT_SWAP,live,USDT,0.01,1,1756951200395,True
SOL-USDT-SWAP,SOL_USDT_SWAP,live,USDT,1,0.01,1611298800000,True
DOGE-USDT-SWAP,DOGE_USDT_SWAP,live,USDT,1000,0.01,1587463971000,True
HYPE-USDT-SWAP,HYPE_USDT_SWAP,live,USDT,0.1,1,1740121200506,True
ZEC-USDT-SWAP,ZEC_USDT_SWAP,live,USDT,0.01,1,1762398900578,True
XRP-USDT-SWAP,XRP_USDT_SWAP,live,USDT,100,0.01,1573557408000,True
SUI-USDT-SWAP,SUI_USDT_SWAP,live,USDT,1,1,1683258900891,True
BCH-USDT-SWAP,BCH_USDT_SWAP,live,USDT,0.1,0.1,1573557408000,True
0G-USDT-SWAP,0G_USDT_SWAP,live,USDT,1,1,1758537000238,False
1INCH-USDT-SWAP,1INCH_USDT_SWAP,live,USDT,1,1,1608863400000,False
2Z-USDT-SWAP,2Z_USDT_SWAP,live,USDT,10,1,1759410600649,False
A-USDT-SWAP,A_USDT_SWAP,live,USDT,10,1,1748514600412,False
AAOI-USDT-SWAP,AAOI_USDT_SWAP,live,USDT,1,0.01,1779786000000,False
AAPL-USDT-SWAP,AAPL_USDT_SWAP,live,USDT,1,0.01,1772612100000,False
AAVE-USDT-SWAP,AAVE_USDT_SWAP,live,USDT,0.1,0.1,1607580000000,True
ACH-USDT-SWAP,ACH_USDT_SWAP,live,USDT,100,1,1708590301084,False
ACT-USDT-SWAP,ACT_USDT_SWAP,live,USDT,1,1,1731582000644,False
ACU-USDT-SWAP,ACU_USDT_SWAP,live,USDT,10,1,1769151600000,False
ADA-USDT-SWAP,ADA_USDT_SWAP,live,USDT,100,0.1,1582888608000,True
ADBE-USDT-SWAP,ADBE_USDT_SWAP,live,USDT,1,0.01,1780479000000,False
AERO-USDT-SWAP,AERO_USDT_SWAP,live,USDT,10,1,1751523300260,False
AEVO-USDT-SWAP,AEVO_USDT_SWAP,live,USDT,1,1,1710325520298,False
AGLD-USDT-SWAP,AGLD_USDT_SWAP,live,USDT,1,1,1631008650016,False
AI-USDT-SWAP,AI_USDT_SWAP,live,USDT,100,1,1777464000000,False
AIXBT-USDT-SWAP,AIXBT_USDT_SWAP,live,USDT,10,1,1735887600188,False
ALAB-USDT-SWAP,ALAB_USDT_SWAP,live,USDT,1,0.01,1781600400000,False
ALGO-USDT-SWAP,ALGO_USDT_SWAP,live,USDT,10,1,1587463971000,False
ALLO-USDT-SWAP,ALLO_USDT_SWAP,live,USDT,10,1,1762879500659,False
AMAT-USDT-SWAP,AMAT_USDT_SWAP,live,USDT,1,0.01,1779958800000,False
AMD-USDT-SWAP,AMD_USDT_SWAP,live,USDT,1,0.01,1773223200000,False
AMZN-USDT-SWAP,AMZN_USDT_SWAP,live,USDT,1,0.01,1772091000000,False
ANIME-USDT-SWAP,ANIME_USDT_SWAP,live,USDT,10,1,1737644401356,False
ANTHROPIC-USDT-SWAP,ANTHROPIC_USDT_SWAP,live,USDT,1,0.001,1778146200000,False
APE-USDT-SWAP,APE_USDT_SWAP,live,USDT,0.1,1,1647522059555,True
API3-USDT-SWAP,API3_USDT_SWAP,live,USDT,1,1,1646297716213,False
APLD-USDT-SWAP,APLD_USDT_SWAP,live,USDT,1,0.1,1783330200000,False
APR-USDT-SWAP,APR_USDT_SWAP,live,USDT,10,1,1761285601180,False
APT-USDT-SWAP,APT_USDT_SWAP,live,USDT,1,1,1666142328522,True
AR-USDT-SWAP,AR_USDT_SWAP,live,USDT,0.1,1,1676357700186,False
ARB-USDT-SWAP,ARB_USDT_SWAP,live,USDT,10,0.1,1679580094937,True
ARKM-USDT-SWAP,ARKM_USDT_SWAP,live,USDT,1,1,1732177800122,False
ARM-USDT-SWAP,ARM_USDT_SWAP,live,USDT,1,0.01,1777443300000,False
ARX-USDT-SWAP,ARX_USDT_SWAP,live,USDT,10,1,1782131400000,False
ASML-USDT-SWAP,ASML_USDT_SWAP,live,USDT,1,0.001,1780479900000,False
ASTER-USDT-SWAP,ASTER_USDT_SWAP,live,USDT,1,1,1758517200313,False
ASTS-USDT-SWAP,ASTS_USDT_SWAP,live,USDT,1,0.01,1780398900000,False
