symbol	detail
ISRG_USDT_SWAP	{'source': 'okx', 'symbol': 'ISRG_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.4634, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
ROK_USDT_SWAP	{'source': 'okx', 'symbol': 'ROK_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.4223, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
SONY_USDT_SWAP	{'source': 'okx', 'symbol': 'SONY_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.2748, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
TTMI_USDT_SWAP	{'source': 'okx', 'symbol': 'TTMI_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.2683, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
SHLD_USDT_SWAP	{'source': 'okx', 'symbol': 'SHLD_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.2477, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
XLE_USDT_SWAP	{'source': 'okx', 'symbol': 'XLE_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.2162, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
TWLO_USDT_SWAP	{'source': 'okx', 'symbol': 'TWLO_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.2129, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
USO_USDT_SWAP	{'source': 'okx', 'symbol': 'USO_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1992, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
TSEM_USDT_SWAP	{'source': 'okx', 'symbol': 'TSEM_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1987, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
ONDS_USDT_SWAP	{'source': 'okx', 'symbol': 'ONDS_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1962, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
RIVN_USDT_SWAP	{'source': 'okx', 'symbol': 'RIVN_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1918, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
OSCR_USDT_SWAP	{'source': 'okx', 'symbol': 'OSCR_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1855, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
SOFTBANK_USDT_SWAP	{'source': 'okx', 'symbol': 'SOFTBANK_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1828, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
TER_USDT_SWAP	{'source': 'okx', 'symbol': 'TER_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1765, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
RDDT_USDT_SWAP	{'source': 'okx', 'symbol': 'RDDT_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1744, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
ZHIPU_USDT_SWAP	{'source': 'okx', 'symbol': 'ZHIPU_USDT_SWAP', 'n_gaps': 0, 'zero_vol_share': 0.1688, 'spike_bars': 0, 'ohlc_bad': 0, 'reasons': 'zero_vol>0.02'}
