source,symbol,signal_time,detected_at,status,score,threshold,model_path,dataset_sha256,signal_i,entry_time,entry_price,maker_filled,outcome,label,exit_offset,exit_time,realized_ret,atr_pct,dense_run_len,tier,size_mult,side,protocol_version,strategy_id,feature_semantics,decision_at,execution_eligible,model_sha256,detector_sha256,candidate_detected_at,signal_closed_at,entry_mode,entry_status,entry_requested_at,fill_source,fill_at,fill_px,reference_px,research_status,research_outcome,research_label,research_exit_offset,research_exit_time,research_gross_ret,actual_outcome,actual_exit_at,actual_exit_px,actual_realized_ret,actual_return_semantics,return_convention,target_ret_column,target_semantics,target_cost_included,reporting_route
okx,LRC_USDT_SWAP,2026-07-13 06:00:00+00:00,2026-08-07T07:10:57.235980+00:00,closed,0.4498710036277771,0.3,analysis/output/w20_overnight/cycle_hardneg_c1/weights/best.pt,w20_midbox_hardneg_shadow,467,2026-07-13 06:15:00+00:00,0.01138,True,sl,0,0,2026-07-13 06:15:00+00:00,-0.027491840321365757,0.013745920160682908,,,1.0,long,w20_midbox_shadow_detector_only_20260807,w20_midbox_hardneg_shadow,detector_conf_only,2026-08-07T07:10:57.235983+00:00,False,,e2e8933e4bc6fd787cbb7e0a699fb6d69c2c3ced282acec2c6c385048f989d18,2026-08-07T07:10:57.235939+00:00,2026-07-13 06:00:00+00:00,next_open_research,paper_filled,,research_next_open,2026-07-13 06:15:00+00:00,0.01138,0.01138,closed,sl,0,,,,,,,,,,,,,
okx,UP_USDT_SWAP,2026-07-31 06:45:00+00:00,2026-08-07T08:53:11.107982+00:00,closed,0.3387378454208374,0.3,analysis/output/w20_overnight/cycle_hardneg_c1/weights/best.pt,w20_midbox_hardneg_shadow,293,2026-07-31 07:00:00+00:00,0.3152,True,tp,1,13,2026-07-31 10:15:00+00:00,0.036258158085569425,0.007251631617113857,,,1.0,long,w20_midbox_shadow_detector_only_20260807,w20_midbox_hardneg_shadow,detector_conf_only,2026-08-07T08:53:11.107986+00:00,False,,e2e8933e4bc6fd787cbb7e0a699fb6d69c2c3ced282acec2c6c385048f989d18,2026-08-07T08:53:11.107933+00:00,2026-07-31 06:45:00+00:00,next_open_research,paper_filled,,research_next_open,2026-07-31 07:00:00+00:00,0.3152,0.3152,closed,tp,1,,,,,,,,,,,,,
okx,KAITO_USDT_SWAP,2026-07-31 12:30:00+00:00,2026-08-07T06:58:17.245949+00:00,closed,0.3851493299007416,0.3,analysis/output/w20_overnight/cycle_hardneg_c1/weights/best.pt,w20_midbox_hardneg_shadow,317,2026-07-31 12:45:00+00:00,1.082,True,sl,0,36,2026-07-31 21:45:00+00:00,-0.027435965143913443,0.013717982571956706,,,1.0,long,w20_midbox_shadow_detector_only_20260807,w20_midbox_hardneg_shadow,detector_conf_only,2026-08-07T06:58:17.245953+00:00,False,,e2e8933e4bc6fd787cbb7e0a699fb6d69c2c3ced282acec2c6c385048f989d18,2026-08-07T06:58:17.245892+00:00,2026-07-31 12:30:00+00:00,next_open_research,paper_filled,,research_next_open,2026-07-31 12:45:00+00:00,1.082,1.082,closed,sl,0,,,,,,,,,,,,,
okx,QCOM_USDT_SWAP,2026-07-31 14:15:00+00:00,2026-08-07T07:58:47.009571+00:00,closed,0.382750540971756,0.3,analysis/output/w20_overnight/cycle_hardneg_c1/weights/best.pt,w20_midbox_hardneg_shadow,324,2026-07-31 14:30:00+00:00,149.14,True,timeout,0,71,2026-08-01 08:15:00+00:00,-0.012203298913772254,0.011523209256882291,,,1.0,long,w20_midbox_shadow_detector_only_20260807,w20_midbox_hardneg_shadow,detector_conf_only,2026-08-07T07:58:47.009576+00:00,False,,e2e8933e4bc6fd787cbb7e0a699fb6d69c2c3ced282acec2c6c385048f989d18,2026-08-07T07:58:47.009159+00:00,2026-07-31 14:15:00+00:00,next_open_research,paper_filled,,research_next_open,2026-07-31 14:30:00+00:00,149.14,149.14,closed,timeout,0,,,,,,,,,,,,,
okx,BNB_USDT_SWAP,2026-07-31 15:15:00+00:00,2026-08-07T06:06:13.036451+00:00,closed,0.3069402277469635,0.3,analysis/output/w20_overnight/cycle_hardneg_c1/weights/best.pt,w20_midbox_hardneg_shadow,329,2026-07-31 15:30:00+00:00,584.3,True,timeout,0,71,2026-08-01 09:15:00+00:00,0.0008557247989047223,0.003924109434977143,,,1.0,long,w20_midbox_shadow_detector_only_20260807,w20_midbox_hardneg_shadow,detector_conf_only,2026-08-07T06:06:13.036455+00:00,False,,e2e8933e4bc6fd787cbb7e0a699fb6d69c2c3ced282acec2c6c385048f989d18,2026-08-07T06:06:13.036400+00:00,2026-07-31 15:15:00+00:00,next_open_research,paper_filled,,research_next_open,2026-07-31 15:30:00+00:00,584.3,584.3,closed,timeout,0,,,,,,,,,,,,,
okx,RESOLV_USDT_SWAP,2026-07-31 15:15:00+00:00,2026-08-07T08:05:22.837098+00:00,closed,0.4499363601207733,0.3,analysis/output/w20_overnight/cycle_hardneg_c1/weights/best.pt,w20_midbox_hardneg_shadow,327,2026-07-31 15:30:00+00:00,0.01569,True,timeout,0,71,2026-08-01 09:15:00+00:00,0.014021669853409913,0.007966857871255568,,,1.0,long,w20_midbox_shadow_detector_only_20260807,w20_midbox_hardneg_shadow,detector_conf_only,2026-08-07T08:05:22.837103+00:00,False,,e2e8933e4bc6fd787cbb7e0a699fb6d69c2c3ced282acec2c6c385048f989d18,2026-08-07T08:05:22.837001+00:00,2026-07-31 15:15:00+00:00,next_open_research,paper_filled,,research_next_open,2026-07-31 15:30:00+00:00,0.01569,0.01569,closed,timeout,0,,,,,,,,,,,,,
okx,MEW_USDT_SWAP,2026-07-31 16:45:00+00:00,2026-08-07T07:18:09.747843+00:00,closed,0.33742910623550415,0.3,analysis/output/w20_overnight/cycle_hardneg_c1/weights/best.pt,w20_midbox_hardneg_shadow,334,2026-07-31 17:00:00+00:00,0.0003336,True,sl,0,9,2026-07-31 19:15:00+00:00,-0.012033230558410435,0.006016615279205191,,,1.0,long,w20_midbox_shadow_detector_only_20260807,w20_midbox_hardneg_shadow,detector_conf_only,2026-08-07T07:18:09.747850+00:00,False,,e2e8933e4bc6fd787cbb7e0a699fb6d69c2c3ced282acec2c6c385048f989d18,2026-08-07T07:18:09.747450+00:00,2026-07-31 16:45:00+00:00,next_open_research,paper_filled,,research_next_open,2026-07-31 17:00:00+00:00,0.0003336,0.0003336,closed,sl,0,,,,,,,,,,,,,
okx,FLOW_USDT_SWAP,2026-07-31 17:00:00+00:00,2026-08-07T06:35:29.568271+00:00,closed,0.36477258801460266,0.3,analysis/output/w20_overnight/cycle_hardneg_c1/weights/best.pt,w20_midbox_hardneg_shadow,336,2026-07-31 17:15:00+00:00,0.02802,True,tp,1,3,2026-07-31 18:00:00+00:00,0.036963393494442665,0.007392678698888531,,,1.0,long,w20_midbox_shadow_detector_only_20260807,w20_midbox_hardneg_shadow,detector_conf_only,2026-08-07T06:35:29.568275+00:00,False,,e2e8933e4bc6fd787cbb7e0a699fb6d69c2c3ced282acec2c6c385048f989d18,2026-08-07T06:35:29.568209+00:00,2026-07-31 17:00:00+00:00,next_open_research,paper_filled,,research_next_open,2026-07-31 17:15:00+00:00,0.02802,0.02802,closed,tp,1,,,,,,,,,,,,,
okx,SOFTBANK_USDT_SWAP,2026-07-31 20:45:00+00:00,2026-08-07T08:24:26.512680+00:00,closed,0.49995744228363037,0.3,analysis/output/w20_overnight/cycle_hardneg_c1/weights/best.pt,w20_midbox_hardneg_shadow,349,2026-07-31 21:00:00+00:00,31.46,True,sl,0,9,2026-07-31 23:15:00+00:00,-0.013758968304422803,0.006879484152211427,,,1.0,long,w20_midbox_shadow_detector_only_20260807,w20_midbox_hardneg_shadow,detector_conf_only,2026-08-07T08:24:26.512683+00:00,False,,e2e8933e4bc6fd787cbb7e0a699fb6d69c2c3ced282acec2c6c385048f989d18,2026-08-07T08:24:26.512616+00:00,2026-07-31 20:45:00+00:00,next_open_research,paper_filled,,research_next_open,2026-07-31 21:00:00+00:00,31.46,31.46,closed,sl,0,,,,,,,,,,,,,
okx,BEAT_USDT_SWAP,2026-08-01 01:30:00+00:00,2026-08-07T06:00:58.577390+00:00,closed,0.37725386023521423,0.3,analysis/output/w20_overnight/cycle_hardneg_c1/weights/best.pt,w20_midbox_hardneg_shadow,370,2026-08-01 01:45:00+00:00,4.3478,True,tp,1,34,2026-08-01 10:15:00+00:00,0.09224698205332094,0.0184493964106642,,,1.0,long,w20_midbox_shadow_detector_only_20260807,w20_midbox_hardneg_shadow,detector_conf_only,2026-08-07T06:00:58.577393+00:00,False,,e2e8933e4bc6fd787cbb7e0a699fb6d69c2c3ced282acec2c6c385048f989d18,2026-08-07T06:00:58.577320+00:00,2026-08-01 01:30:00+00:00,next_open_research,paper_filled,,research_next_open,2026-08-01 01:45:00+00:00,4.3478,4.3478,closed,tp,1,,,,,,,,,,,,,
