symbol,events,symbols,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_net_r,median_hold_bars,p95_net_bp,max_net_bp,positive_symbol_share,runner_armed_share,banked_any_share,top_score_decile_events,top_score_decile_mean_net_bp,week_clusters,week_cluster_signflip_p,mean_capped_net_r,median_net_r,p95_raw_net_r
AVAX,1,1,-1124.543307585002,-1144.543307585002,-1144.543307585002,0.0,0.0,-1.0177849975764406,11.0,-1144.543307585002,-1144.543307585002,0.0,0.0,0.0,1,-1144.543307585002,1,1.0,-1.0177849975764406,-1.0177849975764406,-1.0177849975764406
CRV,2,1,-1374.2217631641568,-1394.2217631641568,-1394.2217631641568,0.0,0.0,-1.0148120972768098,12.5,-1230.8631964133915,-1212.7122445521954,0.0,0.0,0.0,1,-1212.7122445521954,2,1.0,-1.0148120972768098,-1.0148120972768098,-1.0130513312588556
DOGE,1,1,-630.0813008130079,-650.0813008130079,-650.0813008130079,0.0,0.0,-0.48554659597392175,29.0,-650.0813008130079,-650.0813008130079,0.0,0.0,0.0,1,-650.0813008130079,1,1.0,-0.48554659597392175,-0.48554659597392175,-0.48554659597392175
DOT,1,1,-984.4747855529213,-1004.4747855529213,-1004.4747855529213,0.0,0.0,-1.020315400956427,5.0,-1004.4747855529213,-1004.4747855529213,0.0,0.0,0.0,1,-1004.4747855529213,1,1.0,-1.020315400956427,-1.020315400956427,-1.020315400956427
HYPE,1,1,-1266.4924674989509,-1286.4924674989509,-1286.4924674989509,0.0,0.0,-0.7299199337484592,24.0,-1286.4924674989509,-1286.4924674989509,0.0,0.0,0.0,1,-1286.4924674989509,1,1.0,-0.7299199337484592,-0.7299199337484592,-0.7299199337484592
NEAR,1,1,-648.1481481481488,-668.1481481481488,-668.1481481481488,0.0,0.0,-0.46671979458518953,3.0,-668.1481481481488,-668.1481481481488,0.0,0.0,0.0,1,-668.1481481481488,1,1.0,-0.46671979458518953,-0.46671979458518953,-0.46671979458518953
ORDI,2,1,-1148.911766601074,-1168.911766601074,-1168.911766601074,0.0,0.0,-0.732841592914222,17.5,-861.152046225325,-826.9565217391306,0.0,0.0,0.0,1,-826.9565217391306,2,1.0,-0.732841592914222,-0.732841592914222,-0.48032551504229976
PI,1,1,-997.9261231201542,-1017.9261231201542,-1017.9261231201542,0.0,0.0,-1.0200415637356675,7.0,-1017.9261231201542,-1017.9261231201542,0.0,0.0,0.0,1,-1017.9261231201542,1,1.0,-1.0200415637356675,-1.0200415637356675,-1.0200415637356675
SAND,2,1,17.791915758474943,-2.2080842415250768,-2.2080842415250768,0.5,0.995986419875425,-0.1137628917412582,23.5,986.080531135882,1095.8903772889273,0.0,0.0,0.0,1,1095.8903772889273,2,0.8,-0.1137628917412582,-0.1137628917412582,0.7005124430560061
UNI,1,1,-821.1444701052084,-841.1444701052085,-841.1444701052085,0.0,0.0,-0.6003327416757985,8.0,-841.1444701052085,-841.1444701052085,0.0,0.0,0.0,1,-841.1444701052085,1,1.0,-0.6003327416757985,-0.6003327416757985,-0.6003327416757985
VIRTUAL,1,1,110.50537792839377,90.50537792839377,90.50537792839377,1.0,inf,0.06732510983881307,20.0,90.50537792839377,90.50537792839377,1.0,0.0,0.0,1,90.50537792839377,1,0.6666666666666666,0.06732510983881307,0.06732510983881307,0.06732510983881307
ZRO,1,1,-1682.6455832542053,-1702.6455832542053,-1702.6455832542053,0.0,0.0,-1.0118860443334243,10.0,-1702.6455832542053,-1702.6455832542053,0.0,0.0,0.0,1,-1702.6455832542053,1,1.0,-1.0118860443334243,-1.0118860443334243,-1.0118860443334243
