stage,factor,value,params_key,stop_policy,bank_schedule,trail_reference,runner_buffer_atr,events,symbols,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_net_r,median_hold_bars,p95_net_bp,max_net_bp,positive_symbol_share,runner_armed_share,banked_any_share,top_score_decile_events,top_score_decile_mean_net_bp,week_clusters,week_cluster_signflip_p,mean_capped_net_r,median_net_r,p95_raw_net_r,positive_folds,total_folds,minimum_fold_events,robust_score_r,eligible,portfolio_candidate_events,portfolio_accepted_events,portfolio_capacity_rejections,portfolio_total_return,portfolio_closed_equity_max_drawdown,portfolio_maximum_concurrent_positions,portfolio_maximum_open_initial_risk_fraction,stage_selected
1,stop_policy,wick_structure,de9aeceb1c59,wick_structure,v1_tail80,slow,1.25,49,30,-77.90891944275823,-97.90891944275826,-466.4608133608772,0.16326530612244897,0.7767051315274491,-0.3600282889380546,5.0,2489.2584181837897,4292.802632696148,0.2,0.30612244897959184,0.3877551020408163,5,1279.578319539287,31,0.5704742952570474,-0.3600282889380546,-1.0266255219570417,2.949705585132405,2,6,4,-1.1645281442902606,True,49,49,0,-0.08635173665670481,-0.11688686860266018,4,0.02,False
1,stop_policy,wick_floor_1_0,4069eaceda87,wick_floor_1_0,v1_tail80,slow,1.25,56,31,-76.58934773122004,-96.58934773122003,-550.7282798002589,0.25,0.8029612731785825,-0.26601952687429,8.0,2487.142378706321,4292.802632696148,0.25806451612903225,0.375,0.4642857142857143,6,879.9205834344647,34,0.5727642723572764,-0.26601952687429,-1.019884410208113,2.8160060169899626,2,6,7,-0.6997745890150795,True,56,56,0,-0.07310515349124225,-0.09375723761049115,5,0.02510429931570192,False
1,stop_policy,wick_floor_1_5,fb51ff41c11c,wick_floor_1_5,v1_tail80,slow,1.25,55,31,-179.94406410491715,-199.94406410491717,-839.8552171786932,0.3090909090909091,0.7146523585546941,-0.1883509255268413,13.0,2607.6466215983705,4292.802632696148,0.3225806451612903,0.34545454545454546,0.38181818181818183,6,734.7346749920063,33,0.6736232637673624,-0.1883509255268413,-1.0159209479616802,3.068744950463351,2,6,7,-0.8157109949404769,True,55,55,0,-0.05229577521084894,-0.1028718703471061,5,0.025124482884233395,False
1,stop_policy,close_structure_hard_2_0,b828f4b54869,close_structure_hard_2_0,v1_tail80,slow,1.25,55,31,-36.471073684194465,-56.471073684194465,-613.5854475825764,0.2,0.9029512324498058,-0.13657164584016573,7.0,3289.5702243867013,8186.32081015158,0.2903225806451613,0.23636363636363636,0.2727272727272727,6,832.7955909025619,33,0.5957240427595724,-0.13657164584016573,-0.46079141489144376,2.3373546643527985,2,6,6,-0.43411861724594525,True,55,55,0,-0.03759638536965537,-0.051428126482132575,6,0.03008683519185768,False
1,stop_policy,close_all_hard_2_0,4e06c75ae877,close_all_hard_2_0,v1_tail80,slow,1.25,55,31,-164.72311855339254,-184.72311855339254,-619.9803285138183,0.16363636363636364,0.6976513447604186,-0.2273440774143053,7.0,2888.8582396846414,8186.32081015158,0.25806451612903225,0.23636363636363636,0.2727272727272727,6,668.9710802051844,33,0.8562114378856212,-0.2273440774143053,-0.4809657009568492,1.4772709984803893,2,6,6,-0.5230850979090876,True,55,55,0,-0.06120155092939816,-0.0635587125159579,6,0.03008683519185769,False
1,stop_policy,two_close_all_hard_2_0,6d22191b5fdb,two_close_all_hard_2_0,v1_tail80,slow,1.25,54,31,-27.368465584457695,-47.36846558445772,-765.3860683894881,0.2777777777777778,0.9357755968166905,-0.0540344837520486,17.5,3406.7916046795854,8186.32081015158,0.3870967741935484,0.3333333333333333,0.3333333333333333,6,478.6968130218361,32,0.6222737772622273,-0.0540344837520486,-0.545686982901841,2.5953055701148786,3,6,6,-0.37985226225683516,True,54,54,0,-0.015804089854740577,-0.06560188418901558,6,0.030154264587108508,True
2,bank_schedule,v1_tail80,6d22191b5fdb,two_close_all_hard_2_0,v1_tail80,slow,1.25,54,31,-27.368465584457695,-47.36846558445772,-765.3860683894881,0.2777777777777778,0.9357755968166905,-0.0540344837520486,17.5,3406.7916046795854,8186.32081015158,0.3870967741935484,0.3333333333333333,0.3333333333333333,6,478.6968130218361,32,0.6222737772622273,-0.0540344837520486,-0.545686982901841,2.5953055701148786,3,6,6,-0.37985226225683516,True,54,54,0,-0.015804089854740577,-0.06560188418901558,6,0.030154264587108508,True
2,bank_schedule,balanced_tail45,e0ea45a4a73e,two_close_all_hard_2_0,balanced_tail45,slow,1.25,54,31,1.9825927829547,-18.01740721704532,-720.8643827513239,0.2962962962962963,0.9732626174734179,-0.045452856093279884,17.5,3238.638646006511,6213.933756481169,0.3870967741935484,0.3333333333333333,0.4074074074074074,6,705.726497078601,32,0.5439445605543944,-0.045452856093279884,-0.4972603070179641,2.188535413457406,2,6,6,-0.3701846674257986,True,54,54,0,-0.013313876249612777,-0.057682766819347364,6,0.030123706101269004,False
2,bank_schedule,protected_tail30,fc87b4d6059d,two_close_all_hard_2_0,protected_tail30,slow,1.25,54,31,10.367821034225159,-9.63217896577484,-631.8992385862409,0.3333333333333333,0.9851841313043657,-0.04543918156954402,17.5,2902.2283694095604,5230.043732074741,0.45161290322580644,0.3333333333333333,0.4074074074074074,6,788.6516150707838,32,0.5105748942510575,-0.04543918156954402,-0.4319969083778442,1.9581853422494637,2,6,6,-0.36408923332903675,True,54,54,0,-0.013239714214183684,-0.054504724416173156,6,0.030108473027555156,False
3,trail_reference,slow,6d22191b5fdb,two_close_all_hard_2_0,v1_tail80,slow,1.25,54,31,-27.368465584457695,-47.36846558445772,-765.3860683894881,0.2777777777777778,0.9357755968166905,-0.0540344837520486,17.5,3406.7916046795854,8186.32081015158,0.3870967741935484,0.3333333333333333,0.3333333333333333,6,478.6968130218361,32,0.6222737772622273,-0.0540344837520486,-0.545686982901841,2.5953055701148786,3,6,6,-0.37985226225683516,True,54,54,0,-0.015804089854740577,-0.06560188418901558,6,0.030154264587108508,True
