fold,events,symbols,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,mean_net_r,median_hold_bars,p95_net_bp,max_net_bp,positive_symbol_share,runner_armed_share,banked_any_share,top_score_decile_events,top_score_decile_mean_net_bp,week_clusters,week_cluster_signflip_p,mean_capped_net_r,median_net_r,p95_raw_net_r
2025Q3,5,5,-903.5624248664665,-923.5624248664665,-1004.4747855529213,0.0,0.0,-0.7955716392144065,5.0,-699.9098228663452,-668.1481481481488,0.0,0.0,0.0,1,-668.1481481481488,3,1.0,-0.7955716392144065,-1.0185132637382186,-0.4551584973622624
2025Q4,0,0,,,,,,,,,,,,,0,,0,,,,
2026P1,10,9,-853.7821911830384,-873.7821911830384,-1178.6277760685987,0.2,0.11954551935681743,-0.6030196930539062,20.5,643.467127576686,1095.8903772889273,0.2222222222222222,0.0,0.0,1,-1702.6455832542053,6,1.0,-0.6030196930539062,-0.8709029890409418,0.4653394135681013
