symbol,path,source_rows_read,source_prefix_sha256,source_days_seen,complete_days,discarded_days,discarded_wrong_count,discarded_duplicate,discarded_off_grid,first_daily_bar,last_daily_bar,daily_prefix_sha256,eligible_minimum_history,phase_source_status,holdout_rows_read
AAVE,data/kline_deep/okx_AAVE_USDT_SWAP_15m_158499.csv,151527,7f8fc0ef1b79386794b2a2c6b15078d4e6e89fcfd9e091dee51379efabc35120,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,43efca6523635bda6d3c0a021284cc6009b680a4d3e4f0f7a674ad049bd51599,True,eligible,0
ADA,data/kline_deep/okx_ADA_USDT_SWAP_15m_158499.csv,151527,b234c16ee2b431fbb4f2d6b6b5b18dd3b315ddea7167aee0508680e99cee9b71,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,db09c5a7f72dbbcac78f57a0389164505bac2024ad6074b2f209764584fe3997,True,eligible,0
APE,data/kline_deep/okx_APE_USDT_SWAP_15m_151496.csv,144524,9702a7b757d9d40e739a4f4e10bc0f077609ba6880234fcb674623f7d185e6da,1506,1505,1,1,0,0,2022-03-18 00:00:00+00:00,2026-04-30 00:00:00+00:00,f4f202f0a2998d2f0005a130d0df250e2c223490e6eacceedf94ba48fce3f55b,True,eligible,0
APT,data/kline_deep/okx_APT_USDT_SWAP_15m_130807.csv,123835,de45d7cda630231d4d1d3680a76dd7eab054890077bea1fe17b00cb8a0fab239,1290,1289,1,1,0,0,2022-10-20 00:00:00+00:00,2026-04-30 00:00:00+00:00,b7a1da220334443f56a08c54306c206a31dce9b51383d2e0679625bbc250cfa8,True,eligible,0
ARB,data/kline_deep/okx_ARB_USDT_SWAP_15m_115876.csv,108904,ffb1e55f922909c4f410de5d023b39f7be9b9ded163607149aee7f7517c1f5d9,1135,1134,1,1,0,0,2023-03-24 00:00:00+00:00,2026-04-30 00:00:00+00:00,9764a7e192e8b0bea72e79aa8b6020b5b4f1e16b5f65b16ff0d6a376881efc39,True,eligible,0
ATOM,data/kline_deep/okx_ATOM_USDT_SWAP_15m_158499.csv,151527,7975473e6363faf6719e6f46289aefd92ad1650274ce6464d632d2509e562073,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,7ee49c577d77289b2a52bf0a446640c2bbaac48566844fcd8c57c879a6ab8be6,True,eligible,0
AVAX,data/kline_deep/okx_AVAX_USDT_SWAP_15m_158499.csv,151527,d061a09909c83c92ddc8579a74eda69061f4d04b68d57d2cf85dbbd5d4218df5,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,9682d959908eeb495ccdaa9b619599367aaaabe0743b696ea4817e23f13b20cf,True,eligible,0
BCH,data/kline_deep/okx_BCH_USDT_SWAP_15m_158499.csv,151527,326434c3ed27e6141c2179b90cfe9bb0938727771fe0e077a8ad23905208ef6a,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,59918b2e0b8ac37980c3cc7e0c910d34edf19c88dffa30f7d7105819dec7cf19,True,eligible,0
BNB,data/kline_deep/okx_BNB_USDT_SWAP_15m_124547.csv,117573,d59a877f184e7f611c915d6031526e6ebdf5398f68a2cd55d3dad5d58db9a40b,1225,1224,1,1,0,0,2022-12-24 00:00:00+00:00,2026-04-30 00:00:00+00:00,41be2986676ff2a2c23050b4ce8a1beee30cfe1f960260432835c8cd13334eea,True,eligible,0
CFX,data/kline_deep/okx_CFX_USDT_SWAP_15m_158499.csv,151524,a75c71858e967a7f5d06c1ff08953a448d119f45a4323c05181a340570e672da,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,72cf9e9a63d1497264c0e723345c218a6d6df0e081d092a35b0eed18aa10ddc3,True,eligible,0
CHZ,data/kline_deep/okx_CHZ_USDT_SWAP_15m_158499.csv,151524,c638b107830384c798df6915d73adde4110a5d22376d1e251cc1020bfb46d724,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,45ca35699f7cabffe4bb200fce6fae4ad09b5b3dfc05b260d06f825d9c6eecbd,True,eligible,0
CRV,data/kline_deep/okx_CRV_USDT_SWAP_15m_158499.csv,151524,9f1e8e587f96bc6324e1f4b0421ccdaefe3634ccdf1b843051df2cd929efe4e6,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,c16e660c6a94d3d575dca0c110ee4fcdfcb8b2479393d4fb3a5382f0f7f3d32b,True,eligible,0
DOGE,data/kline_deep/okx_DOGE_USDT_SWAP_15m_158499.csv,151524,29c00cca1b676aee9ef1c8747c4d7df7d6a4c12272a43ae42d46da29f88caa15,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,3d7bc821a870c9d9eeed8cce03ae4ac8c690ce2ba23b42366448ed066a05c455,True,eligible,0
DOT,data/kline_deep/okx_DOT_USDT_SWAP_15m_158499.csv,151524,9eb2c49617d8825a903586c61f1bc5335cbcb868fd2fe46f58765d3e5cd28902,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,911e52de0408256cbae81d51a755be011701e5304a5e7a7f7215305799063126,True,eligible,0
EIGEN,data/kline_deep/okx_EIGEN_USDT_SWAP_15m_62341.csv,55366,0543f2544d385cda1c0efafb8d791d1d58fc3ca76579f4ca8bd3f406af8b46ec,577,576,1,1,0,0,2024-10-02 00:00:00+00:00,2026-04-30 00:00:00+00:00,4a963cb4bc6642d58ebc727c6d205baa3c6f530eb10dfa8c9b19cbf7df6f5da7,True,eligible,0
ENA,data/kline_deep/okx_ENA_USDT_SWAP_15m_28642.csv,21666,393b2d1678520854c8ffe422b66d9ba3ce326d07bc8df8589fce605460c43273,226,225,1,1,0,0,2025-09-18 00:00:00+00:00,2026-04-30 00:00:00+00:00,26c4ce79f41a22e51a2fe50557c681adfadbe24aec68e1bc3cfff9297e13edb3,True,eligible,0
ETC,data/kline_deep/okx_ETC_USDT_SWAP_15m_158499.csv,151523,e68f357471bb2ebba2deb96a0c605f65bba6adb8b8bcbc8ee5b954a4ee100e86,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,036bb7c8921561c46009df095098e6ba2fc4b04d165159c84fc23ecb104cc96d,True,eligible,0
ETHFI,data/kline_deep/okx_ETHFI_USDT_SWAP_15m_81231.csv,74255,eb9a6f4b205a6280095b9495efaf8e9473c32763a0b28231499c78d97d57a16d,774,773,1,1,0,0,2024-03-19 00:00:00+00:00,2026-04-30 00:00:00+00:00,ddb67fa633b691f10186d26e5b2084481d870e6491a68a93183a16ffaf4268a8,True,eligible,0
FIL,data/kline_deep/okx_FIL_USDT_SWAP_15m_158499.csv,151522,bf99f51b8d23e89a730d4d7834e961e3caff60d087cd83aeb7ce1ef729eb2a8f,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,120708f496976a30bc79e7051543f7de767c152e535a744e71c8797ffceb55f1,True,eligible,0
GALA,data/kline_deep/okx_GALA_USDT_SWAP_15m_158499.csv,151522,45f1ff24f7cb778b54d878965836fbeb0c106d8aee31b51d837b5399b7f80e89,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,f16c05ad1339353447dcc9747d9f33e836a0d097faa7a599ebe93982e74d76f5,True,eligible,0
GRT,data/kline_deep/okx_GRT_USDT_SWAP_15m_158499.csv,151522,0b8929143f8a018fb3accb9524cbc3a10dcd83e4fc06ad6ce0b433ebf15aabdb,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,a8f0b672874f2c106f71813ffd45484ffa2d8e9c7a341aae7337693125ecb549,True,eligible,0
HBAR,data/kline_deep/okx_HBAR_USDT_SWAP_15m_101898.csv,94921,30476443f4dc0bdb854073c3752065714808a057ba8e3143f15b428798b94dc8,989,988,1,1,0,0,2023-08-17 00:00:00+00:00,2026-04-30 00:00:00+00:00,cc9ab4d3ce6de72115b87b86b7da70e1f8c6f173bf7a4ced01bdf0f3374e3e03,True,eligible,0
HYPE,data/kline_deep/okx_HYPE_USDT_SWAP_15m_48613.csv,41636,709b690d455b8a79621ea14bd8e39cb449d20e2fd766be771c134db7e5298c12,434,433,1,1,0,0,2025-02-22 00:00:00+00:00,2026-04-30 00:00:00+00:00,c66d50d9e39f8febe493704fec730f2be04d9759b2ea27f6667d44ba523d4c92,True,eligible,0
ICP,data/kline_deep/okx_ICP_USDT_SWAP_15m_158499.csv,151522,b733c11f308cef1d22d1fe1a996c7c5c900f1ae7adce98614552cd4023fcd906,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,435a641069ab22b6f27fe87ca2b615d2bc2730163f8d5999f478269af8ed64ac,True,eligible,0
INJ,data/kline_deep/okx_INJ_USDT_SWAP_15m_91699.csv,84721,36065765a0889e8afacb3a3615325e1930e60486fe506540e9f36041a91779f6,883,882,1,1,0,0,2023-12-01 00:00:00+00:00,2026-04-30 00:00:00+00:00,c97b6c2cc14c0f4022bcfd496cf98ce7bcb431997099f871e95ce31daaf1dc64,True,eligible,0
JTO,data/kline_deep/okx_JTO_USDT_SWAP_15m_87975.csv,80997,03896134c2afb0e5105f93327ba9def00a74b6b746903a104132403fa4406b69,844,843,1,1,0,0,2024-01-09 00:00:00+00:00,2026-04-30 00:00:00+00:00,ca7afbd3250a2fd7459569c7566d4fd0253e49e78d50206e9f3fbe034f0a7dff,True,eligible,0
LINK,data/kline_deep/okx_LINK_USDT_SWAP_15m_158499.csv,151521,0493cb6093fc1e52eb3bc52401d0c71138e631cd49bd59f42f990f2a6d0f02ab,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,33a7a8b6cf39b080f5c968aebc102755ca03bcdb9e8baf354b1a051436dc77c8,True,eligible,0
LTC,data/kline_deep/okx_LTC_USDT_SWAP_15m_158499.csv,151521,41cf3f57c55bf8d526125195b2c50a5d22f4976bf2a1e5ab9b3dd1c59fe822a6,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,0f19b5fa66fcf739ed80964e745b5772fd6f9816589f6231d63369317104106c,True,eligible,0
NEAR,data/kline_deep/okx_NEAR_USDT_SWAP_15m_158499.csv,151520,bcc51c12fb53d3e86bfb614229796be40e9533e5e9e419715914a2305056a79b,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,4f20828f20933c7725b2e583b4fdfb0edeaa0bc630070f0bddaf696578314b6b,True,eligible,0
OKB,data/kline_deep/okx_OKB_USDT_SWAP_15m_29915.csv,22936,ed134fcbd82559aa20771d7665f5dee5a42ccd9a426fdaf9c594dec4a20586a9,239,238,1,1,0,0,2025-09-05 00:00:00+00:00,2026-04-30 00:00:00+00:00,19e451b7a5b685bc124a0f7aaa2d9a0b8ca90080ad7232948ae42a622142c144,True,eligible,0
ONDO,data/kline_deep/okx_ONDO_USDT_SWAP_15m_67705.csv,60726,c012726e4c312c67b2bf38da5f016c44f7a949d177bea5261374d0aefa177000,633,632,1,1,0,0,2024-08-07 00:00:00+00:00,2026-04-30 00:00:00+00:00,13338d09417c1bf48e8ecb66a61e138644994cf73026e236a6a0069b00a2e4de,True,eligible,0
OP,data/kline_deep/okx_OP_USDT_SWAP_15m_144244.csv,137265,0c2ef5a61fb5dd1ffd69d1c8670bec7d7fcf131ab4238da445df3add19d85c6e,1430,1429,1,1,0,0,2022-06-02 00:00:00+00:00,2026-04-30 00:00:00+00:00,5970d0c210d65c08ef71d86f5c94360f61c50818ec4d2ff9f6b412eeb5362ad1,True,eligible,0
ORDI,data/kline_deep/okx_ORDI_USDT_SWAP_15m_110236.csv,103257,2d66a286510b2106496de1efb2f889eb10910611f584ac5c28593966f7313f2f,1076,1075,1,1,0,0,2023-05-22 00:00:00+00:00,2026-04-30 00:00:00+00:00,82f5ef787cf71e2d7e746f8c61eff29af2bb2d1235ba5b6f01f1c9fb4c3fba18,True,eligible,0
PENGU,data/kline_deep/okx_PENGU_USDT_SWAP_15m_54916.csv,47937,2df6f28a21a89b47b79404494aa78447342b21e956895bf5301ca3c2b5626e4b,500,499,1,1,0,0,2024-12-18 00:00:00+00:00,2026-04-30 00:00:00+00:00,35f07f7c6da8cc5daf2ec1e3625d57df69d2a1e914aaa89d9660d63df103ffa4,True,eligible,0
PEPE,data/kline_deep/okx_PEPE_USDT_SWAP_15m_111988.csv,105009,77b1f48c27fa989c40dae4b35e1b1a21812478c02c7e5c09530a80bc8be21ee9,1094,1093,1,1,0,0,2023-05-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,4100e22c0d95ae23534333ce3ad0de964434ae6fda9f158f5fbc7838d1e74cdf,True,eligible,0
PI,data/kline_deep/okx_PI_USDT_SWAP_15m_48704.csv,41724,6bf1ff67bc1c3f37065d012bc09366e7db550194ada7d2dd6307307a285309d8,435,434,1,1,0,0,2025-02-21 00:00:00+00:00,2026-04-30 00:00:00+00:00,52373de52b576e24625209a97b3e6204b32d821d73904643847b9931eba70c4f,True,eligible,0
POL,data/kline_deep/okx_POL_USDT_SWAP_15m_63010.csv,56030,79141e8ac0974ec94166fca7c8516d2b6e2a5df87a04469ca42fd304067ae867,584,583,1,1,0,0,2024-09-25 00:00:00+00:00,2026-04-30 00:00:00+00:00,cad38d4956134f03810268f93d5b5d2d375778918172e35b6c21c9c7acb45273,True,eligible,0
SAND,data/kline_deep/okx_SAND_USDT_SWAP_15m_158499.csv,151519,c907be228640ddc75b3d6910151072f1cbe258a67d67e5971c03a93f8b4b4e8d,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,cfd232ea5634aa0aee83033a460d76c0a8a0c37b778cb54c66416f9e3ea4ab9e,True,eligible,0
SHIB,data/kline_deep/okx_SHIB_USDT_SWAP_15m_158499.csv,151519,01d9ee75277bc99ad6c4d4871d95467a28aaaf8cc7aac534d26f143066db4ffe,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,63084583027ca12315982ec4c8ca4dec8b33b22005e3b32d44b72e7a3a61a4c3,True,eligible,0
SOL,data/kline_deep/okx_SOL_USDT_SWAP_15m_158499.csv,151519,9d13a1e15f3540a110470c657a9a73fea59d4e1358742d5522af10e4280a366d,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,40857649cfb615d6a27e0ba484580a4302cbd217f1c4c92acc4299295e23b7b2,True,eligible,0
SUI,data/kline_deep/okx_SUI_USDT_SWAP_15m_111797.csv,104817,0caae2c06f3aef3532153a690858dc6eb6a768ea7a7ce2cd47431717bb326b46,1092,1091,1,1,0,0,2023-05-06 00:00:00+00:00,2026-04-30 00:00:00+00:00,fd40e5c397458d79036cbd52bbf5ab889c8a83c8127e24a5b55201940f1e0a14,True,eligible,0
TIA,data/kline_deep/okx_TIA_USDT_SWAP_15m_94555.csv,87575,c1fa040cda18c0084382a0df4210947316e7b6bea97698c3c84b4a3a1241da98,913,912,1,1,0,0,2023-11-01 00:00:00+00:00,2026-04-30 00:00:00+00:00,20cdd2a7f7ded1dcc4262bf05d5b0d2e322666e1e7cdd744fded0a9fef96ef10,True,eligible,0
TRUMP,data/kline_deep/okx_TRUMP_USDT_SWAP_15m_51790.csv,44810,5b92069c09e671b85ccf6a528a6386d0e227f985e9749579ab9010875f9766f8,467,466,1,1,0,0,2025-01-20 00:00:00+00:00,2026-04-30 00:00:00+00:00,ed960ef5f7c542c907e5fc315121ab614236b6ae546ef7eb192b85e61872984e,True,eligible,0
TRX,data/kline_deep/okx_TRX_USDT_SWAP_15m_158499.csv,151518,25a75bc995abe2f189152bf0bc9f05d083cce377e63cb6af283e4fa47fa439b2,1579,1578,1,1,0,0,2022-01-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,7ce799383880b63e3d2efc57ff130b217239f1230ab35afeafcc42df531d6d47,True,eligible,0
