time,setup_id,symbol,event,pnl_equity_fraction_initial,equity,drawdown
2025-08-24 00:00:00+00:00,c4312a529d87cdae,NEAR,entry,0.0,1.0,0.0
2025-08-27 00:00:00+00:00,c4312a529d87cdae,NEAR,exit,-0.002333598972925948,0.997666401027074,-0.0023335989729259543
2025-09-01 00:00:00+00:00,97624aee3da55a3e,ORDI,entry,0.0,0.997666401027074,-0.0023335989729259543
2025-09-09 00:00:00+00:00,97624aee3da55a3e,ORDI,exit,-0.002256063802561994,0.995410337224512,-0.0045896627754880015
2025-09-16 00:00:00+00:00,7625d2e97b7cf6a8,PI,entry,0.0,0.995410337224512,-0.0045896627754880015
2025-09-18 00:00:00+00:00,77f7d5850f9c872e,DOT,entry,0.0,0.995410337224512,-0.0045896627754880015
2025-09-18 00:00:00+00:00,827df16b3f811f5a,SAND,entry,0.0,0.995410337224512,-0.0045896627754880015
2025-09-23 00:00:00+00:00,7625d2e97b7cf6a8,PI,exit,-0.005076799584705697,0.9903335376398062,-0.00966646236019375
2025-09-23 00:00:00+00:00,77f7d5850f9c872e,DOT,exit,-0.005078162486707002,0.9852553751530992,-0.014744624846900756
2025-09-23 00:00:00+00:00,827df16b3f811f5a,SAND,exit,-0.005069193156626493,0.9801861819964728,-0.019813818003527217
2026-01-16 00:00:00+00:00,205c9f071742124b,CRV,entry,0.0,0.9801861819964728,-0.019813818003527217
2026-01-20 00:00:00+00:00,205c9f071742124b,CRV,exit,-0.00498311218937088,0.9752030698071019,-0.02479693019289808
2026-02-01 00:00:00+00:00,d3963ef7045894e5,HYPE,entry,0.0,0.9752030698071019,-0.02479693019289808
2026-02-25 00:00:00+00:00,d3963ef7045894e5,HYPE,exit,-0.0035591008005244696,0.9716439690065775,-0.028356030993422543
2026-03-12 00:00:00+00:00,16ab78b43f69d68a,UNI,entry,0.0,0.9716439690065775,-0.028356030993422543
2026-03-20 00:00:00+00:00,bd815879e3febc5e,SAND,entry,0.0,0.9687274205673451,-0.031272579432654934
2026-03-20 00:00:00+00:00,97023ca242079587,ORDI,entry,0.0,0.9687274205673451,-0.031272579432654934
2026-03-20 00:00:00+00:00,6edfec6c15d20366,DOGE,entry,0.0,0.9687274205673451,-0.031272579432654934
2026-03-20 00:00:00+00:00,16ab78b43f69d68a,UNI,exit,-0.002916548439232366,0.9687274205673451,-0.031272579432654934
2026-03-28 00:00:00+00:00,9fc01508c8c08da0,CRV,entry,0.0,0.9687274205673451,-0.031272579432654934
2026-04-07 00:00:00+00:00,49aea798e16bf3d6,AVAX,entry,0.0,0.9687274205673451,-0.031272579432654934
2026-04-10 00:00:00+00:00,70a16e344c9c6981,ZRO,entry,0.0,0.9687274205673451,-0.031272579432654934
2026-04-16 00:00:00+00:00,97023ca242079587,ORDI,exit,-0.004908614556433794,0.9638188060109113,-0.0361811939890887
2026-04-18 00:00:00+00:00,49aea798e16bf3d6,AVAX,exit,-0.004929781176971834,0.9588890248339395,-0.04111097516606055
2026-04-18 00:00:00+00:00,6edfec6c15d20366,DOGE,exit,-0.0023518115074153607,0.9565372133265241,-0.04346278667347592
2026-04-18 00:00:00+00:00,9fc01508c8c08da0,CRV,exit,-0.004905905402761979,0.9516313079237622,-0.04836869207623784
2026-04-20 00:00:00+00:00,70a16e344c9c6981,ZRO,exit,-0.004901208788176062,0.9467300991355861,-0.053269900864413855
2026-05-01 00:00:00+00:00,bd815879e3febc5e,SAND,exit,0.003831256307245851,0.950561355442832,-0.049438644557167954
