failure_mode,events,symbols,mean_net_bp,total_net_bp,mean_net_r,mean_mfe_r,mean_giveback_r
false_launch_or_no_followthrough,11,10,-1129.8709820129052,-12428.580802141958,-0.8803799645364201,0.5875266917282151,1.3224269669130562
early_exit_then_two_r_recovery,2,2,-1056.7244946190408,-2113.4489892380816,-0.5910940534024949,3.7978548712489086,1.440200066878379
ordinary_winner,2,2,593.1978776086605,1186.395755217321,0.4291562950472576,1.1406043286618632,0.6967914760269773
