fold,minutes,cohort,arm,n,symbols,selected_n,matched_n,matched_symbols,cost_bp,funding_included,mean_gross_bp,mean_net_bp,median_net_bp,win_pct,profit_factor,censored_n,control_net_bp,mean_net_ex_top3_bp,top3_positive_profit_pct,median_mfe_r,median_net_r,portfolio_net_pct,mdd_pct,capital_sleeves,excess_bp,p,months,p_resolution,ci_low,ci_high,family,p_holm
audit_pre,15,all_core,base,2928,54,2928,2928,54,20,False,26.18815488064224,6.188154880642237,-94.80739796760616,23.633879781420767,1.0697908280314254,9,-11.645844186864917,2.6002719915696533,3.785288055501964,1.000034642546431,-1.141647971918648,2.7906588310661506,-8.501455236271127,54,17.833999067507158,0.03125,5,0.03125,9.86281485166506,25.867959204197927,baseline,0.03125
audit_pre,15,all_core,exit_chandelier,2928,54,2924,2928,54,20,False,12.134498603053002,-7.865501396947003,-58.3824405807065,30.293715846994534,0.8791462550298635,0,-14.352581447844727,-10.682404907952487,4.904037715115102,0.9344301184032033,-0.6563342911929626,-4.2969867756519236,-5.206002756170758,54,6.487080050897724,0.25,5,0.03125,-10.563807089508007,21.62023091584783,exit,0.5
audit_pre,15,all_core,exit_fixed3r,2928,54,2796,2928,54,20,False,6.788133034795255,-13.211866965204752,-104.59961613126677,26.67349726775956,0.8623518251775196,5,-15.481232844796013,-14.868359853026279,1.982891155877083,1.0773393736806136,-1.1590235424793507,-7.124078802261669,-8.756718401292051,54,2.2693658795912603,0.40625,5,0.03125,-8.258085131569308,16.763219311650147,exit,0.5
audit_pre,15,all_core,exit_sma60,2928,54,2928,2928,54,20,False,17.617532022129353,-2.3824679778706543,-81.09215726848971,24.829234972677597,0.9700782908941525,3,-12.02260122364437,-5.886205282467608,4.528307233690802,0.9267866650778123,-0.9596413596702734,-1.515922149917459,-9.308661526336238,54,9.640133245773717,0.15625,5,0.03125,-7.8644132925126,20.453520390133345,exit,0.46875
audit_pre,15,high_vol,base,725,37,725,725,37,20,False,28.713428944854332,8.713428944854325,-121.2423559538056,24.689655172413794,1.0818217288880787,3,-13.676224064399198,0.07508140499418897,7.498426686421214,1.0685904136323252,-1.1131852177988344,1.3838869996465109,-2.9860333494476365,54,22.38965300925353,0.03125,5,0.03125,9.500331226112994,36.88891025192631,baseline,0.03125
audit_pre,15,high_vol,exit_chandelier,725,37,724,725,37,20,False,15.154986789480475,-4.845013210519535,-75.61283533206284,30.344827586206897,0.9388169865763163,0,-25.980368959522135,-11.578369891578609,8.992601658746569,0.9739735393785416,-0.5889661343886593,-0.6819558497603628,-1.3301912072343103,54,21.135355749002603,0.0625,5,0.03125,15.287425926326444,27.829999539411002,exit,0.1875
audit_pre,15,high_vol,exit_fixed3r,725,37,694,725,37,20,False,15.776895486458246,-4.2231045135417675,-133.88210277081478,26.89655172413793,0.9639529685040343,1,-13.773767995551772,-10.896616161080507,5.869376848939883,1.0974040419020252,-1.1279618038120949,-0.6295344662955005,-2.12583405442881,54,9.550663482010009,0.125,5,0.03125,-1.9207670191312496,26.693316166815162,exit,0.1875
audit_pre,15,high_vol,exit_sma60,725,37,725,725,37,20,False,19.06106022138685,-0.9389397786131555,-101.43322475570923,25.517241379310345,0.99028614813339,1,-13.929092256456139,-9.369329957732088,8.766755019638397,0.9725624257773532,-0.9110615606905722,-0.13350991345686403,-2.478104660991287,54,12.990152477842983,0.09375,5,0.03125,0.9209943198197834,21.27540349761668,exit,0.1875
audit_pre,15,majors,base,107,2,107,107,2,20,False,75.36316442037122,55.363164420371206,-52.996430625138466,26.168224299065418,2.0020049779149343,0,-8.875430912069111,10.987561500526295,40.39546499901477,1.3338078288353086,-1.206592826778622,31.823780573316807,-9.942831266582708,2,64.23859533244031,0.0625,5,0.03125,5.58830469315099,131.57993154075572,baseline,0.0625
audit_pre,15,majors,exit_chandelier,107,2,107,107,2,20,False,21.244098667142662,1.244098667142662,-37.522678273252936,29.906542056074763,1.0321003887843154,0,-12.528327754516068,-13.084277067674943,34.903296106518525,0.8870950959856628,-0.6191564047339108,0.5064707879295582,-6.061581608751842,2,13.772426421658736,0.1875,5,0.03125,-9.130052478837326,36.58090112776398,exit,0.375
audit_pre,15,majors,exit_fixed3r,107,2,95,107,2,20,False,24.24086394271104,4.240863942711037,-63.5074842078842,33.64485981308411,1.0716630362668402,0,-14.580004792199407,-8.344832657438946,19.47647600131206,1.3338078288353086,-1.2294561087625753,5.07584565247261,-6.560829628669474,2,18.820868734910444,0.21875,5,0.03125,-9.480717301082443,46.06269892265617,exit,0.375
audit_pre,15,majors,exit_sma60,107,2,107,107,2,20,False,54.91816445715432,34.91816445715431,-44.77114801435976,28.971962616822427,1.7579871986640672,0,-25.47334936659976,8.505368886266904,32.90883935677562,0.9944379698696684,-0.9171598512157476,19.03803207857444,-6.456343835274325,2,60.391513823754075,0.0625,5,0.03125,15.252019098819362,108.33097443792364,exit,0.1875
audit_pre,15,owner_illustration,base,104,2,104,104,2,20,False,13.437003662030653,-6.562996337969363,-114.81963597590237,25.0,0.9495806221303934,0,-9.764702111697265,-46.62470547443964,31.322942089224043,1.1626434013209912,-1.0875328022862414,-5.083188716888265,-17.207515208458656,2,3.2017057737279098,0.46875,5,0.03125,-51.51970601708708,38.4619132124029,baseline,0.46875
audit_pre,15,owner_illustration,exit_chandelier,104,2,104,104,2,20,False,20.028159330885256,0.028159330885251584,-69.97815788728767,35.57692307692308,1.000318209819444,0,-21.73980963009071,-32.4731768576382,35.657714070350146,1.1353522528148667,-0.5456602648193629,-1.8839617257270014,-12.985610734506615,2,21.76796896097596,0.125,5,0.03125,3.3330017810752057,38.07297797132999,exit,0.25
audit_pre,15,owner_illustration,exit_fixed3r,104,2,100,104,2,20,False,26.918751489310395,6.918751489310381,-116.95127851853725,29.807692307692307,1.0532950857950711,0,-17.45408666585759,-22.18999341987646,20.819784649482,1.1626434013209912,-1.0982843446506547,0.5840731503225172,-12.40692156029729,2,24.372838155167965,0.21875,5,0.03125,-19.52464119730037,53.51508840297641,exit,0.25
audit_pre,15,owner_illustration,exit_sma60,104,2,104,104,2,20,False,19.28810648263836,-0.7118935173616483,-99.192443015364,29.807692307692307,0.99357200642015,0,-38.224135647074476,-44.81483960570339,38.9052679555315,1.1530448875446115,-0.8925732378458816,-3.1374681403301796,-14.002693967365754,2,37.51224212971282,0.0625,5,0.03125,11.263576111327536,55.61503662284932,exit,0.1875
audit_seen,15,all_core,base,1636,54,1636,1636,54,20,False,-0.060022955453062576,-20.06002295545307,-101.18730881062686,20.965770171149146,0.8037977728307443,8,-34.49572147667789,-25.99312915471945,7.161512573345188,0.9411505180127828,-1.1307641987319579,-5.242696395609259,-9.154443619131902,54,14.435698521224825,0.25,3,0.125,-16.046880333436732,32.2044341008188,baseline,0.25
audit_seen,15,all_core,exit_chandelier,1636,54,1635,1636,54,20,False,-6.702252037795958,-26.702252037795965,-70.04136730610398,27.68948655256724,0.6580891133749359,4,-27.61728490555606,-30.323764232659855,6.93825497121766,0.8421664572474891,-0.7318288121019674,-7.7576323726955,-8.055290451211928,54,0.9150328677600967,0.5,3,0.125,-5.640531872355366,12.007743976503887,exit,0.5
audit_seen,15,all_core,exit_fixed3r,1636,54,1572,1636,54,20,False,-0.7604520232562375,-20.76045202325625,-112.28352092271243,25.0,0.8091849367882654,3,-29.314691817110376,-23.162593563138774,2.680271838584231,0.9623698033986744,-1.1446123499305503,-6.29729674652414,-7.11489468900629,54,8.554239793854128,0.125,3,0.125,0.46842555830384097,17.04960368061603,exit,0.375
