epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
17,2683.99,1.61745,1.60156,1.59291,0.45245,0.48427,0.42735,0.18148,1.82829,1.76001,1.7453,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2836.82,1.5589,1.57835,1.55492,0.46652,0.5063,0.44819,0.18979,1.80506,1.73839,1.7302,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2989.59,1.55392,1.54482,1.55326,0.06012,0.36776,0.04913,0.01634,2.72796,4.19147,2.43437,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3142.57,1.54589,1.5062,1.54735,0.28595,0.23594,0.18481,0.07504,2.06271,2.64455,1.93344,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3294.45,1.53621,1.4971,1.53313,0.41134,0.21579,0.22084,0.07933,2.46033,2.99814,2.20471,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3447.66,1.52284,1.45045,1.5267,0.13989,0.0198,0.02099,0.00547,3.07673,4.31559,2.74967,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3600.45,1.49598,1.41622,1.51643,0.48747,0.563,0.48523,0.21947,1.7694,1.68836,1.727,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3754.05,1.46606,1.36162,1.49609,0.50646,0.5382,0.47502,0.20857,1.82438,1.68967,1.76337,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3907.01,1.43742,1.39481,1.46676,0.47215,0.52057,0.4417,0.19243,1.82959,1.71188,1.77467,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4059.91,1.41798,1.33983,1.45678,0.42793,0.39966,0.35241,0.13495,2.1706,1.97891,1.99007,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4212.85,1.40071,1.28808,1.44914,0.50905,0.55835,0.47903,0.21157,1.84949,1.64462,1.80043,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4365.93,1.38505,1.27675,1.4331,0.19369,0.1906,0.11412,0.04164,2.53383,2.9837,2.32649,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4518.66,1.37275,1.25358,1.42898,0.09931,0.25441,0.0617,0.01815,2.83198,3.74788,2.84003,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4671.7,1.36748,1.23921,1.41566,0.51151,0.54912,0.48152,0.20732,1.87614,1.65386,1.82297,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
