timeframe,arm,period,metric,difference,ci_low,ci_high,months,valid_reps
15m,age6,full,net_r,0.07521224208537194,0.030809461553122083,0.11597612845634948,20,2000
15m,age6,full,net_r_on_baseline_risk,0.07521224208537194,0.030809461553122083,0.11597612845634948,20,2000
15m,age6,full,net_bp,11.94024761554882,-1.272273136923158,24.751502812574834,20,2000
15m,age6,earlier,net_r,0.059795990863144924,-0.01023240911423828,0.12563110852925888,13,2000
15m,age6,earlier,net_r_on_baseline_risk,0.059795990863144924,-0.01023240911423828,0.12563110852925888,13,2000
15m,age6,earlier,net_bp,12.11583091598505,-7.2865380722990745,31.228792089304964,13,2000
15m,age6,later,net_r,0.09409868693343462,0.03387454245259128,0.1498890935935717,8,2000
15m,age6,later,net_r_on_baseline_risk,0.09409868693343462,0.03387454245259128,0.1498890935935717,8,2000
15m,age6,later,net_bp,12.079281476019126,-7.267280951946942,29.568105250864463,8,2000
15m,parent_stop,full,net_r,0.06840403836643927,0.02746168308424234,0.10825343318418298,20,2000
15m,parent_stop,full,net_r_on_baseline_risk,0.040538235598360804,-0.055560255769789076,0.15267337898162472,20,2000
15m,parent_stop,full,net_bp,2.41343713999672,-13.761020977611127,19.22175214538026,20,2000
15m,parent_stop,earlier,net_r,0.043172551761244626,-0.0018443785487535188,0.09460934600357727,13,2000
15m,parent_stop,earlier,net_r_on_baseline_risk,0.09929778866840354,-0.05333128518343962,0.29776343684242923,13,2000
15m,parent_stop,earlier,net_bp,8.976200485267452,-15.509302121915312,37.00132583720484,13,2000
15m,parent_stop,later,net_r,0.09312063385932612,0.03165253634837176,0.14961746533752757,8,2000
15m,parent_stop,later,net_r_on_baseline_risk,-0.03789470567433284,-0.13695744564252105,0.04127048995765084,8,2000
15m,parent_stop,later,net_bp,-6.168798573520817,-28.01844269428949,13.963617564744663,8,2000
15m,wick_arm,full,net_r,-0.01096559244662329,-0.025459832877859506,0.0014149453226891529,20,2000
15m,wick_arm,full,net_r_on_baseline_risk,-0.01096559244662329,-0.025459832877859506,0.0014149453226891529,20,2000
15m,wick_arm,full,net_bp,-2.2804441815257412,-6.309932095900066,1.222506630623995,20,2000
15m,wick_arm,earlier,net_r,-0.016926331721111465,-0.0364508668705287,0.0024790162388491125,13,2000
15m,wick_arm,earlier,net_r_on_baseline_risk,-0.016926331721111465,-0.0364508668705287,0.0024790162388491125,13,2000
15m,wick_arm,earlier,net_bp,-2.9908387983582507,-8.671193350416909,2.832040955638223,13,2000
15m,wick_arm,later,net_r,-0.0041404263656145135,-0.023235442000325814,0.00814912702477806,8,2000
15m,wick_arm,later,net_r_on_baseline_risk,-0.0041404263656145135,-0.023235442000325814,0.00814912702477806,8,2000
15m,wick_arm,later,net_bp,-1.4654254162237237,-6.840108319157375,2.2799009887144805,8,2000
1h,age6,full,net_r,0.015736260151686277,-0.08684737326077348,0.12514280000128938,20,2000
1h,age6,full,net_r_on_baseline_risk,0.015736260151686277,-0.08684737326077348,0.12514280000128938,20,2000
1h,age6,full,net_bp,-10.792169452881382,-44.29740217726142,28.680291800200216,20,2000
1h,age6,earlier,net_r,0.04928380547921615,-0.009784773269019796,0.1282791662885321,13,2000
1h,age6,earlier,net_r_on_baseline_risk,0.04928380547921615,-0.009784773269019796,0.1282791662885321,13,2000
1h,age6,earlier,net_bp,15.377620690257473,-19.611786947625713,63.05742600713141,13,2000
1h,age6,later,net_r,-0.04454323851788111,-0.1757972997722626,0.12428890718330995,8,2000
1h,age6,later,net_r_on_baseline_risk,-0.04454323851788111,-0.1757972997722626,0.12428890718330995,8,2000
1h,age6,later,net_bp,-40.235831013090234,-79.95164929466961,14.286331540913093,8,2000
1h,parent_stop,full,net_r,0.04850926588829912,0.005023019322095357,0.09487921557744085,20,2000
1h,parent_stop,full,net_r_on_baseline_risk,-0.0165030378637874,-0.20343100019698832,0.17343206095125419,20,2000
1h,parent_stop,full,net_bp,-11.701235813951868,-76.29719120924908,51.13134594588388,20,2000
1h,parent_stop,earlier,net_r,0.04381691309855782,-0.029707041196938327,0.1331593724154834,13,2000
1h,parent_stop,earlier,net_r_on_baseline_risk,-0.02231957020361288,-0.34809987530454684,0.3246406460567585,13,2000
1h,parent_stop,earlier,net_bp,-16.983828509195234,-128.10633108751148,96.8952966355258,13,2000
1h,parent_stop,later,net_r,0.0713827836935988,0.020952452017018845,0.13486341287225287,8,2000
1h,parent_stop,later,net_r_on_baseline_risk,-0.01582694966335746,-0.1918299244287828,0.10403271752980056,8,2000
1h,parent_stop,later,net_bp,-8.531827352507449,-66.83138899800699,30.33250001842575,8,2000
1h,wick_arm,full,net_r,-0.002897673611555948,-0.019240223280405377,0.012955309306312628,20,2000
1h,wick_arm,full,net_r_on_baseline_risk,-0.002897673611555948,-0.019240223280405377,0.012955309306312628,20,2000
1h,wick_arm,full,net_bp,-0.9897136545153558,-7.325897277008809,4.528752727895751,20,2000
1h,wick_arm,earlier,net_r,-0.007610801556038618,-0.032902927380101275,0.01838630483317827,13,2000
1h,wick_arm,earlier,net_r_on_baseline_risk,-0.007610801556038618,-0.032902927380101275,0.01838630483317827,13,2000
1h,wick_arm,earlier,net_bp,-4.508570367223157,-15.30523419214901,5.80541786284532,13,2000
1h,wick_arm,later,net_r,0.009408637066786685,-0.006822564486584813,0.027004036862686653,8,2000
1h,wick_arm,later,net_r_on_baseline_risk,0.009408637066786685,-0.006822564486584813,0.027004036862686653,8,2000
1h,wick_arm,later,net_bp,3.778217416065729,0.5448403653328575,9.094449745296046,8,2000
