timeframe,arm,full_profitable_r_and_bp,later_profitable_r_and_bp,earlier_better_bp,later_better_bp,positive_matched_excess_r_and_bp,multiplicity_p_pass,coverage_pass,adjusted_p,passed
15m,age6,False,False,True,True,True,False,True,0.017991004497751123,False
15m,parent_stop,False,False,True,False,True,False,False,0.026986506746626684,False
15m,wick_arm,False,False,False,False,True,False,True,0.7016491754122939,False
1h,age6,False,False,True,False,False,False,True,1.0,False
1h,parent_stop,False,False,False,False,False,False,False,0.056971514242878565,False
1h,wick_arm,False,False,False,True,False,False,True,1.0,False
