timeframe,arm,scope,baseline_n,candidate_n,common,removed,added,common_delta_sum_bp,removed_baseline_sum_bp,added_sum_bp,rescued_loss_to_win,win_to_loss,winners_with_less_bp,total_delta_sum_bp,comparable,incomparable,no_trade,mean_delta_bp,mean_delta_original_r
15m,age6,independent_serial,7082,3933.0,3931.0,3151.0,2.0,0.0,-98291.3148527561,-45.78846022266201,0,0,0,98245.52639253344,,,,,
15m,age6,fixed_original_entries,7082,,,,,,,,0,0,855,,7082.0,0.0,3151.0,13.879033444331558,0.08404446005651095
15m,parent_stop,independent_serial,7082,7075.0,7071.0,11.0,4.0,16148.524993255163,-1325.201974660281,-284.657383561517,381,245,383,17189.06958435393,,,,,
15m,parent_stop,fixed_original_entries,7082,,,,,,,,381,245,385,,7081.0,1.0,0.0,2.2812003047402896,0.03923665489298098
15m,wick_arm,independent_serial,7082,7085.0,7082.0,0.0,3.0,-15587.05882036546,0.0,-618.746128120298,48,37,89,-16205.804948485758,,,,,
15m,wick_arm,fixed_original_entries,7082,,,,,,,,48,37,89,,7082.0,0.0,0.0,-2.2009402457449108,-0.010536309037844869
1h,age6,independent_serial,2199,1151.0,1151.0,1048.0,0.0,0.0,-53136.04395076633,0.0,0,0,0,53136.04395076633,,,,,
1h,age6,fixed_original_entries,2199,,,,,,,,0,0,270,,2199.0,0.0,1048.0,24.16373076433212,0.05215165909351466
1h,parent_stop,independent_serial,2199,2195.0,2192.0,7.0,3.0,-29869.501850689456,-3878.715698206031,556.7942698324689,114,65,93,-25433.991882650957,,,,,
1h,parent_stop,fixed_original_entries,2199,,,,,,,,114,65,93,,2195.0,4.0,0.0,-13.965392252345044,-0.01966081454556289
1h,wick_arm,independent_serial,2199,2199.0,2199.0,0.0,0.0,-2176.380326279279,0.0,0.0,26,17,30,-2176.380326279279,,,,,
1h,wick_arm,fixed_original_entries,2199,,,,,,,,26,17,30,,2199.0,0.0,0.0,-0.9897136545153611,-0.002897673611555943
