timeframe,arm,period,closed,wins,win_rate,mean_net_r,mean_gross_r,mean_net_original_r,mean_net_bp,mean_gross_bp,sum_net_r,sum_net_bp,profit_factor_r,median_initial_risk_pct,mean_hold_hours,cross_split_closed,censored_total,matched,coverage,paired_actual_r,random_r,paired_actual_bp,random_bp,excess_r,excess_bp,random_original_r,excess_original_r,r_blocks,r_mean_ci_low,r_mean_ci_high,r_p_month_signflip,bp_blocks,bp_mean_ci_low,bp_mean_ci_high,bp_p_month_signflip
15m,baseline,full,7082,2081,0.29384354702061566,-0.09500351608702295,0.02527067172360672,-0.09500351608702295,-16.285974125303248,3.7140258746967585,-672.8149009282965,-115337.26875539761,0.8704925329798605,1.904523438184845,13.21579356114092,4,4,7072,0.9985879695001412,-0.09400891549005305,-0.18337534311935855,-16.13182085794925,-32.232516826607586,0.0893664276293055,16.100695968658336,-0.18337534311935855,0.0893664276293055,20,-0.02630908158857827,0.22091892787638445,0.08545727136431784,20,-6.745866994878566,41.51064082103124,0.10144927536231885
15m,baseline,earlier,3765,1274,0.3383798140770252,0.0780420900406308,0.19741806897468767,0.0780420900406308,11.37847423369217,31.378474233692184,293.82846900297494,42839.95548985102,1.1138601528056555,1.8898271009248,14.262749003984064,4,4,3755,0.99734395750332,0.07683935964516003,-0.17178643772469895,11.413671100121396,-25.443359726708756,0.248625797369859,36.857030826830155,-0.17178643772469895,0.248625797369859,13,0.09593716414743951,0.39763258245472866,0.00399800099950025,13,5.790155667910154,68.42441865448359,0.02348825587206397
15m,baseline,later,3313,805,0.24298219136734078,-0.29209822945492614,-0.17074178416929495,-0.29209822945492614,-47.89962666033145,-27.899626660331446,-967.7214341841703,-158691.4631256781,0.6297952155857949,1.9136139967195103,12.00890431632961,4,4,3304,0.99728342891639,-0.29083449229688174,-0.19976195099590965,-47.6906183738621,-40.227991195101424,-0.09107254130097216,-7.462627178760685,-0.19976195099590965,-0.09107254130097216,8,-0.20179051356081845,0.017684009884487387,0.9305347326336831,8,-36.95238114712144,22.520170105515657,0.6616691654172914
15m,age6,full,3933,1227,0.3119755911517925,-0.01979127400165101,0.09065210821557114,-0.01979127400165101,-4.345726509754429,15.654273490245584,-77.83908064849342,-17091.74236286417,0.9717401396034613,2.1021021021020903,14.545957284515637,0,2,3928,0.9987287058225274,-0.019213064217384106,-0.2238382797565315,-4.308674450393894,-43.33179358256588,0.20462521553914742,39.023119132171985,-0.2238382797565315,0.20462521553914742,20,0.08437016742555817,0.33664176116170447,0.0029985007496251873,20,15.171495402091107,67.48642137365123,0.00399800099950025
15m,age6,earlier,2087,750,0.3593675131768088,0.13783808090377572,0.24751122235034922,0.13783808090377572,23.49430514967722,43.49430514967724,287.66807484617993,49032.61484737636,1.2110358410842346,2.09311175948242,15.501557259223766,0,2,2082,0.9976042165788213,0.1350095905553438,-0.1671876999675561,23.402875271547284,-24.427599247525958,0.3021972905228999,47.83047451907325,-0.1671876999675561,0.3021972905228999,13,0.12181117786658313,0.49939591762340535,0.001999000499750125,13,8.233821417177335,93.0695246895393,0.02798600699650175
15m,age6,later,1846,477,0.2583965330444204,-0.19799954252149152,-0.08668536263994449,-0.19799954252149152,-35.82034518431232,-15.82034518431231,-365.5071554946733,-66124.35721024055,0.7372871396394861,2.125051097154575,13.465601300108343,0,2,1841,0.9972914409534128,-0.19724985936559733,-0.2903264432578675,-35.826772454385434,-65.03915611232314,0.09307658389227015,29.21238365793771,-0.2903264432578675,0.09307658389227015,8,-0.05450154823197841,0.23766956075646228,0.15642178910544727,8,-0.46110064125415484,65.14859877906646,0.06346826586706647
15m,parent_stop,full,7075,2217,0.31335689045936393,-0.026599477720583693,0.05633127995602892,-0.05446528048866215,-13.872536985306528,6.127463014693484,-188.19130487312964,-98148.19917104369,0.956305781622714,2.9531568228105898,20.454558303886927,22,5,6286,0.8884805653710247,-0.020272859815412634,-0.23577974812496702,-11.998318580218003,-34.68575071216275,0.2155068883095544,22.687432131944746,-0.18301766059463773,0.14202291885256774,20,0.08859567131459498,0.3581011368949091,0.004497751124437781,20,-5.502048885788442,55.55088483678159,0.08295852073963018
15m,parent_stop,earlier,3745,1368,0.3652870493991989,0.12121464180187543,0.20235419713489816,0.17733987870903434,20.35467471895962,40.35467471895963,453.94883354802346,76228.25682250378,1.2187825857588996,2.97029702970295,21.479105473965287,22,5,3324,0.8875834445927904,0.12892763331015367,-0.23530638269896897,21.875118365983525,-24.95722021713483,0.3642340160091226,46.83233858311836,-0.17386016950668734,0.35884003665698727,13,0.1859120493802287,0.5672273589575529,0.0014992503748125937,13,1.3112396814157723,96.7183835701795,0.03398300849575212
15m,parent_stop,later,3308,834,0.25211608222490933,-0.19897759559560002,-0.11388792444725672,-0.329992935129259,-54.06842523385227,-34.06842523385225,-658.2178862302449,-178858.3506735833,0.7047895948069894,2.9251171159166605,18.962212817412333,22,5,2937,0.8878476420798065,-0.19646551176020385,-0.23809453326218316,-52.155465156202645,-46.01339656981707,0.041629021501979356,-6.1420685863855695,-0.19314613512678303,-0.12135205652744818,8,-0.0982992353297007,0.1688408819768999,0.30634682658670664,8,-36.21349841489263,26.65661689129547,0.6456771614192903
15m,wick_arm,full,7085,2092,0.29527170077628795,-0.10596910853364624,0.014304693936565346,-0.10596910853364624,-18.56641830682899,1.4335816931710197,-750.7911339608836,-131543.0737038834,0.8533489737962147,1.90446456447078,12.708680310515174,4,4,7076,0.9987297106563162,-0.10512866994960819,-0.18131868484090316,-18.449755438445294,-31.24581744505438,0.07619001489129498,12.79606200660909,-0.18131868484090316,0.07619001489129498,20,-0.03664014547921567,0.20338155486244977,0.11694152923538231,20,-10.089914250382492,38.09907413657194,0.1584207896051974
