timeframe,arm,baseline_ge10r,retained_closed_entries,still_ge10_native_r,still_ge10_original_r,unchanged_or_better_price_return,baseline_sum_bp,candidate_sum_bp_missing_as_zero
15m,age6,46,30,30,30,30,138235.43998794977,96406.08782094746
15m,parent_stop,46,46,24,45,45,138235.43998794977,134835.36352804344
15m,wick_arm,46,46,44,44,44,138235.43998794977,130698.51113312652
1h,age6,12,6,6,6,6,79595.28692421106,42645.59094505703
1h,parent_stop,12,12,6,12,12,79595.28692421106,79595.28692421106
1h,wick_arm,12,12,12,12,12,79595.28692421106,79595.28692421106
