timeframe,arm,status,n
15m,age6,censored_boundary,2
15m,age6,closed,3933
15m,age6,rejected_age6,3155
15m,age6,skipped_in_position,5
15m,baseline,censored_boundary,4
15m,baseline,closed,7082
15m,baseline,risk_invalid,1
15m,baseline,skipped_in_position,8
15m,parent_stop,censored_boundary,5
15m,parent_stop,closed,7075
15m,parent_stop,risk_invalid,1
15m,parent_stop,skipped_in_position,14
15m,wick_arm,censored_boundary,4
15m,wick_arm,closed,7085
15m,wick_arm,risk_invalid,1
15m,wick_arm,skipped_in_position,5
1h,age6,censored_boundary,2
1h,age6,closed,1151
1h,age6,rejected_age6,1050
1h,age6,skipped_in_position,3
1h,baseline,censored_boundary,2
1h,baseline,closed,2199
1h,baseline,skipped_in_position,5
1h,parent_stop,censored_boundary,6
1h,parent_stop,closed,2195
1h,parent_stop,skipped_in_position,5
1h,wick_arm,censored_boundary,2
1h,wick_arm,closed,2199
1h,wick_arm,skipped_in_position,5
