direction,qty,signal_i,signal_time,entry_i,entry_time,entry_price,entry_equity,entry_fee,leverage,score,stop,initial_stop,exit_i,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,gross_return,net_return,fees,holding_bars,n_controls,matched,control_mean,paired_excess
1,1.6376529158410167,2280,2021-01-15 00:00:00+00:00,2281,2021-01-15 04:00:00+00:00,1221.38,500.0,2.000196518349901,4.000393036699802,0.7282521579736464,1222.60138,1184.6222,2282,2021-01-15 08:00:00+00:00,1222.60138,stop,2.000196518349825,-2.002196714868327,0.0009999999999999619,-0.0010010000000000379,4.002393233218152,1,3,True,-0.006100689346895564,0.0050996893468955255
-1,1.1201660086265122,2513,2021-02-22 20:00:00+00:00,2514,2021-02-23 00:00:00+00:00,1778.22,497.9978032851316,1.9919015998598366,3.999820052859473,0.9792074780741832,1776.44178,1831.649,2596,2021-03-08 16:00:00+00:00,1776.44178,stop,1.991901599859746,-1.9899096982600673,0.0009999999999999545,-0.0009990000000000454,3.9818112981198133,82,0,False,,
1,1.091056435066945,2722,2021-03-29 16:00:00+00:00,2723,2021-03-29 20:00:00+00:00,1818.45,496.00789358687155,1.9840315743474861,4.0,0.3356762715236225,1820.2684499999998,1763.8965,2730,2021-03-31 00:00:00+00:00,1820.2684499999998,stop,1.9840315743472208,-1.9860156059220986,0.0009999999999998662,-0.0010010000000001335,3.9700471802693196,7,3,True,-0.012390314702323513,0.01138931470232338
1,1.6754313552281126,2861,2021-04-21 20:00:00+00:00,2862,2021-04-22 00:00:00+00:00,2359.41,494.0218779809494,3.953029493838761,8.001729619738013,1.079208586959538,2361.7694099999994,2288.1330000000003,2867,2021-04-22 20:00:00+00:00,2361.7694099999994,stop,3.9530294938380415,-3.9569825233333185,0.0009999999999998179,-0.0010010000000001819,7.9100120171713595,5,3,True,-0.005387625510595653,0.00438662551059547
1,0.7782977316540466,2888,2021-04-26 08:00:00+00:00,2889,2021-04-26 12:00:00+00:00,2518.66,490.0648954576161,1.960267364807781,4.000015881523832,0.5952497905912766,2443.0905000000002,2443.0905000000002,2891,2021-04-26 20:00:00+00:00,2443.0905000000002,stop,-58.81557043223017,-62.677289591413505,-0.03000385125423821,-0.03197384740298397,3.8617191591833318,2,3,True,-0.0023775733221583946,-0.029596274080825578
-1,0.7339772379161631,3087,2021-05-29 12:00:00+00:00,3088,2021-05-29 16:00:00+00:00,2329.16,427.3876058662026,1.7095504234648105,4.0,0.7187383472924979,2326.8308399999996,2399.0348,3091,2021-05-30 04:00:00+00:00,2326.8308399999996,stop,1.7095504234649785,-1.7078408730411772,0.0010000000000000985,-0.0009989999999999014,3.417391296506156,3,3,True,-0.0009990000000000415,1.4007892068512717e-16
-1,0.6810767267614302,3148,2021-06-08 16:00:00+00:00,3149,2021-06-08 20:00:00+00:00,2500.13,425.6797649931614,1.7027803568780544,4.000143997696037,0.6414686881453419,2497.62987,2575.0412,3151,2021-06-09 04:00:00+00:00,2497.62987,stop,1.7027803568779858,-1.7010775765212451,0.0009999999999999597,-0.0009990000000000404,3.403857933399231,2,3,True,-0.03997850789986603,0.03897950789986599
1,0.6581067419232587,3188,2021-06-15 08:00:00+00:00,3189,2021-06-15 12:00:00+00:00,2577.08,423.9786874166402,1.6959937224755917,4.00018626598783,0.7450240776200777,2579.6570799999995,2499.6512000000002,3191,2021-06-15 20:00:00+00:00,2530.98,stop_gap,-30.338720802662166,-33.70036952681069,-0.017888462911512217,-0.019870574448600707,3.361648724148521,2,3,True,-0.0012316375146459036,-0.018638936933954804
-1,1.2831191024237094,3198,2021-06-17 00:00:00+00:00,3199,2021-06-17 04:00:00+00:00,2433.31,390.2783178898295,3.1222265431186362,8.0,0.6929667673555123,2189.5121999999997,2506.3093,3336,2021-07-10 00:00:00+00:00,2189.5121999999997,stop,312.8216143088754,306.88998283694696,0.10019183745597574,0.0982920292934317,5.931631471928397,137,2,True,0.01780923970996966,0.08048278958346204
1,0.8290690395785213,3649,2021-08-31 04:00:00+00:00,3650,2021-08-31 08:00:00+00:00,3363.63,697.1683007267765,2.788681493597502,4.000011891949745,0.26182917082330726,3366.99363,3262.7113999999997,3651,2021-08-31 12:00:00+00:00,3366.99363,stop,2.7886814935973607,-2.79147017509124,0.0009999999999999495,-0.0010010000000000505,5.5801516686886,1,3,True,-0.00574515702479347,0.00474415702479342
