i,event,direction
2280,entry_signal,1
2513,entry_signal,-1
2722,entry_signal,1
2861,entry_signal,1
2888,entry_signal,1
3087,entry_signal,-1
3148,entry_signal,-1
3188,entry_signal,1
3198,entry_signal,-1
3331,same_side_stop_reset,-1
3588,cooldown_skip,1
3649,entry_signal,1
3745,entry_signal,1
3768,entry_signal,-1
3836,entry_signal,1
3914,same_side_stop_reset,1
4178,entry_signal,-1
4178,shared_stop_on_reverse,-1
4193,cooldown_skip,1
4220,cooldown_skip,-1
4366,cooldown_skip,-1
4467,cooldown_skip,-1
4491,cooldown_skip,-1
4674,cooldown_skip,-1
4832,cooldown_skip,1
4960,entry_signal,-1
5131,entry_signal,1
5137,entry_signal,-1
5247,same_side_stop_reset,-1
5464,cooldown_skip,-1
5624,cooldown_skip,-1
5637,cooldown_skip,1
5688,cooldown_skip,1
5853,cooldown_skip,1
6031,cooldown_skip,-1
6124,cooldown_skip,1
6155,entry_signal,1
6233,same_side_stop_reset,1
6459,cooldown_skip,-1
6465,cooldown_skip,1
6483,cooldown_skip,-1
6555,cooldown_skip,-1
6587,cooldown_skip,1
6751,cooldown_skip,1
6768,cooldown_skip,1
6815,entry_signal,-1
6852,entry_signal,1
6936,entry_signal,1
6944,entry_signal,-1
7005,entry_signal,1
7102,entry_signal,1
7301,entry_signal,-1
7315,entry_signal,1
7441,entry_signal,-1
7452,entry_signal,1
7511,entry_signal,-1
7661,entry_signal,1
7698,entry_signal,-1
7738,entry_signal,1
7768,entry_signal,-1
7898,entry_signal,1
8020,entry_signal,1
8118,entry_signal,1
8157,entry_signal,-1
8199,entry_signal,1
8499,entry_signal,-1
8582,entry_signal,1
8706,same_side_stop_reset,1
8784,cooldown_skip,-1
8944,entry_signal,1
9212,entry_signal,-1
9275,entry_signal,1
9320,entry_signal,-1
9356,entry_signal,1
9384,entry_signal,-1
9489,entry_signal,-1
9532,entry_signal,-1
9719,entry_signal,-1
9794,entry_signal,1
9794,shared_stop_on_reverse,1
9873,entry_signal,-1
10001,entry_signal,-1
10205,entry_signal,-1
10341,entry_signal,1
10582,entry_signal,1
10631,entry_signal,1
10721,same_side_stop_reset,1
10833,cooldown_skip,-1
10846,entry_signal,1
10884,entry_signal,-1
11007,entry_signal,-1
11145,entry_signal,1
11292,entry_signal,-1
11427,entry_signal,1
11479,entry_signal,-1
11725,entry_signal,1
11863,entry_signal,-1
11863,shared_stop_on_reverse,-1
11898,cooldown_skip,-1
12238,cooldown_skip,-1
12273,cooldown_skip,1
12366,cooldown_skip,1
12405,cooldown_skip,-1
12534,cooldown_skip,-1
12776,cooldown_skip,-1
12858,entry_signal,-1
12863,entry_signal,-1
12970,entry_signal,-1
12981,entry_signal,1
13094,entry_signal,1
13105,entry_signal,-1
13230,entry_signal,1
13267,entry_signal,-1
13324,same_side_stop_reset,-1
13430,same_side_stop_reset,-1
13489,cooldown_skip,1
13562,cooldown_skip,1
13694,cooldown_skip,1
13706,cooldown_skip,-1
13819,cooldown_skip,1
13854,cooldown_skip,-1
