trade_id,case_signal_i,control_signal_i,month,hk_6h_block,vol_bin,direction,closed,control_gross_return,control_net_return,control_entry_i,control_exit_i,control_entry_price,control_exit_price,control_exit_reason
0,2280,2322,2021-01,1,4,1,True,-0.014314382423109626,-0.016300068040686514,2323,2324,1161.07,1144.45,stop_gap
0,2280,2214,2021-01,1,4,1,True,0.0009999999999999903,-0.0010010000000000097,2215,2216,1025.04,1026.06504,stop
0,2280,2262,2021-01,1,4,1,True,0.0009999999999998315,-0.0010010000000001682,2263,2264,1089.59,1090.6795899999997,stop
2,2722,2692,2021-03,0,0,1,True,-0.03000000000000006,-0.03197000000000006,2693,2693,1636.34,1587.2497999999998,stop
2,2722,2663,2021-03,0,0,1,True,0.000999999999999901,-0.0010010000000000992,2664,2669,1811.04,1812.8510399999998,stop
2,2722,2620,2021-03,0,0,1,True,0.0009999999999999473,-0.0010010000000000526,2621,2622,1740.4,1742.1404,stop
3,2861,2879,2021-04,0,4,1,True,-0.01217304958136817,-0.014160876531786803,2880,2881,2215.55,2188.58,stop_gap
3,2861,2890,2021-04,0,4,1,True,0.0009999999999999744,-0.0010010000000000255,2891,2892,2491.92,2494.41192,stop
3,2861,2830,2021-04,0,4,1,True,0.0009999999999998723,-0.0010010000000001277,2831,2834,2433.03,2435.46303,stop
4,2888,2852,2021-04,2,4,1,True,-0.0031338538202953965,-0.005130719966475101,2853,2854,2195.38,2188.5,stop_gap
4,2888,2857,2021-04,2,4,1,True,0.0009999999999999879,-0.0010010000000000123,2858,2868,2295.31,2297.60531,stop
4,2888,2864,2021-04,2,4,1,True,0.0009999999999999293,-0.0010010000000000704,2865,2866,2544.92,2547.46492,stop
5,3087,3003,2021-05,3,4,-1,True,0.000999999999999975,-0.0009990000000000248,3004,3007,3877.83,3873.95217,stop
5,3087,2991,2021-05,3,4,-1,True,-0.030010984059783148,-0.03204099504384293,2992,2992,3750.89,3863.4579,stop
5,3087,2997,2021-05,3,4,-1,True,0.0009999999999999538,-0.0009990000000000463,2998,3000,4132.1,4127.967900000001,stop
6,3148,3238,2021-06,0,2,-1,True,-0.03001613315860094,-0.032046149291759536,3239,3239,1915.31,1972.8002,stop
6,3148,3227,2021-06,0,2,-1,True,-0.030010929831542688,-0.03204094076137423,3228,3228,1884.75,1941.3131,stop
6,3148,3106,2021-06,0,2,-1,True,-0.0301296336355232,-0.032159763269158724,3107,3107,2542.55,2619.1560999999997,stop
7,3188,3211,2021-06,2,0,1,True,0.0003073948509135216,-0.001692912543937392,3212,3214,2244.67,2245.36,stop_gap
7,3188,3170,2021-06,2,0,1,True,0.0009999999999998183,-0.0010010000000001814,3171,3172,2388.05,2390.4380499999997,stop
7,3188,3139,2021-06,2,0,1,True,0.0009999999999998621,-0.0010010000000001376,3140,3141,2764.29,2767.0542899999996,stop
8,3198,3180,2021-06,1,0,-1,True,-0.02995012609704427,-0.031980076223141314,3181,3183,2478.25,2552.4739,stop
8,3198,3138,2021-06,1,0,-1,True,0.06952902661646417,0.06759855564308064,3139,3153,2767.46,2575.0412,stop
9,3649,3632,2021-08,2,0,1,True,-0.013246717792172423,-0.015233471074380252,3633,3637,3223.44,3180.74,stop_gap
9,3649,3583,2021-08,2,0,1,True,0.0009999999999999378,-0.0010010000000000622,3584,3586,3220.0,3223.22,stop
9,3649,3626,2021-08,2,0,1,True,0.0009999999999999042,-0.001001000000000096,3627,3636,3156.55,3159.70655,stop
10,3745,3758,2021-09,2,2,1,True,-0.029999999999999975,-0.03196999999999997,3759,3761,3498.23,3393.2831,stop
11,3768,3828,2021-09,1,3,-1,True,0.0010000000000000649,-0.0009989999999999353,3829,3831,3027.48,3024.45252,stop
11,3768,3816,2021-09,1,3,-1,True,0.000999999999999971,-0.0009990000000000292,3817,3819,2946.99,2944.04301,stop
11,3768,3810,2021-09,1,3,-1,True,0.0010000000000000187,-0.0009989999999999815,3811,3812,3130.02,3126.88998,stop
12,3836,4003,2021-10,2,2,1,True,0.0009999999999999885,-0.0010010000000000114,4004,4010,4312.79,4317.10279,stop
12,3836,3854,2021-10,2,2,1,True,0.0009999999999999094,-0.0010010000000000906,3855,3856,3314.42,3317.73442,stop
12,3836,3961,2021-10,2,2,1,True,-0.030002338837236093,-0.031972336498398854,3962,3963,4147.36,4022.9295,stop
