i,event,direction
10973,entry_signal,1
11007,entry_signal,-1
11055,entry_signal,1
11095,entry_signal,-1
11106,entry_signal,1
11118,entry_signal,-1
11145,entry_signal,1
11228,entry_signal,1
11292,entry_signal,-1
11427,entry_signal,1
11479,entry_signal,-1
11582,entry_signal,1
11610,entry_signal,-1
11615,entry_signal,1
11615,shared_stop_on_reverse,1
11623,same_side_stop_reset,1
11626,entry_signal,-1
11630,entry_signal,1
11712,entry_signal,-1
11712,shared_stop_on_reverse,-1
11725,cooldown_skip,1
11805,entry_signal,1
11806,entry_signal,-1
11806,shared_stop_on_reverse,-1
11808,entry_signal,1
11836,entry_signal,1
11863,entry_signal,-1
11885,entry_signal,1
11898,entry_signal,-1
11922,entry_signal,1
11946,entry_signal,-1
12019,entry_signal,1
12238,entry_signal,-1
12273,entry_signal,1
12341,entry_signal,-1
12341,shared_stop_on_reverse,-1
12366,cooldown_skip,1
12405,entry_signal,-1
12481,entry_signal,1
12534,entry_signal,-1
12596,entry_signal,1
12596,shared_stop_on_reverse,1
12652,cooldown_skip,-1
12717,entry_signal,1
12725,entry_signal,-1
12746,entry_signal,1
12776,entry_signal,-1
12845,entry_signal,1
12858,entry_signal,-1
12860,entry_signal,1
12860,shared_stop_on_reverse,1
12863,entry_signal,-1
12940,entry_signal,1
12970,entry_signal,-1
12981,entry_signal,1
13041,entry_signal,-1
13094,entry_signal,1
13105,entry_signal,-1
13142,entry_signal,1
13145,entry_signal,-1
13145,shared_stop_on_reverse,-1
13148,entry_signal,1
13148,shared_stop_on_reverse,1
13204,entry_signal,-1
13204,shared_stop_on_reverse,-1
13230,cooldown_skip,1
13267,entry_signal,-1
13320,entry_signal,1
13320,shared_stop_on_reverse,1
13324,cooldown_skip,-1
13420,entry_signal,1
13430,entry_signal,-1
13489,entry_signal,1
13503,entry_signal,-1
13545,entry_signal,-1
13562,entry_signal,1
13623,entry_signal,-1
13694,entry_signal,1
13706,entry_signal,-1
13714,entry_signal,1
13714,shared_stop_on_reverse,1
13809,entry_signal,-1
13819,entry_signal,1
13831,entry_signal,-1
13850,entry_signal,1
13854,entry_signal,-1
13854,shared_stop_on_reverse,-1
