i,event,direction
2264,entry_signal,-1
2280,entry_signal,1
2325,entry_signal,-1
2358,entry_signal,-1
2365,entry_signal,1
2386,entry_signal,-1
2389,entry_signal,1
2513,entry_signal,-1
2567,entry_signal,1
2567,shared_stop_on_reverse,1
2578,cooldown_skip,-1
2584,entry_signal,1
2644,entry_signal,-1
2644,shared_stop_on_reverse,-1
2667,cooldown_skip,1
2722,entry_signal,1
2861,entry_signal,1
2875,entry_signal,-1
2888,entry_signal,1
3071,entry_signal,1
3087,entry_signal,-1
3102,entry_signal,1
3148,entry_signal,-1
3188,entry_signal,1
3198,entry_signal,-1
3270,entry_signal,1
3270,shared_stop_on_reverse,1
3331,cooldown_skip,-1
3411,entry_signal,1
3570,entry_signal,-1
3588,entry_signal,1
3618,entry_signal,-1
3634,entry_signal,1
3649,entry_signal,1
3698,entry_signal,-1
3745,entry_signal,1
3768,entry_signal,-1
3836,entry_signal,1
3906,entry_signal,-1
3906,shared_stop_on_reverse,-1
3914,cooldown_skip,1
4164,entry_signal,1
4178,entry_signal,-1
4193,entry_signal,1
4220,entry_signal,-1
4315,entry_signal,-1
4325,entry_signal,1
4366,entry_signal,-1
4464,entry_signal,1
4467,entry_signal,-1
4467,shared_stop_on_reverse,-1
4469,entry_signal,1
4469,shared_stop_on_reverse,1
4491,entry_signal,-1
4642,entry_signal,-1
4663,entry_signal,1
4674,entry_signal,-1
4726,entry_signal,1
4726,shared_stop_on_reverse,1
4764,cooldown_skip,-1
4832,entry_signal,1
4960,entry_signal,-1
4960,shared_stop_on_reverse,-1
5041,cooldown_skip,1
5056,entry_signal,-1
5131,entry_signal,1
5137,entry_signal,-1
5241,entry_signal,1
5241,shared_stop_on_reverse,1
5247,cooldown_skip,-1
5288,cooldown_skip,1
5300,cooldown_skip,-1
5326,cooldown_skip,1
5330,cooldown_skip,-1
5431,cooldown_skip,1
5464,cooldown_skip,-1
5501,entry_signal,1
5538,entry_signal,-1
5559,entry_signal,1
5624,entry_signal,-1
5637,entry_signal,1
5683,entry_signal,-1
5688,entry_signal,1
5761,entry_signal,-1
5853,entry_signal,1
5853,shared_stop_on_reverse,1
5887,cooldown_skip,-1
5889,entry_signal,1
5924,entry_signal,-1
6004,entry_signal,1
6012,entry_signal,-1
6017,entry_signal,1
6046,entry_signal,1
6071,entry_signal,-1
6124,entry_signal,1
6139,entry_signal,-1
6155,entry_signal,1
6227,entry_signal,-1
6227,shared_stop_on_reverse,-1
6233,cooldown_skip,1
6251,entry_signal,-1
6354,entry_signal,1
6429,entry_signal,-1
6442,entry_signal,1
6459,entry_signal,-1
6459,shared_stop_on_reverse,-1
6465,entry_signal,1
6483,entry_signal,-1
6530,entry_signal,1
6555,entry_signal,-1
6555,shared_stop_on_reverse,-1
6587,entry_signal,1
6724,entry_signal,-1
6724,shared_stop_on_reverse,-1
6734,cooldown_skip,1
