trade_id,case_signal_i,control_signal_i,month,hk_6h_block,vol_bin,direction,closed,control_gross_return,control_net_return,control_entry_i,control_exit_i,control_entry_price,control_exit_price,control_exit_reason
0,10973,10997,2025-01,0,0,1,True,-0.029999999999999936,-0.031969999999999936,10998.0,11001.0,3685.72,3575.1484,stop
0,10973,10996,2025-01,0,0,1,True,-0.029997368749423575,-0.031967371380674146,10997.0,11001.0,3686.46,3575.8759,stop
1,11007,11127,2025-01,3,2,-1,True,0.0010000000000000438,-0.000998999999999956,11128.0,11135.0,3180.15,3176.96985,stop
1,11007,11121,2025-01,3,2,-1,True,0.0009999999999999874,-0.0009990000000000125,11122.0,11123.0,3132.04,3128.90796,stop
1,11007,11109,2025-01,3,2,-1,True,0.016594266820287588,0.014610861087107876,11110.0,11139.0,3332.88,3277.5733,stop
2,11055,11037,2025-01,3,3,1,True,0.060596315523498825,0.058535719207975324,11038.0,11066.0,3047.38,3232.04,stop
2,11055,11097,2025-01,3,3,1,True,0.0009999999999998955,-0.0010010000000001045,11098.0,11117.0,3258.51,3261.76851,stop
2,11055,11013,2025-01,3,3,1,True,-0.0377063999035797,-0.03966869350367611,11014.0,11015.0,3318.8,3193.66,stop_gap
3,11095,11119,2025-01,2,3,-1,True,-0.03000335601084353,-0.03203335936685437,11120.0,11123.0,3069.12,3161.2039,stop
3,11095,11042,2025-01,2,3,-1,True,-0.030003202527198142,-0.03203320572972534,11043.0,11049.0,3216.21,3312.7066,stop
3,11095,11059,2025-01,2,3,-1,True,-0.0299969448621778,-0.03202694180703998,11060.0,11063.0,3371.37,3472.5008000000003,stop
4,11106,11124,2025-01,1,3,1,True,-0.030000000000000027,-0.031970000000000026,11125.0,11129.0,3201.47,3105.4258999999997,stop
4,11106,11130,2025-01,1,3,1,True,-0.005292256559394058,-0.007286964302834664,11131.0,11136.0,3129.1,3112.54,stop_gap
4,11106,11016,2025-01,1,3,1,True,0.0009999999999999393,-0.0010010000000000607,11017.0,11019.0,3253.05,3256.30305,stop
5,11118,11034,2025-01,1,1,-1,True,0.001000000000000027,-0.0009989999999999732,11035.0,11042.0,3241.14,3237.89886,stop
5,11118,11142,2025-01,1,1,-1,True,-0.029999999999999975,-0.032029999999999975,11143.0,11144.0,3229.54,3326.4262,stop
6,11145,11127,2025-01,3,2,1,True,-0.03000000000000003,-0.031970000000000026,11128.0,11129.0,3180.15,3084.7455,stop
6,11145,11025,2025-01,3,2,1,True,0.0009999999999999482,-0.001001000000000052,11026.0,11028.0,3270.06,3273.33006,stop
6,11145,11061,2025-01,3,2,1,True,0.0009999999999998294,-0.0010010000000001704,11062.0,11064.0,3420.44,3423.8604399999995,stop
