bar,k2_stop_buffer_atr,events,overlap_with_baseline,baseline_events_displaced,newly_accepted_events,all_mean_gross_bp,overlap_mean_gross_bp,new_mean_gross_bp,median_stop_distance_atr,median_fee_to_risk
15m,0.0,345,345,0,0,6.4897423280088145,6.4897423280088145,,0.8261598517001112,0.8166190935390778
15m,0.1,401,308,37,93,3.1657997385299823,4.801605357193517,-2.2517070415600027,0.8565360562485063,0.833152954941155
15m,0.2,445,278,67,167,2.4190359143499673,2.851901680630506,1.6984569740745794,0.9101930844360852,0.8196659296959723
15m,0.3,471,256,89,215,2.436111620751091,1.3303835747909216,3.752699433615293,0.9434420040990533,0.7782667653490235
15m,0.5,521,234,111,287,-2.766601435825715,-5.217306840521321,-0.7684653218927131,1.0707944873264983,0.6907200388957742
5m,0.0,755,755,0,0,2.6821426984126413,2.6821426984126413,,1.060024244082336,0.9704485981308004
5m,0.1,889,662,93,227,2.221930927316341,3.305258258382143,-0.937376091034148,1.0993906377585883,0.9526209631600105
5m,0.2,1005,565,190,440,1.8684559433902708,2.163151913957352,1.4900395266393596,1.139574925481106,0.9391410524031065
5m,0.3,1097,488,267,609,1.3730124344447376,-0.23670136469154734,2.662898040320776,1.1766405776109714,0.9299543498153808
5m,0.5,1250,374,381,876,0.6400382226807029,0.0106549503872217,0.9087475192991527,1.2856787562225127,0.8960935813519418
