bar,k2_stop_buffer_atr,baseline_outcome,buffered_outcome,events
15m,0.0,protected_stop,protected_stop,36
15m,0.0,protected_stop_ambiguous,protected_stop_ambiguous,3
15m,0.0,sl,sl,218
15m,0.0,sl_ambiguous,sl_ambiguous,3
15m,0.0,timeout,timeout,6
15m,0.0,tp,tp,79
15m,0.1,protected_stop,protected_stop,25
15m,0.1,protected_stop,protected_stop_ambiguous,1
15m,0.1,protected_stop,sl,7
15m,0.1,protected_stop,tp,3
15m,0.1,protected_stop_ambiguous,protected_stop,2
15m,0.1,protected_stop_ambiguous,tp,1
15m,0.1,sl,protected_stop,1
15m,0.1,sl,sl,214
15m,0.1,sl,tp,3
15m,0.1,sl_ambiguous,sl,1
15m,0.1,sl_ambiguous,sl_ambiguous,2
15m,0.1,timeout,timeout,6
15m,0.1,tp,protected_stop,7
15m,0.1,tp,sl,1
15m,0.1,tp,tp,71
15m,0.2,protected_stop,protected_stop,18
15m,0.2,protected_stop,sl,11
15m,0.2,protected_stop,timeout,1
15m,0.2,protected_stop,tp,6
15m,0.2,protected_stop_ambiguous,protected_stop,2
15m,0.2,protected_stop_ambiguous,tp,1
15m,0.2,sl,protected_stop,4
15m,0.2,sl,sl,207
15m,0.2,sl,timeout,2
15m,0.2,sl,tp,5
15m,0.2,sl_ambiguous,sl,3
15m,0.2,timeout,timeout,6
15m,0.2,tp,protected_stop,18
15m,0.2,tp,sl,1
15m,0.2,tp,tp,60
15m,0.3,protected_stop,protected_stop,11
15m,0.3,protected_stop,sl,17
15m,0.3,protected_stop,timeout,1
15m,0.3,protected_stop,tp,7
15m,0.3,protected_stop_ambiguous,protected_stop,2
15m,0.3,protected_stop_ambiguous,tp,1
15m,0.3,sl,protected_stop,4
15m,0.3,sl,sl,204
15m,0.3,sl,timeout,2
15m,0.3,sl,tp,8
15m,0.3,sl_ambiguous,sl,3
15m,0.3,timeout,timeout,6
15m,0.3,tp,protected_stop,29
15m,0.3,tp,sl,1
15m,0.3,tp,timeout,1
15m,0.3,tp,tp,48
15m,0.5,protected_stop,protected_stop,9
15m,0.5,protected_stop,sl,19
15m,0.5,protected_stop,timeout,1
15m,0.5,protected_stop,tp,7
15m,0.5,protected_stop_ambiguous,protected_stop,2
15m,0.5,protected_stop_ambiguous,tp,1
15m,0.5,sl,protected_stop,6
15m,0.5,sl,sl,194
15m,0.5,sl,timeout,5
15m,0.5,sl,tp,13
15m,0.5,sl_ambiguous,sl,3
15m,0.5,timeout,timeout,6
15m,0.5,tp,protected_stop,33
15m,0.5,tp,sl,5
15m,0.5,tp,timeout,4
15m,0.5,tp,tp,37
5m,0.0,protected_stop,protected_stop,155
5m,0.0,protected_stop_ambiguous,protected_stop_ambiguous,3
5m,0.0,sl,sl,454
5m,0.0,timeout,timeout,2
5m,0.0,tp,tp,141
5m,0.1,protected_stop,protected_stop,116
5m,0.1,protected_stop,protected_stop_ambiguous,2
5m,0.1,protected_stop,sl,23
5m,0.1,protected_stop,tp,14
5m,0.1,protected_stop_ambiguous,protected_stop_ambiguous,1
5m,0.1,protected_stop_ambiguous,tp,2
5m,0.1,sl,protected_stop,7
5m,0.1,sl,sl,440
5m,0.1,sl,timeout,1
5m,0.1,sl,tp,6
5m,0.1,timeout,timeout,2
5m,0.1,tp,protected_stop,19
5m,0.1,tp,tp,122
5m,0.2,protected_stop,protected_stop,91
5m,0.2,protected_stop,protected_stop_ambiguous,1
5m,0.2,protected_stop,sl,40
5m,0.2,protected_stop,tp,23
5m,0.2,protected_stop_ambiguous,protected_stop,1
5m,0.2,protected_stop_ambiguous,tp,2
5m,0.2,sl,protected_stop,16
5m,0.2,sl,sl,427
5m,0.2,sl,timeout,1
5m,0.2,sl,tp,10
5m,0.2,timeout,timeout,2
5m,0.2,tp,protected_stop,32
5m,0.2,tp,protected_stop_ambiguous,1
5m,0.2,tp,sl,1
5m,0.2,tp,tp,107
5m,0.3,protected_stop,protected_stop,68
5m,0.3,protected_stop,protected_stop_ambiguous,1
5m,0.3,protected_stop,sl,55
5m,0.3,protected_stop,tp,31
5m,0.3,protected_stop_ambiguous,protected_stop,1
5m,0.3,protected_stop_ambiguous,tp,2
5m,0.3,sl,protected_stop,22
5m,0.3,sl,sl,416
5m,0.3,sl,timeout,2
5m,0.3,sl,tp,14
5m,0.3,timeout,timeout,2
5m,0.3,tp,protected_stop,39
5m,0.3,tp,protected_stop_ambiguous,1
5m,0.3,tp,sl,2
5m,0.3,tp,tp,99
5m,0.5,protected_stop,protected_stop,53
5m,0.5,protected_stop,protected_stop_ambiguous,1
5m,0.5,protected_stop,sl,62
5m,0.5,protected_stop,timeout,1
5m,0.5,protected_stop,tp,38
5m,0.5,protected_stop_ambiguous,protected_stop,1
5m,0.5,protected_stop_ambiguous,tp,2
5m,0.5,sl,protected_stop,23
5m,0.5,sl,sl,405
5m,0.5,sl,timeout,4
5m,0.5,sl,tp,22
5m,0.5,timeout,timeout,2
5m,0.5,tp,protected_stop,46
5m,0.5,tp,protected_stop_ambiguous,1
5m,0.5,tp,sl,5
5m,0.5,tp,tp,89
