bar,k2_stop_buffer_atr,decision,events
15m,0.0,accepted,345
15m,0.0,cooldown,256
15m,0.0,fee_to_risk_above_max,936
15m,0.0,risk_atr_above_max,6
15m,0.0,risk_atr_below_min,118
15m,0.1,accepted,401
15m,0.1,cooldown,355
15m,0.1,fee_to_risk_above_max,884
15m,0.1,risk_atr_above_max,6
15m,0.1,risk_atr_below_min,15
15m,0.2,accepted,445
15m,0.2,cooldown,482
15m,0.2,fee_to_risk_above_max,726
15m,0.2,risk_atr_above_max,8
15m,0.3,accepted,471
15m,0.3,cooldown,576
15m,0.3,fee_to_risk_above_max,602
15m,0.3,risk_atr_above_max,12
15m,0.5,accepted,521
15m,0.5,cooldown,737
15m,0.5,fee_to_risk_above_max,384
15m,0.5,risk_atr_above_max,19
5m,0.0,accepted,755
5m,0.0,cooldown,798
5m,0.0,fee_to_risk_above_max,7179
5m,0.0,nonpositive_or_nonfinite_risk,3
5m,0.0,risk_atr_above_max,31
5m,0.0,risk_atr_below_min,577
5m,0.1,accepted,889
5m,0.1,cooldown,1117
5m,0.1,fee_to_risk_above_max,7235
5m,0.1,risk_atr_above_max,37
5m,0.1,risk_atr_below_min,65
5m,0.2,accepted,1005
5m,0.2,cooldown,1532
5m,0.2,fee_to_risk_above_max,6760
5m,0.2,risk_atr_above_max,46
5m,0.3,accepted,1097
5m,0.3,cooldown,2037
5m,0.3,fee_to_risk_above_max,6156
5m,0.3,risk_atr_above_max,53
5m,0.5,accepted,1250
5m,0.5,cooldown,3067
5m,0.5,fee_to_risk_above_max,4948
5m,0.5,risk_atr_above_max,78
