bar,k2_stop_buffer_atr,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout
15m,0.0,345,6.4897423280088145,-13.510257671991193,-38.492220228117915,0.34492753623188405,0.579992877731773,-0.8976624218491096,-0.9001502832647967,79,221,39,6
15m,0.1,345,6.052715761555083,-13.94728423844492,-41.84872048744957,0.3333333333333333,0.6017734830062645,-0.875629433177211,-0.8814079050601886,78,225,36,6
15m,0.2,345,5.096753514903014,-14.903246485096991,-44.043774068023275,0.336231884057971,0.5978259682773455,-0.857409454156141,-0.8641476202437252,72,222,42,9
15m,0.3,345,2.8845063729914373,-17.11549362700857,-46.69036923482082,0.32753623188405795,0.5690188103354145,-0.8664194318391587,-0.8707254661827603,64,225,46,10
15m,0.5,345,0.5327618983213215,-19.467238101678685,-51.72387001043497,0.3333333333333333,0.553442758798926,-0.8379037911565361,-0.8431584033118886,58,221,50,16
5m,0.0,755,2.6821426984126413,-17.317857301587363,-37.26734624236448,0.3827814569536424,0.3549744231155662,-0.9971106401265801,-0.9971106401265801,141,454,158,2
5m,0.1,755,2.305909753495617,-17.694090246504388,-39.504023582554986,0.36821192052980134,0.3858006080236494,-0.9955942740482918,-0.9955942740482918,144,463,145,3
5m,0.2,755,1.5759482180274063,-18.424051781972597,-41.2356402099001,0.3629139072847682,0.3962239781326582,-0.9941930350115529,-0.9942201529115927,142,468,142,3
5m,0.3,755,1.4614439360975524,-18.53855606390245,-43.08766107514959,0.3536423841059603,0.42523855403704014,-0.9917720992745194,-0.9917720992745194,146,473,132,4
5m,0.5,755,2.2261214623192678,-17.773878537680737,-46.50291992384757,0.3576158940397351,0.49579285314378246,-0.9832804100414352,-0.9832804100414352,151,472,125,7
