bar,k2_stop_buffer_atr,candidate_rows,decision_rows,all_folds_gross_positive,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,tp,sl,protected_stop,timeout,minimum_fold_events,eligible,robust_score_bp,worst_fold_net_bp,2023H1_events,2023H1_mean_net_bp,2023H2_events,2023H2_mean_net_bp,2024H1_events,2024H1_mean_net_bp,2024H2_events,2024H2_mean_net_bp,matched_events,matched_control_excess_bp,paired_signflip_p_one_sided
15m,0.0,1661,1661,False,345,6.4897423280088145,-13.510257671991193,-38.492220228117915,0.34492753623188405,0.579992877731773,-0.8976624218491096,-0.9001502832647967,79,221,39,6,62,True,-16.3510574594729,-20.540228852589355,89,-7.700339681729607,62,-20.540228852589355,87,-7.911461754042345,107,-18.821657043932724,345,9.267629209817574,0.006639933600663993
15m,0.1,1661,1661,False,401,3.1657997385299823,-16.834200261470023,-39.08440475895779,0.3092269326683292,0.5070996989582159,-0.9565223966395963,-0.9575922158924395,84,273,39,5,80,True,-20.428019029703908,-22.180960874638387,101,-9.582398753419582,80,-22.180960874638387,99,-15.205834770228483,121,-20.68460759116042,398,3.868024639204156,0.15484845151548485
15m,0.2,1661,1661,False,445,2.4190359143499673,-17.580964085650038,-39.425018486071146,0.32808988764044944,0.48366112867386474,-0.9627438760647011,-0.9637334902118535,90,293,56,6,95,True,-20.812348681840774,-22.885798786317462,111,-10.715734273895757,95,-22.885798786317462,111,-17.13445996776873,128,-19.984426348354297,443,3.7166551087027195,0.17623823761762383
15m,0.3,1661,1661,False,471,2.436111620751091,-17.56388837924892,-40.2376785302183,0.3375796178343949,0.4881895763891877,-0.9637737384716579,-0.9638971085329769,94,305,66,6,102,True,-19.147922732650912,-26.015318777357415,115,-15.579807686222635,102,-26.015318777357415,118,-12.143495129020021,136,-17.606019133792774,469,1.4970327211557577,0.3353266467335327
15m,0.5,1661,1661,False,521,-2.766601435825715,-22.76660143582572,-42.13638326147738,0.30902111324376197,0.39454573397213294,-0.9843653014050381,-0.9844186939086155,80,350,81,10,120,True,-23.06766088862457,-28.56406760958525,127,-20.21484674358148,120,-28.56406760958525,133,-20.56110637045021,141,-22.211337242625845,515,-1.393800332970106,0.6503834961650383
5m,0.0,9343,9343,False,755,2.6821426984126413,-17.317857301587363,-37.26734624236448,0.3827814569536424,0.3549744231155662,-0.9971106401265801,-0.9971106401265801,141,454,158,2,114,True,-17.6843960795863,-21.06814222464793,180,-21.06814222464793,114,-16.264488351127824,227,-16.91190811344184,234,-15.34000789949557,664,2.3435725303019095,0.0966190338096619
5m,0.1,9343,9343,True,889,2.221930927316341,-17.778069072683664,-37.451294697150566,0.3678290213723285,0.3487737945342756,-0.9992971492248581,-0.9992971492248581,157,546,183,3,134,True,-18.211403506496502,-19.897356086688475,213,-19.897356086688475,134,-15.913392866676896,267,-18.379622853107414,275,-16.461136775406356,727,3.0893829375750252,0.031269687303126965
5m,0.2,9343,9343,True,1005,1.8684559433902708,-18.131544056609734,-37.45965442082165,0.37412935323383084,0.3396118086505519,-0.9997075715936702,-0.9997075715936702,181,618,203,3,161,True,-19.48220068325662,-19.92498330866911,249,-19.92498330866911,161,-19.719842938408203,290,-17.72107092178924,305,-16.219264434857614,751,1.0915190216385249,0.25508744912550874
5m,0.3,9343,9343,False,1097,1.3730124344447376,-18.62698756555526,-37.78008160577382,0.3609845031905196,0.3426341563844687,-0.9998569114992781,-0.9998569114992781,207,688,198,4,187,True,-19.029093909175465,-22.404885234521945,270,-22.404885234521945,187,-17.947181912118648,312,-17.90976706770097,328,-16.586939034769244,790,1.0674755005985415,0.26351736482635174
5m,0.5,9343,9343,False,1250,0.6400382226807029,-19.3599617773193,-38.18342851580279,0.3424,0.34858445054758824,-0.9999721950790472,-0.9999721950790472,225,807,212,6,223,True,-20.482371591944965,-21.71901015733129,314,-21.71901015733129,223,-19.112487823675828,348,-20.07311277592559,365,-16.80179452478161,771,0.2745903224676434,0.4395956040439596
