timeframe,full_mean_positive,later_mean_positive,excess_positive,p_below_0_01,passed
5m,False,False,True,True,False
15m,False,False,True,False,False
30m,True,False,True,False,False
1h,True,False,True,True,False
4h,True,False,False,False,False
1d,True,False,False,False,False
