timeframe,streams,skipped,bars_in_window,streams_ready_in_window,v9_long_signals,lines_born,line_breaks,joint_signals,streams_with_joint,pivot_ties,partial_buckets,gaps
5m,638,0,82622997,624,92432,260191,265424,16758,621,17878164,0,8
15m,638,0,27540770,623,26939,92179,94288,5519,614,5674549,4,8
30m,638,0,13770253,623,14259,47010,48342,3084,581,2786918,87,8
1h,638,0,6885049,622,7757,24628,25226,1651,528,1388723,247,8
4h,638,0,1721128,624,1834,6353,6445,367,254,351085,382,8
1d,638,0,286708,453,43,440,429,8,8,57208,604,92
