timeframe,joint_taken,v9_long_taken,joint_on_a_v9_bar,joint_per_v9_long
5m,16268,78130,12582,0.20821707410725712
15m,5339,23223,4208,0.229901390862507
30m,2971,12174,2271,0.24404468539510432
1h,1594,6565,1283,0.2428027418126428
4h,353,1619,279,0.21803582458307597
1d,8,41,7,0.1951219512195122
