entry_month,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2023-01,11,-3.222244003918386,-14.22246942004803,-35.44468404310224,0.847674171876243,False,0.2727272727272727,8,0
2023-02,12,-40.86716647362542,-40.808519447964045,-490.40599768350506,0.2656709795951909,False,0.16666666666666666,10,0
2023-03,5,-26.531170058363983,-54.2380077625204,-132.65585029181992,0.6393964917400338,False,0.2,4,0
2023-04,12,4.082131370991653,-35.460359979195395,48.98557645189983,1.1093271897970503,False,0.25,9,0
2023-05,6,23.684523387071927,14.584686417859734,142.10714032243155,2.120391232815179,False,0.5,3,0
2023-06,9,-7.044065478098948,-37.9856812270576,-63.39658930289053,0.7977851535432214,False,0.1111111111111111,8,0
2023-07,14,-22.486792259665485,-29.796093563335134,-314.8150916353168,0.31847932107581367,False,0.21428571428571427,11,0
2023-08,10,-5.49501154622288,-18.00840574473212,-54.9501154622288,0.6415610305263111,False,0.1,9,0
2023-09,11,-34.94977684177336,-33.5256462577102,-384.4475452595069,0.019380287231271456,False,0.09090909090909091,10,0
2023-10,9,-46.06051844609126,-35.48984781969409,-414.5446660148213,0.020624403468134808,False,0.1111111111111111,8,0
2023-11,10,-29.33695889102586,-19.944670087193593,-293.3695889102586,0.17025250465392716,False,0.2,8,0
2023-12,12,-24.507458125943504,-25.24522084728629,-294.08949751132207,0.2061799025969399,False,0.16666666666666666,10,0
2024-01,10,-5.578883010316485,-30.945534959787764,-55.78883010316484,0.8582036861563684,False,0.2,8,0
2024-02,9,-40.12615673922103,-56.67514646931854,-361.13541065298926,0.3471548548122734,False,0.1111111111111111,8,0
2024-03,10,24.851295381484228,-6.284281578123867,248.5129538148423,1.8023303082522915,False,0.5,5,0
2024-04,9,-33.1397327248247,-52.43382899113721,-298.25759452342226,0.40246600462752946,False,0.3333333333333333,6,0
2024-05,11,-26.17919516495762,-45.119217855275515,-287.97114681453377,0.362134780608796,False,0.18181818181818182,9,0
2024-06,6,-30.397179901791386,-30.859046785035577,-182.3830794107483,0.0,False,0.0,6,0
2024-07,10,-5.73149438942006,-24.06087106017756,-57.3149438942006,0.8547325838462339,False,0.3,7,0
2024-08,12,13.691053744464405,-33.881443934460044,164.29264493357286,1.4726892662268123,False,0.3333333333333333,8,0
2024-09,9,-5.899275732930296,-31.433903183464327,-53.09348159637267,0.8723366966448884,False,0.1111111111111111,8,0
2024-10,16,-47.98024619077598,-46.50709499874021,-767.6839390524157,0.0,False,0.0,16,0
2024-11,16,-26.283774145565587,-36.13501196743409,-420.5403863290494,0.42758016718690645,False,0.1875,13,0
2024-12,12,5.980849960643908,-57.753371349803814,71.77019952772689,1.1113416774755944,False,0.3333333333333333,8,0
