symbol,fold,policy,n,mean_net_bp,without_best_bp,median_bp,best_bp,worst_bp,matched_case_bp,control_bp
BTC,discovery,P00_base,56,162.11279766083544,64.71199040067438,-223.64271025984095,5519.157196969695,-1081.104050254984,190.01310510019331,56.328752954538466
BTC,discovery,P02_dense_now,50,71.02812797834893,-16.76121084677938,-223.64271025984095,4372.705730409636,-1081.104050254984,90.31238602091653,-38.66615989869173
BTC,discovery,P08_htf_either,35,-65.20341272292777,-174.8379843164838,-226.64815398634408,3662.372021457978,-1062.858763471355,-40.772037065928394,-123.2000234928593
BTC,exposed,P00_base,15,192.43739350299663,40.03732150717131,-69.75790306811278,2326.0384014445513,-588.3890391511359,192.43739350299663,152.36896297449618
BTC,exposed,P02_dense_now,14,225.3929889186089,63.80488026276718,0.8678379550331101,2326.0384014445513,-588.3890391511359,225.3929889186089,174.31910322286976
BTC,exposed,P08_htf_either,13,120.58266448674804,-63.20531359306887,-69.75790306811278,2326.0384014445513,-588.3890391511359,120.58266448674804,79.29835348433812
BTC,replication,P00_base,34,-45.177451674141125,-118.87747399622044,-188.72424554198628,2386.9232849544765,-959.0821261175696,-39.22291582406112,-122.67450931306163
BTC,replication,P02_dense_now,28,15.611322684346492,-72.21504628862128,-188.72424554198628,2386.9232849544765,-610.2456273971123,25.14052481068455,-88.18952918911602
BTC,replication,P08_htf_either,27,16.013385944755665,-75.17545632484898,-193.56791433026152,2386.9232849544765,-610.2456273971123,25.92455981673784,-69.13553541521696
ETH,discovery,P00_base,66,6.761803290805332,-82.35034380234549,-221.26893286064205,5799.051364345609,-1344.52893492213,50.85730941715319,-39.640672302248674
ETH,discovery,P02_dense_now,54,45.55201722232101,-63.00457423283536,-230.29058504354714,5799.051364345609,-1344.52893492213,96.54006209581847,16.201051283343165
ETH,discovery,P08_htf_either,43,31.909857996666393,-105.40303501164176,-222.5075826830291,5799.051364345609,-1344.52893492213,82.82826380200919,33.57147820767981
ETH,exposed,P00_base,14,205.4626744090179,-7.948351376275923,-287.14275575076556,2979.806009617838,-1042.1942490662427,205.46267440901792,184.63227472265973
ETH,exposed,P02_dense_now,12,304.06172993006635,60.812249958450735,-83.963966310302,2979.806009617838,-1042.1942490662427,304.0617299300663,272.3898655826058
ETH,exposed,P08_htf_either,9,-79.85018853371619,-211.47271654549223,-294.86244141023076,973.1300355604922,-1042.1942490662427,-79.85018853371622,-215.9336621206704
ETH,replication,P00_base,30,88.43235480182899,-49.974610655590716,-324.1870596654089,4102.2343530670005,-1225.7382167458377,116.44013399942966,62.534791390255045
ETH,replication,P02_dense_now,26,224.37447933535228,69.26008438608635,-255.16276150387148,4102.2343530670005,-1225.7382167458377,282.1913319386118,178.30849966801682
ETH,replication,P08_htf_either,22,342.31084653554194,163.2668700340439,-181.74874719199317,4102.2343530670005,-809.4069178818675,408.31523311262197,270.1733547748317
