symbol,minutes,fold,start,end,bars,anchors,union_entries
BTC,15,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,70175,1091,1161
BTC,15,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,35039,539,573
BTC,15,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,17375,255,272
BTC,30,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,35087,535,603
BTC,30,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,17519,274,307
BTC,30,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,8687,129,144
BTC,60,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,17543,247,265
BTC,60,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,8759,149,161
BTC,60,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,4343,60,67
BTC,120,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,8771,118,127
BTC,120,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,4379,73,78
BTC,120,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2171,29,29
BTC,240,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,4385,56,65
BTC,240,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2189,34,34
BTC,240,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,1085,15,16
BTC,360,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2923,37,39
BTC,360,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1459,24,26
BTC,360,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,723,7,7
BTC,720,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,1461,21,27
BTC,720,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,729,10,12
BTC,720,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,361,5,6
ETH,15,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,70175,1085,1155
ETH,15,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,35039,570,597
ETH,15,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,17375,246,257
ETH,30,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,35087,552,606
ETH,30,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,17519,284,317
ETH,30,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,8687,130,150
ETH,60,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,17543,266,296
ETH,60,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,8759,140,155
ETH,60,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,4343,59,62
ETH,120,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,8771,126,140
ETH,120,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,4379,77,90
ETH,120,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,2171,34,36
ETH,240,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,4385,66,72
ETH,240,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2189,30,32
ETH,240,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,1085,14,15
ETH,360,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2923,42,44
ETH,360,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,1459,20,22
ETH,360,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,723,10,12
ETH,720,discovery,2023-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,1461,24,26
ETH,720,replication,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,729,10,10
ETH,720,exposed,2026-01-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,361,6,6
