stream_key,venue,symbol,asset,timeframe_min,arm,events,closed,censored,net_r,gross_r,realized_ge10,admitted
binance_240m_0048c474ae7d6dbc,binance,API3USDT,API3,240,v10_a12,4,4,0,-0.19728967105839312,-0.12886784268362983,0,4
binance_240m_0048c474ae7d6dbc,binance,API3USDT,API3,240,v10_a200,7,7,0,-0.6749534994541493,-0.5259445783718157,0,7
binance_240m_0048c474ae7d6dbc,binance,API3USDT,API3,240,v10_a48,6,6,0,-2.259535716262917,-2.1288678426836287,0,6
binance_240m_0048c474ae7d6dbc,binance,API3USDT,API3,240,v10_now,1,1,0,1.1216085526315787,1.1348684210526312,0,1
binance_240m_0048c474ae7d6dbc,binance,API3USDT,API3,240,v9,7,7,0,-0.6749534994541493,-0.5259445783718157,0,7
binance_240m_021383e29d0b16d2,binance,XVGUSDT,XVG,240,v10_a12,5,5,0,2.9225655950826575,3.078499979121567,0,5
binance_240m_021383e29d0b16d2,binance,XVGUSDT,XVG,240,v10_a200,8,8,0,2.696929085068567,2.912273822248755,0,9
binance_240m_021383e29d0b16d2,binance,XVGUSDT,XVG,240,v10_a48,5,5,0,2.9225655950826575,3.078499979121567,0,5
binance_240m_021383e29d0b16d2,binance,XVGUSDT,XVG,240,v10_now,2,2,0,-2.052267396330013,-2.0000000000000027,0,2
binance_240m_021383e29d0b16d2,binance,XVGUSDT,XVG,240,v9,10,10,0,1.470488420908165,1.7442495950140005,0,11
binance_240m_026766676690a0de,binance,WAVESUSDT,WAVES,240,v10_a12,0,0,0,0.0,0.0,0,0
binance_240m_026766676690a0de,binance,WAVESUSDT,WAVES,240,v10_a200,0,0,0,0.0,0.0,0,0
binance_240m_026766676690a0de,binance,WAVESUSDT,WAVES,240,v10_a48,0,0,0,0.0,0.0,0,0
binance_240m_026766676690a0de,binance,WAVESUSDT,WAVES,240,v10_now,0,0,0,0.0,0.0,0,0
binance_240m_026766676690a0de,binance,WAVESUSDT,WAVES,240,v9,0,0,0,0.0,0.0,0,0
binance_240m_02e0cb11d23a838a,binance,HIGHUSDT,HIGH,240,v10_a12,3,3,0,2.2054245190632265,2.3050276505528116,0,3
binance_240m_02e0cb11d23a838a,binance,HIGHUSDT,HIGH,240,v10_a200,8,8,0,2.7266912214997507,2.993354792414888,0,8
binance_240m_02e0cb11d23a838a,binance,HIGHUSDT,HIGH,240,v10_a48,5,5,0,2.661964266663269,2.823863266991167,0,5
binance_240m_02e0cb11d23a838a,binance,HIGHUSDT,HIGH,240,v10_now,0,0,0,0.0,0.0,0,0
binance_240m_02e0cb11d23a838a,binance,HIGHUSDT,HIGH,240,v9,10,10,0,3.679872822623345,3.9933547924148867,0,10
binance_240m_02e5b6ae13d9b8b0,binance,OGNUSDT,OGN,240,v10_a12,3,3,0,2.855367391416319,2.9090339927665427,0,3
binance_240m_02e5b6ae13d9b8b0,binance,OGNUSDT,OGN,240,v10_a200,11,10,1,7.086821153517403,7.2852729907906815,0,11
binance_240m_02e5b6ae13d9b8b0,binance,OGNUSDT,OGN,240,v10_a48,7,6,1,6.726068277601695,6.849749876435454,0,7
binance_240m_02e5b6ae13d9b8b0,binance,OGNUSDT,OGN,240,v10_now,2,2,0,1.5440911393969334,1.5778546712802748,0,2
binance_240m_02e5b6ae13d9b8b0,binance,OGNUSDT,OGN,240,v9,11,10,1,7.086821153517403,7.2852729907906815,0,11
binance_240m_034360160d8cd752,binance,COSUSDT,COS,240,v10_a12,1,1,0,-1.0147659574468086,-1.0000000000000002,0,2
binance_240m_034360160d8cd752,binance,COSUSDT,COS,240,v10_a200,5,5,0,1.0820915242908076,1.2424884743786868,0,6
binance_240m_034360160d8cd752,binance,COSUSDT,COS,240,v10_a48,3,3,0,3.1309201217222995,3.24248847437869,0,4
binance_240m_034360160d8cd752,binance,COSUSDT,COS,240,v10_now,0,0,0,0.0,0.0,0,0
binance_240m_034360160d8cd752,binance,COSUSDT,COS,240,v9,6,6,0,0.0409705051825251,0.24248847437868482,0,7
binance_240m_03537aa8c682f9d4,binance,TNSRUSDT,TNSR,240,v10_a12,4,4,0,2.258535186959591,2.3374525237508434,0,5
binance_240m_03537aa8c682f9d4,binance,TNSRUSDT,TNSR,240,v10_a200,7,7,0,1.5783887903256473,1.7036134107745111,0,12
binance_240m_03537aa8c682f9d4,binance,TNSRUSDT,TNSR,240,v10_a48,6,6,0,0.22040899534748792,0.337452523750843,0,9
binance_240m_03537aa8c682f9d4,binance,TNSRUSDT,TNSR,240,v10_now,1,1,0,0.8068684089867036,0.8207244383310411,0,1
binance_240m_03537aa8c682f9d4,binance,TNSRUSDT,TNSR,240,v9,7,7,0,1.5783887903256473,1.7036134107745111,0,12
binance_240m_046c65084c49df77,binance,GWEIUSDT,GWEI,240,v10_a12,0,0,0,0.0,0.0,0,0
binance_240m_046c65084c49df77,binance,GWEIUSDT,GWEI,240,v10_a200,0,0,0,0.0,0.0,0,0
