sample_id,split,class_name,target,event_id,positive_event_id,source_group,source_task_id,sample_kind,label_provenance,tip_offset,anchor_time,input_start_time,input_end_time,label_end_time,image_rel,image_sha256
eth3m_20260314T063900Z_owner_no_tip_negative_t038,train,no_start,0,1,,owner_no_038,38,owner_no_tip_negative,label_studio_project_53_owner_no,0,2026-03-14T06:39:00+00:00,2026-03-13T20:42:00+00:00,2026-03-14T06:39:00+00:00,2026-03-14T09:39:00+00:00,train/no_start/eth3m_20260314T063900Z_owner_no_tip_negative_t038.png,c40a242a92779ebb24f29d7588048b9ec28336bdec527aeec94c96b36adf6498
eth3m_20260315T123900Z_confirmed_current_tip_t041,train,short_start,1,2,p001,calibration_p001_t041,41,confirmed_current_tip,owner_batch_chat_confirmed_current_T,0,2026-03-15T12:39:00+00:00,2026-03-15T02:42:00+00:00,2026-03-15T12:39:00+00:00,2026-03-15T15:39:00+00:00,train/short_start/eth3m_20260315T123900Z_confirmed_current_tip_t041.png,fc85748ddacca00361df71159316ccb432f66b15fe4ff51da33fce7377d8ec7c
eth3m_20260316T084200Z_owner_no_tip_negative_t039,train,no_start,0,3,,owner_no_039,39,owner_no_tip_negative,label_studio_project_53_owner_no,0,2026-03-16T08:42:00+00:00,2026-03-15T22:45:00+00:00,2026-03-16T08:42:00+00:00,2026-03-16T11:42:00+00:00,train/no_start/eth3m_20260316T084200Z_owner_no_tip_negative_t039.png,d3e1950f2a666b12833cda4979cfaa91e289b9cf6ef8396b201009413f4091d0
eth3m_20260316T084500Z_owner_no_tip_negative_t160,train,no_start,0,3,,owner_no_160,160,owner_no_tip_negative,label_studio_project_53_owner_no,0,2026-03-16T08:45:00+00:00,2026-03-15T22:48:00+00:00,2026-03-16T08:45:00+00:00,2026-03-16T11:45:00+00:00,train/no_start/eth3m_20260316T084500Z_owner_no_tip_negative_t160.png,91ae52d3b89b1bf52092fe008fbdb11cea24dbfd7f6b1de85e9cce483766fa8e
eth3m_20260316T143600Z_owner_no_tip_negative_t154,train,no_start,0,4,,owner_no_154,154,owner_no_tip_negative,label_studio_project_53_owner_no,0,2026-03-16T14:36:00+00:00,2026-03-16T04:39:00+00:00,2026-03-16T14:36:00+00:00,2026-03-16T17:36:00+00:00,train/no_start/eth3m_20260316T143600Z_owner_no_tip_negative_t154.png,db10998cabb2a99fe6c56851ae4651b8d9a5c1e5a3d3086efd30903a3e7f37f3
eth3m_20260316T144500Z_owner_no_tip_negative_t049,train,no_start,0,4,,owner_no_049,49,owner_no_tip_negative,label_studio_project_53_owner_no,0,2026-03-16T14:45:00+00:00,2026-03-16T04:48:00+00:00,2026-03-16T14:45:00+00:00,2026-03-16T17:45:00+00:00,train/no_start/eth3m_20260316T144500Z_owner_no_tip_negative_t049.png,5946ef59869c5529b917df3bb28f4be40d3a3171a82ff8d7b6b589770ff59a44
eth3m_20260317T043300Z_owner_no_tip_negative_t107,train,no_start,0,5,,owner_no_107,107,owner_no_tip_negative,label_studio_project_53_owner_no,0,2026-03-17T04:33:00+00:00,2026-03-16T18:36:00+00:00,2026-03-17T04:33:00+00:00,2026-03-17T07:33:00+00:00,train/no_start/eth3m_20260317T043300Z_owner_no_tip_negative_t107.png,a941cb5d0607bb363778c69ddd9b6829b53590605a955641233a37565041f547
eth3m_20260317T090900Z_owner_no_tip_negative_t065,train,no_start,0,6,,owner_no_065,65,owner_no_tip_negative,label_studio_project_53_owner_no,0,2026-03-17T09:09:00+00:00,2026-03-16T23:12:00+00:00,2026-03-17T09:09:00+00:00,2026-03-17T12:09:00+00:00,train/no_start/eth3m_20260317T090900Z_owner_no_tip_negative_t065.png,c5354671920efaee1fb5bc36ff16360d59f528f48cf82eaf672923922f2a47bc
eth3m_20260317T091200Z_owner_no_tip_negative_t105,train,no_start,0,6,,owner_no_105,105,owner_no_tip_negative,label_studio_project_53_owner_no,0,2026-03-17T09:12:00+00:00,2026-03-16T23:15:00+00:00,2026-03-17T09:12:00+00:00,2026-03-17T12:12:00+00:00,train/no_start/eth3m_20260317T091200Z_owner_no_tip_negative_t105.png,35b8ddea9d3adc8facb542249603c9651979e35ce9d4feb953845f8d890a2baa
eth3m_20260317T153900Z_owner_no_tip_negative_t197,train,no_start,0,7,,owner_no_197,197,owner_no_tip_negative,label_studio_project_53_owner_no,0,2026-03-17T15:39:00+00:00,2026-03-17T05:42:00+00:00,2026-03-17T15:39:00+00:00,2026-03-17T18:39:00+00:00,train/no_start/eth3m_20260317T153900Z_owner_no_tip_negative_t197.png,9d360f09663edaa48e7574c2702a604e2e491b7f109e107ac969889cbcb52c15
