event_id,start,label_end,source_groups,positive_event_ids,positive_event_count,sample_anchor_min,sample_anchor_max,cumulative_positive_events,split
1,2026-03-14 06:00:00+00:00,2026-03-14 09:39:00+00:00,owner_no_038,,0,2026-03-14 06:39:00+00:00,2026-03-14 06:39:00+00:00,0,train
2,2026-03-15 12:33:00+00:00,2026-03-15 15:39:00+00:00,calibration_p001_t041,p001,1,2026-03-15 12:39:00+00:00,2026-03-15 12:39:00+00:00,1,train
3,2026-03-16 08:00:00+00:00,2026-03-16 11:45:00+00:00,"owner_no_039,owner_no_160",,0,2026-03-16 08:42:00+00:00,2026-03-16 08:45:00+00:00,1,train
4,2026-03-16 13:57:00+00:00,2026-03-16 17:45:00+00:00,"owner_no_154,owner_no_049",,0,2026-03-16 14:36:00+00:00,2026-03-16 14:45:00+00:00,1,train
5,2026-03-17 03:57:00+00:00,2026-03-17 07:33:00+00:00,owner_no_107,,0,2026-03-17 04:33:00+00:00,2026-03-17 04:33:00+00:00,1,train
6,2026-03-17 08:39:00+00:00,2026-03-17 12:12:00+00:00,"owner_no_065,owner_no_105",,0,2026-03-17 09:09:00+00:00,2026-03-17 09:12:00+00:00,1,train
7,2026-03-17 15:03:00+00:00,2026-03-17 18:39:00+00:00,owner_no_197,,0,2026-03-17 15:39:00+00:00,2026-03-17 15:39:00+00:00,1,train
8,2026-03-17 19:15:00+00:00,2026-03-17 22:57:00+00:00,"owner_no_149,owner_no_027",,0,2026-03-17 19:54:00+00:00,2026-03-17 19:57:00+00:00,1,train
9,2026-03-18 11:03:00+00:00,2026-03-18 14:03:00+00:00,calibration_p002_t104,p002,1,2026-03-18 11:03:00+00:00,2026-03-18 11:03:00+00:00,2,train
10,2026-03-19 06:39:00+00:00,2026-03-19 10:24:00+00:00,"owner_no_073,owner_no_026",,0,2026-03-19 07:15:00+00:00,2026-03-19 07:24:00+00:00,2,train
11,2026-03-19 12:12:00+00:00,2026-03-19 16:09:00+00:00,"calibration_p003_t042,owner_no_148",p003,1,2026-03-19 12:12:00+00:00,2026-03-19 13:09:00+00:00,3,train
12,2026-03-20 01:57:00+00:00,2026-03-20 07:42:00+00:00,"calibration_p004_t096,owner_no_111",p004,1,2026-03-20 02:15:00+00:00,2026-03-20 04:42:00+00:00,4,train
13,2026-03-20 09:30:00+00:00,2026-03-20 13:06:00+00:00,owner_no_162,,0,2026-03-20 10:06:00+00:00,2026-03-20 10:06:00+00:00,4,train
14,2026-03-21 23:21:00+00:00,2026-03-22 02:21:00+00:00,calibration_p005_t085,p005,1,2026-03-21 23:21:00+00:00,2026-03-21 23:21:00+00:00,5,train
15,2026-03-22 07:54:00+00:00,2026-03-22 11:33:00+00:00,owner_no_144,,0,2026-03-22 08:33:00+00:00,2026-03-22 08:33:00+00:00,5,train
16,2026-03-22 18:03:00+00:00,2026-03-23 03:36:00+00:00,"calibration_p006_t141,owner_no_196,owner_no_186,owner_no_175,owner_no_128,owner_no_115",p006,1,2026-03-22 18:03:00+00:00,2026-03-23 00:36:00+00:00,6,train
17,2026-03-23 05:57:00+00:00,2026-03-23 10:03:00+00:00,"calibration_p007_t151,owner_no_050",p007,1,2026-03-23 06:21:00+00:00,2026-03-23 07:03:00+00:00,7,train
18,2026-03-24 13:45:00+00:00,2026-03-24 20:15:00+00:00,"owner_no_195,owner_no_147",,0,2026-03-24 14:24:00+00:00,2026-03-24 17:15:00+00:00,7,train
19,2026-03-25 12:00:00+00:00,2026-03-25 18:12:00+00:00,"owner_no_014,owner_no_037,calibration_p008_t127",p008,1,2026-03-25 12:30:00+00:00,2026-03-25 15:12:00+00:00,8,train
20,2026-03-26 05:18:00+00:00,2026-03-26 08:57:00+00:00,"owner_no_005,owner_no_120",,0,2026-03-26 05:51:00+00:00,2026-03-26 05:57:00+00:00,8,train
21,2026-03-26 09:06:00+00:00,2026-03-26 12:36:00+00:00,owner_no_100,,0,2026-03-26 09:36:00+00:00,2026-03-26 09:36:00+00:00,8,train
