policy,period,timeframe_min,direction,signals,trades,win_rate,profit_factor,net_r,mean_loss_r,closed_trade_max_drawdown_r,realized_ge_10r_count,exit_reasons
back_inside_rope_2,development,30,long,15091,12422,0.2885203670906456,1.1240359552433474,1048.4661367581593,-0.9564291749017146,2088.0975997892774,98,"{""back_inside_rope_2_next_open"": 1192, ""initial_stop"": 6211, ""initial_stop_gap"": 2, ""opposite_v6_next_open"": 1525, ""trailing_stop"": 3490, ""trailing_stop_gap"": 2}"
back_inside_rope_2,development,30,short,15195,12495,0.33117246898759506,1.1977952480819332,1587.0249464894896,-0.960102272453628,1516.4961152092662,34,"{""back_inside_rope_2_next_open"": 1114, ""initial_stop"": 5843, ""initial_stop_gap"": 5, ""opposite_v6_next_open"": 1730, ""trailing_stop"": 3800, ""trailing_stop_gap"": 3}"
back_inside_rope_2,development,60,long,8560,6649,0.2871108437359001,0.9006484267715537,-443.296120654945,-0.9413277040795827,1167.1168260010113,38,"{""back_inside_rope_2_next_open"": 575, ""initial_stop"": 3351, ""opposite_v6_next_open"": 833, ""trailing_stop"": 1890}"
back_inside_rope_2,development,60,short,7424,6101,0.29454187838059337,0.7808180240706792,-886.743403287175,-0.9399848756992407,1096.7309305256017,2,"{""back_inside_rope_2_next_open"": 475, ""initial_stop"": 3184, ""initial_stop_gap"": 2, ""opposite_v6_next_open"": 854, ""trailing_stop"": 1586}"
back_inside_rope_2,development,240,long,2524,1982,0.3738647830474268,2.004462737272106,1157.2912190372438,-0.9284040923577648,205.82254701769997,30,"{""back_inside_rope_2_next_open"": 168, ""initial_stop"": 898, ""initial_stop_gap"": 5, ""opposite_v6_next_open"": 157, ""trailing_stop"": 750, ""trailing_stop_gap"": 4}"
back_inside_rope_2,development,240,short,2431,1900,0.23,0.4925969559146014,-689.1177372342472,-0.9283164233997099,688.802450385174,0,"{""back_inside_rope_2_next_open"": 119, ""initial_stop"": 1130, ""initial_stop_gap"": 7, ""opposite_v6_next_open"": 282, ""trailing_stop"": 361, ""trailing_stop_gap"": 1}"
back_inside_rope_3,development,30,long,15091,12487,0.2826940017618323,1.1160648810675404,969.2771204557641,-0.9323619822221978,2036.920473581342,96,"{""back_inside_rope_3_next_open"": 1704, ""initial_stop"": 5839, ""initial_stop_gap"": 2, ""opposite_v6_next_open"": 1505, ""trailing_stop"": 3435, ""trailing_stop_gap"": 2}"
back_inside_rope_3,development,30,short,15195,12576,0.3259382951653944,1.19197355724097,1526.7620500849594,-0.9381834355982109,1504.6138152018914,34,"{""back_inside_rope_3_next_open"": 1596, ""initial_stop"": 5507, ""initial_stop_gap"": 5, ""opposite_v6_next_open"": 1699, ""trailing_stop"": 3766, ""trailing_stop_gap"": 3}"
back_inside_rope_3,development,60,long,8560,6704,0.28192124105011934,0.8966403413466282,-456.3749152873113,-0.917201197374077,1157.5305726211825,38,"{""back_inside_rope_3_next_open"": 821, ""initial_stop"": 3197, ""opposite_v6_next_open"": 817, ""trailing_stop"": 1869}"
back_inside_rope_3,development,60,short,7424,6151,0.2900341407901154,0.7879057152771496,-844.0298222121693,-0.9112669807904026,1081.5288873355485,2,"{""back_inside_rope_3_next_open"": 783, ""initial_stop"": 2965, ""initial_stop_gap"": 2, ""opposite_v6_next_open"": 826, ""trailing_stop"": 1575}"
