stream_key,baseline_parity
binance_240m_0048c474ae7d6dbc,passed
binance_240m_021383e29d0b16d2,passed
binance_240m_026766676690a0de,passed
binance_240m_02e0cb11d23a838a,passed
binance_240m_02e5b6ae13d9b8b0,passed
binance_240m_034360160d8cd752,passed
binance_240m_03537aa8c682f9d4,passed
binance_240m_046c65084c49df77,passed
binance_240m_04a1e0fcf568a486,passed
binance_240m_04f2c1a5462e3b5a,passed
binance_240m_04f5b000218350b3,passed
binance_240m_05302eb4febd65c7,passed
binance_240m_05bbbfcbff24a4f8,passed
binance_240m_0684300ce6d7a85d,passed
binance_240m_06c7cb123ade49e1,passed
binance_240m_07025d8e5e1d6a17,passed
binance_240m_077816b7c99b0cde,passed
binance_240m_07ac39f712f079d2,passed
binance_240m_07c48b0793893db5,passed
binance_240m_0821915b0cbdc91a,passed
binance_240m_08f0cde18c222d7f,passed
binance_240m_096f8cf925558d31,passed
binance_240m_09d66dce59781d86,passed
binance_240m_0a6d981dd29345d6,passed
binance_240m_0aabcb5f49839108,passed
binance_240m_0aae2a4284f6a510,passed
binance_240m_0bfc831571abf7a1,passed
binance_240m_0c032c1a8d90c889,passed
binance_240m_0c5f9c79a18ebe2b,passed
binance_240m_0c70b1fb26ebd23b,passed
binance_240m_0c99a5fa01ce1fb2,passed
binance_240m_0cd8171aa871bd77,passed
binance_240m_0d63cae4773fa4d4,passed
binance_240m_0db68c022d4b96ab,passed
binance_240m_0eda4d94e43c6b73,passed
binance_240m_0f6c2ffc8eb93935,passed
binance_240m_10d9df29051e5276,passed
binance_240m_10ef4706f800c438,passed
binance_240m_111198aee0710a02,passed
binance_240m_1179ac87893f8f0f,passed
binance_240m_11aea8ef6b4b2fc9,passed
binance_240m_11ff9d91eece8b1b,passed
binance_240m_12f45795f1e36d93,passed
binance_240m_1350ba4be24dc57c,passed
binance_240m_13cfeb9d5e97c134,passed
binance_240m_1475f52221e55f4c,passed
binance_240m_154d70e98a3638a0,passed
binance_240m_159c68ffefabf23e,passed
binance_240m_163b04bfd1709948,passed
binance_240m_173dbf00f1b29eb2,passed
binance_240m_177c2535a57f53e0,passed
binance_240m_17b0cbf343b94332,passed
binance_240m_19d5ad617c0f493c,passed
binance_240m_1acc04b5d4f1de8c,passed
binance_240m_1ba58729c20def77,passed
binance_240m_1c353ede8e43eace,passed
binance_240m_1c70801b86c8ce9e,passed
binance_240m_1cecdf1b0bf24eb0,passed
binance_240m_1d15863d00132fdd,passed
binance_240m_1d56648082a35fce,passed
binance_240m_1db6a5456ed06a79,passed
binance_240m_1e4924385c45c175,passed
binance_240m_1f07e4502272e671,passed
binance_240m_1f9883b64d622516,passed
binance_240m_1fd44457dbb09dd1,passed
binance_240m_202c113ee7c2739a,passed
binance_240m_20b2f8981a78995f,passed
binance_240m_21b33d3bc76652bb,passed
binance_240m_21c77df6ed898b77,passed
binance_240m_2249974a87179485,passed
binance_240m_22f2d6444a74d7df,passed
binance_240m_239028ecd7d5c511,passed
binance_240m_23be7875b69cda9b,passed
