fold,minutes,cohort,arm,n,symbols,selected_n,matched_n,matched_symbols,cost_bp,funding_included,mean_gross_bp,mean_net_bp,median_net_bp,win_pct,profit_factor,censored_n,control_net_bp,mean_net_ex_top3_bp,top3_positive_profit_pct,median_mfe_r,median_net_r,portfolio_net_pct,mdd_pct,capital_sleeves,excess_bp,p,months,p_resolution,ci_low,ci_high,family,p_holm
development,15,all_core,band005,10900,48,10900,10900,48,20,False,5.467333510499664,-14.532666489500345,-91.91665096733078,21.26605504587156,0.8543943087420944,1,-32.11528091557781,-17.948978618762194,4.000403353796798,0.977471067309936,-1.113317661092924,-27.002686524457797,-37.39033305112313,54,17.582614426077473,0.0044,24,0.0001,6.0398836138852285,29.2976397131746,parameter,0.0315
development,15,all_core,band020,16598,48,16586,16598,48,20,False,5.76576687365822,-14.234233126341787,-96.137225930053,22.032775033136524,0.8625313364026447,6,-30.56547432149265,-16.5638148508748,2.605038941690853,1.0056013993169461,-1.1205460658824273,-38.706002921508144,-47.97808351216767,54,16.331241195150866,0.0039,24,0.0001,5.991733780407531,27.41333193048178,parameter,0.0315
development,15,all_core,band030,19400,48,19339,19400,48,20,False,5.183442534520887,-14.816557465479118,-97.93586772342209,22.257731958762886,0.8588242079022878,10,-29.933781260500275,-16.792277778012757,2.189086536880204,1.000953631631082,-1.1209442058920045,-42.749271294590855,-50.141807591314745,54,15.117223795021161,0.0035,24,0.0001,5.433460199663848,24.294021590485517,parameter,0.0315
development,15,all_core,base,13049,48,13049,13049,48,20,False,5.853708791945038,-14.14629120805497,-93.55070576548606,21.802436968350065,0.8602997492359703,2,-29.031655328820428,-16.99976308807352,3.271019613523597,0.9911302449998484,-1.1167412723064811,-30.95565927268532,-40.83558832385917,54,14.885364120765455,0.0114,24,0.0001,3.1447768426791862,26.442053623941977,baseline,0.0114
development,15,all_core,exit_chandelier,13049,48,13010,13049,48,20,False,0.6496294084351505,-19.350370591564854,-60.22574977565863,28.776151429228292,0.7392621722232362,1,-23.53018106480657,-20.057462051108097,1.280413831881508,0.8976004757857189,-0.7005479956589064,-35.62786004767076,-36.868752905423385,54,4.179810473241715,0.0892,24,0.0001,-1.7406291759430481,9.887575680985618,exit,0.0892
development,15,all_core,exit_fixed3r,13049,48,12379,13049,48,20,False,4.751801637505354,-15.248198362494655,-102.64834929202048,26.99823741282857,0.858472390835293,2,-25.51035401549904,-15.610249365994221,0.38756060808921616,1.0664710787186125,-1.1378203261078426,-28.70058747304951,-31.29672158395731,54,10.262155653004385,0.0023,24,0.0001,3.728670367428049,16.739039479508094,exit,0.0069
development,15,all_core,exit_sma60,13049,48,13044,13049,48,20,False,2.3823911668359083,-17.6176088331641,-78.8792837972707,22.85232584872404,0.8017508524037069,2,-27.764117553511184,-19.911066781653478,3.2125361570547835,0.9058854780162264,-0.9518716965312431,-34.99312913021332,-38.75637883355799,54,10.146508720347084,0.0185,24,0.0001,1.6973362515308577,18.643902604108572,exit,0.037
development,15,all_core,focus24,4913,47,4913,4913,47,20,False,8.172648696528823,-11.827351303471183,-90.08253650485852,21.717891308772643,0.8805736035032683,0,-26.241588248955505,-17.998959257406973,7.064336905037297,1.004855723557658,-1.1213693270896434,-11.755600238807117,-15.451039210200657,54,14.414236945484319,0.079,24,0.0001,-4.7323062075660305,32.35382687101954,parameter,0.158
development,15,all_core,focus36,1821,46,1821,1821,46,20,False,-6.7668316784769456,-26.766831678476954,-93.01949824807474,20.208676551345413,0.738026922842245,0,-28.701869663727123,-35.32794842688964,11.276007844543276,0.9587096154771236,-1.1266321926763108,-8.491946601516842,-9.63036242725035,54,1.9350379852501707,0.4292,24,0.0001,-17.53838194320045,22.445299519607907,parameter,0.4292
development,15,all_core,focus6,21728,48,21696,21728,48,20,False,2.243482245923825,-17.756517754076178,-95.03628227375326,21.617268041237114,0.8268552950988263,16,-28.535519621762077,-19.533297024627583,2.0921637083059332,0.9641562342787111,-1.1156492814762462,-51.13069399404229,-55.43699771661079,54,10.779001867685892,0.0265,24,0.0001,0.22879500579247702,19.977883266984502,parameter,0.0795
