n,auc,top_n,top_gross_bp,top_net_bp,top_win_pct,top_excess_bp,fold,minutes,cohort,arm,score
10900,0.5053099882592315,1090,18.882010589847944,-1.1179894101520662,22.752293577981654,17.106504789759576,development,15,all_core,band005,relative_volume
10900,0.5045809908935149,1090,6.051250951713047,-13.948749048286956,21.100917431192663,3.684177283098695,development,15,all_core,band005,tr_expansion
10900,0.5009206218284191,1090,-3.6972620090974067,-23.697262009097415,20.458715596330276,7.275889370561692,development,15,all_core,band005,near_zero_bars
16598,0.5116599838686492,1660,20.46345067551019,0.4634506755101856,25.481927710843372,33.83576353593858,development,15,all_core,band020,relative_volume
16598,0.5116050871546612,1660,17.38403349859929,-2.6159665014007194,24.216867469879517,32.751175869394984,development,15,all_core,band020,tr_expansion
16598,0.4970962744465495,1660,1.503057977302143,-18.496942022697866,21.80722891566265,10.617405766294407,development,15,all_core,band020,near_zero_bars
19400,0.5113948564890195,1940,4.037015164820508,-15.9629848351795,23.711340206185564,17.194588910140293,development,15,all_core,band030,relative_volume
19400,0.5050096219407397,1940,6.337680037725173,-13.662319962274836,23.24742268041237,16.79378705281154,development,15,all_core,band030,tr_expansion
19400,0.49519597790531417,1940,-1.964135078680764,-21.964135078680773,20.77319587628866,2.103908851563541,development,15,all_core,band030,near_zero_bars
13049,0.507684088186238,1305,24.041895241972778,4.04189524197277,23.754789272030653,32.86824623338723,development,15,all_core,base,relative_volume
13049,0.5103038609897631,1305,14.758863145785803,-5.241136854214211,22.758620689655174,25.108554173430793,development,15,all_core,base,tr_expansion
13049,0.49333449992731754,1305,0.40217927463016834,-19.59782072536984,21.302681992337163,8.995348995942363,development,15,all_core,base,near_zero_bars
13049,0.4970080205805501,1305,11.62523914225079,-8.374760857749218,30.421455938697317,15.660611560588313,development,15,all_core,exit_chandelier,relative_volume
13049,0.4991868814466444,1305,3.356793205921703,-16.643206794078303,28.965517241379313,5.721038833737394,development,15,all_core,exit_chandelier,tr_expansion
13049,0.501667398779964,1305,-1.211626221964806,-21.21162622196481,28.27586206896552,7.014667148467131,development,15,all_core,exit_chandelier,near_zero_bars
13049,0.509319847635725,1305,19.26156209160299,-0.7384379083970238,30.268199233716476,26.373718121173084,development,15,all_core,exit_fixed3r,relative_volume
13049,0.5094121894399712,1305,2.7404237247799417,-17.25957627522007,28.812260536398465,10.93937449306382,development,15,all_core,exit_fixed3r,tr_expansion
13049,0.5040043685212123,1305,3.245370899905849,-16.754629100094164,26.590038314176244,13.155530469076066,development,15,all_core,exit_fixed3r,near_zero_bars
13049,0.5250927104962813,1305,6.903083779225549,-13.09691622077446,26.89655172413793,10.385397961747735,development,15,all_core,exit_sma60,relative_volume
13049,0.5245025332285758,1305,0.339062952110579,-19.66093704788943,25.440613026819925,3.9487017108166955,development,15,all_core,exit_sma60,tr_expansion
13049,0.5035669132173258,1305,0.7095076370427308,-19.290492362957277,22.758620689655174,11.769484135821296,development,15,all_core,exit_sma60,near_zero_bars
4913,0.5190175554538583,492,47.61271261096164,27.612712610961626,27.03252032520325,53.21333351742562,development,15,all_core,focus24,relative_volume
4913,0.5134374447142834,492,29.933411769196958,9.933411769196953,25.8130081300813,44.82322927258156,development,15,all_core,focus24,tr_expansion
4913,0.4778450182056017,492,15.724403120328727,-4.27559687967128,20.934959349593495,23.39783957400962,development,15,all_core,focus24,near_zero_bars
1821,0.5140189712439032,183,9.627096242700521,-10.372903757299477,23.497267759562842,21.225629055197295,development,15,all_core,focus36,relative_volume
1821,0.49873387893114696,183,-29.66226811293329,-49.6622681129333,15.846994535519126,-9.403750319973984,development,15,all_core,focus36,tr_expansion
1821,0.4945371644872677,183,37.15909870893555,17.159098708935534,20.21857923497268,47.09530494050567,development,15,all_core,focus36,near_zero_bars
21728,0.5069106971173695,2173,9.343975798372314,-10.656024201627693,23.469857340082832,31.509625260997318,development,15,all_core,focus6,relative_volume
21728,0.5046377313910674,2173,8.185144007730539,-11.814855992269468,22.18131615278417,26.810064212182564,development,15,all_core,focus6,tr_expansion
21728,0.502440827042253,2173,-0.3227604733294475,-20.322760473329453,20.662678324896454,6.087343953073989,development,15,all_core,focus6,near_zero_bars
2733,0.5097813684254362,274,38.44983405077319,18.449834050773184,18.613138686131386,48.55630306839642,development,15,all_core,gate_bb20,relative_volume
2733,0.5071394661225169,274,44.36170568010902,24.361705680109008,19.708029197080293,55.557582419984904,development,15,all_core,gate_bb20,tr_expansion
2733,0.5101757381418398,274,-0.45254124317293015,-20.45254124317294,20.072992700729927,5.121252053751697,development,15,all_core,gate_bb20,near_zero_bars
