scope,minutes,arm,feature,bucket,n,win_rate,mean_net_bp,mean_mfe_pct,mean_excess_bp,realized_20pct_rate
okx,60,focus_sma60,relative_volume,"[-inf, 1.0)",300,0.17666666666666667,-98.23830232861643,3.6384141814826103,-37.036537596202805,0.0033333333333333335
okx,60,focus_sma60,relative_volume,"[1.0, 2.0)",277,0.21660649819494585,-7.068035653123994,5.734488163823858,8.545626535129417,0.021660649819494584
okx,60,focus_sma60,relative_volume,"[2.0, 4.0)",252,0.1984126984126984,-20.745081907865362,6.6030475384872584,-35.96033447454653,0.023809523809523808
okx,60,focus_sma60,relative_volume,"[4.0, inf)",173,0.24277456647398843,482.5682956762876,14.788228073392084,515.5079872885191,0.06358381502890173
okx,60,focus_sma60,tr_expansion,"[-inf, 1.0)",437,0.19679633867276888,-56.33272334377214,4.532354217465757,-4.083962681386592,0.011441647597254004
okx,60,focus_sma60,tr_expansion,"[1.0, 2.0)",422,0.2132701421800948,7.918694488592781,6.495052396268486,1.082838562852492,0.026066350710900472
okx,60,focus_sma60,tr_expansion,"[2.0, 3.0)",89,0.20224719101123595,18.181884989466113,7.645029558541074,45.18314894650911,0.02247191011235955
okx,60,focus_sma60,tr_expansion,"[3.0, inf)",54,0.2037037037037037,1231.198911105467,27.784266245400357,1299.2076706448624,0.1111111111111111
okx,60,focus_sma60,momentum10,"[0.0, 60.0)",381,0.19160104986876642,26.56492946689132,5.674132036688835,94.44269677016175,0.013123359580052493
okx,60,focus_sma60,momentum10,"[60.0, 90.0)",325,0.21846153846153846,-25.61917000269458,5.849974541026687,-25.8128783131823,0.021538461538461538
okx,60,focus_sma60,momentum10,"[90.0, inf)",296,0.20608108108108109,152.135844799681,9.591969190565852,131.97773712510372,0.04054054054054054
okx,60,focus_sma60,near_zero_bars,"[12.0, 24.0)",586,0.20819112627986347,58.20228520599682,7.221041060959897,83.20621762783097,0.027303754266211604
okx,60,focus_sma60,near_zero_bars,"[24.0, 48.0)",327,0.21406727828746178,63.13864900620284,6.911864344179248,58.884060298541144,0.021406727828746176
okx,60,focus_sma60,near_zero_bars,"[48.0, inf)",89,0.14606741573033707,-89.05235302277578,4.61347426910671,-33.74107283648124,0.011235955056179775
okx,60,focus_sma60,prior24h_return,"[-inf, 0.0)",26,0.23076923076923078,44.463979971209945,7.153065698911952,8.10534896673611,0.038461538461538464
okx,60,focus_sma60,prior24h_return,"[0.0, 0.1)",964,0.20435684647302904,49.28063794126102,6.853522901472922,71.22845764980742,0.022821576763485476
okx,60,focus_sma60,prior24h_return,"[0.1, 0.3)",12,0.16666666666666666,-152.94837649263786,9.12776058566701,-379.42879437982924,0.08333333333333333
okx,60,focus_sma60,six_ma_width_atr,"[-inf, 1.0)",402,0.2263681592039801,80.93155933029297,6.973375166651113,80.58529597082143,0.04228855721393035
okx,60,focus_sma60,six_ma_width_atr,"[1.0, 2.0)",556,0.1960431654676259,39.20474704702316,7.141591929998834,73.50532728557549,0.012589928057553957
okx,60,focus_sma60,six_ma_width_atr,"[2.0, 3.0)",38,0.07894736842105263,-162.67844303383075,2.4289014515584184,-74.88821012137335,0.0
okx,60,focus_sma60,six_ma_width_atr,"[3.0, inf)",6,0.3333333333333333,-220.55457282027623,5.99812116454858,-520.3085011291345,0.0
okx,60,focus_sma60,higher_permission,"[-inf, 0.5)",911,0.20965971459934138,63.60506263404816,7.076376801917548,88.45441481926746,0.026344676180021953
okx,60,focus_sma60,higher_permission,"[0.5, inf)",77,0.14285714285714285,-142.04863362201698,4.177702774050481,-210.10149893564827,0.0
okx,60,focus_sma60,higher_permission,unknown,14,0.21428571428571427,-12.803523857653705,9.574752290774121,-6.867759706643777,0.0
okx,60,focus_sma60,regime_breadth,"[-inf, 0.3)",232,0.27155172413793105,359.79640440473867,12.693820792652467,388.3209066103752,0.08189655172413793
