scope,minutes,arm,period,feature,n,top_n,descriptive_auc,top_decile_gross_bp,top_decile_net_bp,top_decile_win_rate,top_decile_excess_bp
okx,60,focus_sma60,full,relative_volume,1002,101,0.5305444196223643,590.7864992572781,570.7864992572781,0.18811881188118812,626.9796986104992
okx,60,focus_sma60,full,tr_expansion,1002,101,0.5085595372892249,644.4551120499012,624.4551120499013,0.2079207920792079,673.5081933207348
okx,60,focus_sma60,full,momentum10,1002,101,0.5166539155981271,116.24293100305357,96.24293100305361,0.22772277227722773,25.296399834604617
okx,60,focus_sma60,full,near_zero_bars,1002,101,0.5042996603115341,-66.72255610887568,-86.72255610887568,0.1485148514851485,-41.89779125004841
okx,60,focus_sma60,full,prior24h_return,1002,101,0.5145974232640695,198.71233545373383,178.71233545373377,0.21782178217821782,309.5589284902942
okx,60,focus_sma60,full,six_ma_width_atr,1002,101,0.538996847935857,195.684271675674,175.68427167567398,0.2376237623762376,131.84676753530226
okx,60,focus_sma60,first31,relative_volume,549,55,0.49094510469722696,433.3814779664358,413.38147796643585,0.10909090909090909,413.90154780154984
okx,60,focus_sma60,first31,tr_expansion,549,55,0.45166006413884174,450.9220663958138,430.9220663958138,0.12727272727272726,426.2452589574403
okx,60,focus_sma60,first31,momentum10,549,55,0.49065034899075644,-141.1690867500238,-161.1690867500238,0.12727272727272726,-200.39964190871606
okx,60,focus_sma60,first31,near_zero_bars,549,55,0.5046807206187511,-95.75763210423871,-115.75763210423871,0.07272727272727272,-102.42919390226054
okx,60,focus_sma60,first31,prior24h_return,549,55,0.5271175249952839,-111.67615089504196,-131.67615089504199,0.2,-29.938478288479526
okx,60,focus_sma60,first31,six_ma_width_atr,549,55,0.48825693265421616,-111.17573445422367,-131.1757344542237,0.14545454545454545,-81.78350090041778
okx,60,focus_sma60,last30,relative_volume,453,46,0.5666108085462924,777.7488631982876,757.7488631982876,0.2608695652173913,984.3458528001779
okx,60,focus_sma60,last30,tr_expansion,453,46,0.5626047339757018,848.3437384301894,828.3437384301894,0.2608695652173913,925.8178226281119
