arm,kind,time_utc,price,quantity,total_quantity,notional,common_stop,net_at_stop,entry_fees,funding_paid,maintenance_ratio,maintenance_price,protective_stress_mark,protective_equity,protective_required,protective_maintenance_buffer,equity,equity_after_exit_fee,requested_quantity,initial_margin,initial_risk,clipped,rate,payment,prior_stop,frozen_high,pullback_low,known_at,effective_at,effective_i,reason,censored,ambiguous,risk_quantity_cap,retained_target,opening_fee,prior_committed
none,entry,2026-08-19T18:00:00+00:00,0.1402,17134.0,17134.0,2402.1868,0.1362,-73.27183760000005,2.4021868,0.0,0.01,0.13599984956501204,0.136,25.635013200000213,25.632464,0.002549200000213858,97.5978132,95.1956264,25000.0,60.011835,68.53600000000006,True,,,,,,,,,,,,,,,
none,funding,2026-08-19T20:00:00+00:00,0.1417,0.0,17134.0,2427.8878,0.1362,-73.39323199000006,2.4021868,0.12139439,0.01,0.13600701336683207,0.13599999999999998,25.51361880999976,25.632463999999995,-0.1188451900002363,123.17741881000002,120.74953101000003,,,,,5e-05,0.12139439,,,,,,,,,,,,,
none,funding,2026-08-20T00:00:00+00:00,0.1465,0.0,17134.0,2510.131,0.1362,-73.51873854000006,2.4021868,0.24690094,0.01,0.13601441983801507,0.1361,27.10151225999985,25.651311399999997,1.4502008599998533,205.2951122599999,202.7849812599999,,,,,5e-05,0.12550655,,,,,,,,,,,,,
none,funding,2026-08-20T04:00:00+00:00,0.1454,0.0,17134.0,2491.2836,0.1362,-73.64330272000005,2.4021868,0.37146512000000004,0.01,0.13602177069746907,0.136,25.263548080000213,25.632464,-0.368915919999786,186.32314808000024,183.83186448000026,,,,,5e-05,0.12456418000000001,,,,,,,,,,,,,
none,stop_update,2026-08-20T08:00:00+00:00,0.1503,0.0,17134.0,2575.2401999999997,0.14450000000000002,68.42668508000034,2.4021868,0.37146512000000004,0.01,0.13602177069746907,0.14430000000000004,167.47574808000059,27.196798200000003,140.2789498800006,270.2797480799998,267.70450787999977,,,,,,,0.1362,0.1485,0.1446,2026-08-20T08:00:00+00:00,2026-08-20T08:00:00+00:00,14.0,,,,,,,
none,funding,2026-08-20T08:00:00+00:00,0.1503,0.0,17134.0,2575.2401999999997,0.14450000000000002,68.29792307000034,2.4021868,0.5002271300000001,0.01,0.1360293692818978,0.14440000000000003,169.06038607000067,27.215645600000006,141.84474047000066,270.1509860699998,267.57574586999976,,,,,5e-05,0.12876200999999998,,,,,,,,,,,,,
none,stop_update,2026-08-20T11:00:00+00:00,0.1565,0.0,17134.0,2681.471,0.1517,191.53935827000015,2.4021868,0.5002271300000001,0.01,0.1360293692818978,0.1515,290.71178607,28.553810999999996,262.15797507,376.3817860700001,373.7003150700001,,,,,,,0.14450000000000002,0.1543,0.1518,2026-08-20T11:00:00+00:00,2026-08-20T11:00:00+00:00,17.0,,,,,,,
none,funding,2026-08-20T12:00:00+00:00,0.1588,0.0,17134.0,2720.8792,0.1517,191.40331431000016,2.4021868,0.63627109,0.01,0.13603739759332345,0.1514,288.8623421100004,28.5349636,260.32737851000036,415.65394210999995,412.93306290999993,,,,,5e-05,0.13604396,,,,,,,,,,,,,
none,funding,2026-08-20T16:00:00+00:00,0.1589,0.0,17134.0,2722.5926000000004,0.1517,191.26718468000016,2.4021868,0.77240072,0.01,0.13604543096036087,0.15150000000000002,290.43961248000045,28.553811000000003,261.88580148000045,417.23121248000047,414.5086198800005,,,,,5e-05,0.13612963000000003,,,,,,,,,,,,,
none,stop_update,2026-08-20T17:00:00+00:00,0.1616,0.0,17134.0,2768.8543999999997,0.15360000000000001,223.7892300800001,2.4021868,0.77240072,0.01,0.13604543096036087,0.15340000000000004,322.99421248000084,28.911911600000007,294.08230088000084,463.4930124799998,460.72415807999977,,,,,,,0.1517,0.159,0.1537,2026-08-20T17:00:00+00:00,2026-08-20T17:00:00+00:00,23.0,,,,,,,
