合约,周期分钟,模式,实际K线数,窗口理论K线数,预热就绪K线数,数据断档数,原版_原始候选数,回踩_原始候选数,原版_确认数,回踩_确认数,原版_入场数,回踩_入场数,原版_已平仓数,回踩_已平仓数,原版_截尾未完成数,回踩_截尾未完成数,原版_净胜率小数,回踩_净胜率小数,原版_平均净R,回踩_平均净R,原版_平均净bp,回踩_平均净bp,原版_净R合计非账户收益,回踩_净R合计非账户收益,原版_净收益至少5R笔数,回踩_净收益至少5R笔数,原版_随机配对笔数,回踩_随机配对笔数,原版_配对随机平均净bp,回踩_配对随机平均净bp,原版_配对目标平均净bp,回踩_配对目标平均净bp,原版_配对超额bp,回踩_配对超额bp,原版_后段已平仓数,回踩_后段已平仓数,原版_后段平均净R,回踩_后段平均净R,原版_后段平均净bp,回踩_后段平均净bp,回踩减原版_平均净bp,回踩减原版_平均净R
0GUSDT,15,联合多头,5968,5968,5968,0,6.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.16666666666666666,,-0.8489530537227855,,-185.42428293240496,,-5.093718322336713,,0.0,0.0,6.0,0.0,-157.39947619360115,,-185.42428293240502,,-28.024806738803832,,4.0,0.0,-1.0985045805841787,,-233.62113298657025,,,
0GUSDT,15,普通多空,5968,5968,5968,0,16.0,16.0,16.0,1.0,14.0,1.0,14.0,1.0,0.0,0.0,0.14285714285714285,0.0,-0.7215881353702144,-0.4827575757575756,-162.59418498611112,-165.00258933195198,-10.102233895183002,-0.4827575757575756,0.0,0.0,14.0,1.0,-4.029439532800155,-183.766632548618,-162.59418498611115,-165.00258933195198,-158.564745453311,18.764043216666014,7.0,1.0,-0.993099834545319,-0.4827575757575756,-196.0180148004911,-165.00258933195198,-2.4084043458408644,0.23883055961263877
0GUSDT,60,联合多头,1492,1492,1492,0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.3333333333333333,0.0,-0.05680834893271317,-0.4672190476190491,-39.85336229882332,-320.850228907784,-0.17042504679813952,-0.4672190476190491,0.0,0.0,3.0,0.0,52.23868708395067,,-39.85336229882332,,-92.092049382774,,1.0,0.0,-0.6919423076923089,,-363.260979303382,,-280.9968666089607,-0.4104106986863359
0GUSDT,60,普通多空,1492,1492,1492,0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,0.0,0.0,0.5,0.5,0.35838659544332163,0.28157327188939957,296.1204312375547,411.3171289828615,1.4335463817732865,0.5631465437787991,0.0,0.0,4.0,0.0,-128.80412472492776,,296.1204312375548,,424.9245559624826,,1.0,0.0,-0.6919423076923089,,-363.260979303382,,115.19669774530678,-0.07681332355392206
1000000BOBUSDT,15,联合多头,5968,5968,5968,0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.4711172281959473,-0.2272413793103468,240.68055427038735,-104.880636604774,4.413351684587842,-0.2272413793103468,0.0,0.0,3.0,0.0,337.9573298521336,,240.68055427038732,,-97.27677558174635,,2.0,1.0,2.7668980645161447,-0.2272413793103468,454.04666166388347,-104.880636604774,-345.56119087516134,-1.698358607506294
1000000BOBUSDT,15,普通多空,5968,5968,5968,0,11.0,11.0,11.0,2.0,11.0,2.0,11.0,2.0,0.0,0.0,0.5454545454545454,0.0,1.5802080852282914,-0.6679736308316444,308.1871215777878,-154.431660293729,17.382288937511206,-1.3359472616632888,2.0,0.0,11.0,0.0,134.6886678559186,,308.1871215777878,,173.4984537218692,,7.0,2.0,0.7961291479804489,-0.6679736308316444,168.94445668544026,-154.431660293729,-462.61878187151683,-2.2481817160599356
1000000BOBUSDT,60,联合多头,1492,1492,1492,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,
1000000BOBUSDT,60,普通多空,1492,1492,1492,0,3.0,3.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,,-0.907180498866208,,-259.985717424742,,-1.814360997732416,,0.0,0.0,2.0,0.0,-261.34612357605147,,-259.985717424742,,1.3604061513094834,,0.0,0.0,,,,,,
1000000MOGUSDT,15,联合多头,5968,5968,5968,0,5.0,5.0,5.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,0.25,,-0.7990255681818172,,-152.05704819216874,,-3.196102272727269,,0.0,0.0,3.0,0.0,218.39605619843505,,-140.52050870066967,,-358.9165648991047,,3.0,0.0,-1.1064924242424243,,-209.2382886721513,,,
1000000MOGUSDT,15,普通多空,5968,5968,5968,0,14.0,14.0,14.0,1.0,12.0,1.0,11.0,0.0,1.0,1.0,0.18181818181818182,,-0.5858848352547793,,-156.50034398076198,,-6.444733187802573,,0.0,0.0,10.0,0.0,49.86313587207261,,-153.48371171217156,,-203.3468475842442,,8.0,0.0,-0.9311162020467512,,-230.71874681305448,,,
1000000MOGUSDT,60,联合多头,1492,1492,1492,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,-1.0823200000000008,,-262.954324586978,,-1.0823200000000008,,0.0,0.0,1.0,0.0,98.460019743338,,-262.954324586978,,-361.41434433031594,,0.0,0.0,,,,,,
1000000MOGUSDT,60,普通多空,1492,1492,1492,0,4.0,4.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,-1.070604502164503,,-308.20624891755733,,-3.211813506493509,,0.0,0.0,3.0,0.0,241.819830619419,,-308.20624891755733,,-550.0260795369763,,0.0,0.0,,,,,,
1000BONKUSDT,15,联合多头,5968,5968,5968,0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,,-0.5064950738916261,,-52.21169470763251,,-1.0129901477832521,,0.0,0.0,2.0,0.0,-147.0958651641305,,-52.21169470763251,,94.884170456498,,1.0,0.0,0.1492857142857137,,38.823529411764,,,
1000BONKUSDT,15,普通多空,5968,5968,5968,0,16.0,16.0,16.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0,0.5,1.0,0.3634654037917153,3.43614814814813,128.293605424561,681.174743024962,3.6346540379171532,3.43614814814813,0.0,0.0,10.0,0.0,-12.940663106387099,,128.29360542456098,,141.2342685309481,,4.0,1.0,2.014471118549793,3.43614814814813,459.7633218912895,681.174743024962,552.881137600401,3.0726827443564146
1000BONKUSDT,60,联合多头,1492,1492,1492,0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,0.5,1.0,3.3285846919203905,3.367999999999991,1270.3230408370225,2612.636655948552,6.657169383840781,3.367999999999991,1.0,0.0,2.0,1.0,-197.2555014605415,-798.271918678525,1270.3230408370225,2612.636655948552,1467.5785422975644,3410.908574627077,0.0,0.0,,,,,1342.3136151115293,0.039415308079600475
1000BONKUSDT,60,普通多空,1492,1492,1492,0,5.0,5.0,5.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,0.6666666666666666,1.0,3.7118264960303295,3.367999999999991,1508.7602166842971,2612.636655948552,11.135479488090988,3.367999999999991,1.0,0.0,3.0,0.0,1200.7525042762552,,1508.760216684297,,308.00771240804175,,0.0,0.0,,,,,1103.8764392642547,-0.34382649603033855
1000CATUSDT,15,联合多头,5968,5968,5968,0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.25,,-0.575716524327119,,-104.91594997636075,,-2.302866097308476,,0.0,0.0,4.0,0.0,185.22371861479326,,-104.91594997636075,,-290.139668591154,,2.0,0.0,-1.1147238095238112,,-194.42197201371698,,,
1000CATUSDT,15,普通多空,5968,5968,5968,0,14.0,14.0,14.0,3.0,11.0,3.0,11.0,3.0,0.0,0.0,0.45454545454545453,0.3333333333333333,-0.08850545891004998,0.1909044444444438,-13.771948995418189,-1.7346964767120074,-0.9735600480105497,0.5727133333333314,0.0,0.0,11.0,0.0,5.151284906672642,,-13.771948995418175,,-18.92323390209082,,5.0,1.0,-0.030610068335901276,-0.0399199999999976,7.070590539961972,-14.992488733098,12.03725251870618,0.2794099033544938
1000CATUSDT,60,联合多头,1492,1492,1492,0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,,0.5891998798918995,,412.892832366972,,1.178399759783799,,0.0,0.0,2.0,0.0,165.0307209570745,,412.8928323669721,,247.86211140989752,,1.0,0.0,-1.0408041237113392,,-510.14653865588497,,,
1000CATUSDT,60,普通多空,1492,1492,1492,0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.5,1.0,0.5891998798918995,1.0200169491525386,412.892832366972,661.693238042879,1.178399759783799,1.0200169491525386,0.0,0.0,2.0,0.0,-6.479050537258509,,412.8928323669721,,419.3718829042306,,1.0,0.0,-1.0408041237113392,,-510.14653865588497,,248.80040567590697,0.4308170692606391
1000CHEEMSUSDT,15,联合多头,5968,5968,5968,0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.3333333333333333,,0.2632192884322588,,44.38703760545666,,0.7896578652967763,,0.0,0.0,3.0,0.0,-65.297262211842,,44.38703760545666,,109.68429981729867,,1.0,0.0,-1.1173958333333336,,-190.36379769299,,,
1000CHEEMSUSDT,15,普通多空,5968,5968,5968,0,12.0,12.0,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.3333333333333333,,-0.11922338052966053,,-21.041993088672687,,-1.4306805663559263,,0.0,0.0,12.0,0.0,-32.11636305704091,,-21.04199308867267,,11.07436996836825,,8.0,0.0,-0.26597502488149716,,-65.11806319199901,,,
1000CHEEMSUSDT,60,联合多头,1492,1492,1492,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,2.4238238993710683,,726.32491519035,,2.4238238993710683,,0.0,0.0,1.0,0.0,82.763997165131,,726.32491519035,,643.560918025219,,0.0,0.0,,,,,,
1000CHEEMSUSDT,60,普通多空,1492,1492,1492,0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.279636949685534,-1.0687123287671272,373.823614619968,-311.068580542264,2.559273899371068,-1.0687123287671272,0.0,0.0,2.0,0.0,130.6265512961945,,373.82361461996805,,243.19706332377353,,1.0,1.0,0.1354499999999995,-1.0687123287671272,21.322314049586,-311.068580542264,-684.8921951622319,-2.348349278452661
1000FLOKIUSDT,15,联合多头,5968,5968,5968,0,8.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,,-1.1392049568257414,,-186.07447728983277,,-9.113639654605931,,0.0,0.0,7.0,0.0,-101.94076302682416,,-180.37802308115587,,-78.4372600543317,,5.0,0.0,-1.1065793594926132,,-216.0107705313328,,,
1000FLOKIUSDT,15,普通多空,5968,5968,5968,0,23.0,23.0,23.0,1.0,19.0,1.0,19.0,1.0,0.0,0.0,0.10526315789473684,0.0,-0.8070639947419131,-0.7887368421052555,-106.2372907497314,-150.916414904329,-15.33421590009635,-0.7887368421052555,0.0,0.0,18.0,1.0,-31.57975374628961,-80.0,-99.58660374968477,-150.916414904329,-68.00685000339519,-70.916414904329,10.0,0.0,-0.7157153953440855,,-131.9875006502218,,-44.6791241545976,0.01832715263665763
1000FLOKIUSDT,60,联合多头,1492,1492,1492,0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.5,,0.21038727799927548,,-28.844651489052495,,0.42077455599855096,,0.0,0.0,2.0,0.0,65.347696538515,,-28.84465148905252,,-94.1923480275675,,1.0,0.0,1.46951612903226,,372.638036809815,,,
1000FLOKIUSDT,60,普通多空,1492,1492,1492,0,6.0,6.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.25,,-0.4328479232392932,,-210.99737881520997,,-1.7313916929571729,,0.0,0.0,3.0,0.0,-206.77426223450468,,-405.542517356885,,-198.76825512238034,,2.0,0.0,0.21739716226049155,,-111.68444629842699,,,
