confirmations,cores,display_name,episodes,five_bar_events,long_episodes,model_key,native_imgsz,raw_candidates,short_episodes,symbol_days_with_episodes,windows
"3,4,5","4,5,6,7",Legacy t-3 weak-label 10k · native 960,791,1074,391,legacy_t3_10k_960,960,4909,400,556,"14,18,22"
"3,4,5","4,5,6,7",Legacy t-3 weak-label 10k · native 1280,778,1010,364,legacy_t3_10k_1280,1280,5007,414,551,"14,18,22"
"4,5,6","4,5",Owner 10k + 30k negatives · native 960,1371,1642,664,legacy_owner_10k_neg30k_960,960,29954,707,723,"18,19,20,21,22,23,24,25"
"2,3,4,5,6,7,8,9","4,5",Grade-A 8k + 24k negatives · epoch 6 · native 960,527,535,276,grade_a8k_neg24k_epoch6_960,960,3958,251,389,"18,19"
"2,3,4,5,6,7,8,9","4,5",Grade-A 8k + 24k negatives · full40 · native 1280,519,522,226,grade_a8k_neg24k_full40_1280,1280,3759,293,408,"18,19"
