left_model_key,right_model_key,left_episodes,right_episodes,time_matched_within_one_bar,same_direction_matches,direction_flip_matches,proposal_jaccard,actual_matches,actual_jaccard,null_mean_matches,null_max_matches,null_mean_jaccard,alignment_p_ge_actual
legacy_t3_10k_960,legacy_t3_10k_1280,791,778,533,533,0,0.5144787644787645,533,0.5144787644787645,32.0,529,0.023950190222751893,0.010416666666666666
legacy_t3_10k_960,legacy_owner_10k_neg30k_960,791,1371,340,336,4,0.18660812294182216,340,0.18660812294182216,49.63157894736842,379,0.024102235132455647,0.020833333333333332
legacy_t3_10k_960,grade_a8k_neg24k_epoch6_960,791,527,97,97,0,0.07944307944307945,97,0.07944307944307945,21.347368421052632,204,0.017058978494095725,0.041666666666666664
legacy_t3_10k_960,grade_a8k_neg24k_full40_1280,791,519,113,113,0,0.09440267335004177,113,0.09440267335004177,20.736842105263158,219,0.01677115697450645,0.041666666666666664
legacy_t3_10k_1280,legacy_owner_10k_neg30k_960,778,1371,309,300,9,0.16793478260869565,309,0.16793478260869565,49.71578947368421,345,0.02423004250923373,0.020833333333333332
legacy_t3_10k_1280,grade_a8k_neg24k_epoch6_960,778,527,106,104,2,0.0884070058381985,106,0.0884070058381985,21.473684210526315,192,0.017261783615422698,0.041666666666666664
legacy_t3_10k_1280,grade_a8k_neg24k_full40_1280,778,519,119,119,0,0.10101867572156197,119,0.10101867572156197,20.91578947368421,214,0.017049550069313652,0.041666666666666664
legacy_owner_10k_neg30k_960,grade_a8k_neg24k_epoch6_960,1371,527,315,314,1,0.19898926089703095,315,0.19898926089703095,33.05263157894737,353,0.01837511495162106,0.020833333333333332
legacy_owner_10k_neg30k_960,grade_a8k_neg24k_full40_1280,1371,519,346,341,5,0.22409326424870465,346,0.22409326424870465,31.8,390,0.017890804752344662,0.020833333333333332
grade_a8k_neg24k_epoch6_960,grade_a8k_neg24k_full40_1280,527,519,313,311,2,0.42701227830832195,313,0.42701227830832195,15.43157894736842,297,0.01703675640022881,0.010416666666666666
