direction_flip_matches,left_episodes,left_model_key,proposal_jaccard,right_episodes,right_model_key,same_direction_matches,time_matched_within_one_bar
0,791,legacy_t3_10k_960,0.5144787644787645,778,legacy_t3_10k_1280,533,533
4,791,legacy_t3_10k_960,0.18660812294182216,1371,legacy_owner_10k_neg30k_960,336,340
0,791,legacy_t3_10k_960,0.07944307944307945,527,grade_a8k_neg24k_epoch6_960,97,97
0,791,legacy_t3_10k_960,0.09440267335004177,519,grade_a8k_neg24k_full40_1280,113,113
9,778,legacy_t3_10k_1280,0.16793478260869565,1371,legacy_owner_10k_neg30k_960,300,309
2,778,legacy_t3_10k_1280,0.0884070058381985,527,grade_a8k_neg24k_epoch6_960,104,106
0,778,legacy_t3_10k_1280,0.10101867572156197,519,grade_a8k_neg24k_full40_1280,119,119
1,1371,legacy_owner_10k_neg30k_960,0.19898926089703095,527,grade_a8k_neg24k_epoch6_960,314,315
5,1371,legacy_owner_10k_neg30k_960,0.22409326424870465,519,grade_a8k_neg24k_full40_1280,341,346
2,527,grade_a8k_neg24k_epoch6_960,0.42701227830832195,519,grade_a8k_neg24k_full40_1280,311,313
