sample_id,split,class_name,target,anchor_time,image_rel,source_sha256,prepared_sha256,source_width,source_height,resized_width,resized_height,pad_left,pad_top,pad_right,pad_bottom
eth3m_20260314T063900Z_owner_no_tip_negative_t038,train,no_start,0,2026-03-14T06:39:00+00:00,train/no_start/eth3m_20260314T063900Z_owner_no_tip_negative_t038.png,c40a242a92779ebb24f29d7588048b9ec28336bdec527aeec94c96b36adf6498,341dca080e7b17bc2b3c68c82e2c70dc97072271148dfbcc6acc0029f2dc61b3,1280,742,960,557,0,201,0,202
eth3m_20260315T123900Z_confirmed_current_tip_t041,train,short_start,1,2026-03-15T12:39:00+00:00,train/short_start/eth3m_20260315T123900Z_confirmed_current_tip_t041.png,fc85748ddacca00361df71159316ccb432f66b15fe4ff51da33fce7377d8ec7c,8a75b7b945ec56c17f16d20f7a3cf358d22d70ae37ed0f80c176017c69f6a836,1280,742,960,557,0,201,0,202
eth3m_20260316T084200Z_owner_no_tip_negative_t039,train,no_start,0,2026-03-16T08:42:00+00:00,train/no_start/eth3m_20260316T084200Z_owner_no_tip_negative_t039.png,d3e1950f2a666b12833cda4979cfaa91e289b9cf6ef8396b201009413f4091d0,23cd33c87c89dda747434b5f6b907cf9e708b32bea49f9cc4fd6238cef02c3b4,1280,742,960,557,0,201,0,202
eth3m_20260316T084500Z_owner_no_tip_negative_t160,train,no_start,0,2026-03-16T08:45:00+00:00,train/no_start/eth3m_20260316T084500Z_owner_no_tip_negative_t160.png,91ae52d3b89b1bf52092fe008fbdb11cea24dbfd7f6b1de85e9cce483766fa8e,c5ac7835ad74492e8e32a75eaf48879b66a20fceac7f3549b3834f8e204d174c,1280,742,960,557,0,201,0,202
eth3m_20260316T143600Z_owner_no_tip_negative_t154,train,no_start,0,2026-03-16T14:36:00+00:00,train/no_start/eth3m_20260316T143600Z_owner_no_tip_negative_t154.png,db10998cabb2a99fe6c56851ae4651b8d9a5c1e5a3d3086efd30903a3e7f37f3,ffead86ede9f9e84854cd5251ef4d659fb78a811c6f2a3204bb9adfe729e281a,1280,742,960,557,0,201,0,202
eth3m_20260316T144500Z_owner_no_tip_negative_t049,train,no_start,0,2026-03-16T14:45:00+00:00,train/no_start/eth3m_20260316T144500Z_owner_no_tip_negative_t049.png,5946ef59869c5529b917df3bb28f4be40d3a3171a82ff8d7b6b589770ff59a44,d0f9fbdc465289c449b7edbc1ae73bec836474a5f1f3268363d0f891d012ae47,1280,742,960,557,0,201,0,202
eth3m_20260317T043300Z_owner_no_tip_negative_t107,train,no_start,0,2026-03-17T04:33:00+00:00,train/no_start/eth3m_20260317T043300Z_owner_no_tip_negative_t107.png,a941cb5d0607bb363778c69ddd9b6829b53590605a955641233a37565041f547,6f2385760e42c1a4a886a2128dbf2e776dbddf22121c314cd4e8846151221b49,1280,742,960,557,0,201,0,202
eth3m_20260317T090900Z_owner_no_tip_negative_t065,train,no_start,0,2026-03-17T09:09:00+00:00,train/no_start/eth3m_20260317T090900Z_owner_no_tip_negative_t065.png,c5354671920efaee1fb5bc36ff16360d59f528f48cf82eaf672923922f2a47bc,de546a49e13d039803742efa95b6f3543b7994a04ffa797736062b6a0e37edc9,1280,742,960,557,0,201,0,202
eth3m_20260317T091200Z_owner_no_tip_negative_t105,train,no_start,0,2026-03-17T09:12:00+00:00,train/no_start/eth3m_20260317T091200Z_owner_no_tip_negative_t105.png,35b8ddea9d3adc8facb542249603c9651979e35ce9d4feb953845f8d890a2baa,b4d0707f4936437aed0379c3e8fe551c99ea7ac4abad0848ad47da8a42a540d6,1280,742,960,557,0,201,0,202
eth3m_20260317T153900Z_owner_no_tip_negative_t197,train,no_start,0,2026-03-17T15:39:00+00:00,train/no_start/eth3m_20260317T153900Z_owner_no_tip_negative_t197.png,9d360f09663edaa48e7574c2702a604e2e491b7f109e107ac969889cbcb52c15,e17b44d5a18fda1074a777d3caca2adcd51a0a0ef03dcea35d9dc68ea63468f5,1280,742,960,557,0,201,0,202
eth3m_20260317T195400Z_owner_no_tip_negative_t149,train,no_start,0,2026-03-17T19:54:00+00:00,train/no_start/eth3m_20260317T195400Z_owner_no_tip_negative_t149.png,0f1fcb402473768df61fd1d692b890932f3f5b0e8d25e0eaa9e87c307238bf00,b3151ced7be8e62ab91900e7370220ee5f1372d98ef3bbd7c8a53bad48cfc8a1,1280,742,960,557,0,201,0,202
eth3m_20260317T195700Z_owner_no_tip_negative_t027,train,no_start,0,2026-03-17T19:57:00+00:00,train/no_start/eth3m_20260317T195700Z_owner_no_tip_negative_t027.png,7047b99c50a3fdeba3f4887a235ffd3b7c70185c800b0498f492b765a8ef9325,6bc66fe456bd8ddb2fb4a664f2a1e18ff5a08184c96c35a37381ec8bc8481c45,1280,742,960,557,0,201,0,202
eth3m_20260318T110300Z_confirmed_current_tip_t104,train,short_start,1,2026-03-18T11:03:00+00:00,train/short_start/eth3m_20260318T110300Z_confirmed_current_tip_t104.png,3c3febae689abbe22292f036a93470690bb84d07d7431f5aec8a0691c942941a,ff1b7658d13cf312dbc433cd9b0400bf1bf873f6194c36c2b35bbf1838d68f36,1280,742,960,557,0,201,0,202
eth3m_20260319T071500Z_owner_no_tip_negative_t073,train,no_start,0,2026-03-19T07:15:00+00:00,train/no_start/eth3m_20260319T071500Z_owner_no_tip_negative_t073.png,eaabe9017fe9baadb64056acadc0a72e9278aff65a85ab551cf9a56e365d92f4,e36d3dfc1587207675a2618f05d70ce3c1c73afd4ca9ffe17b23ba7298def11e,1280,742,960,557,0,201,0,202
eth3m_20260319T072400Z_owner_no_tip_negative_t026,train,no_start,0,2026-03-19T07:24:00+00:00,train/no_start/eth3m_20260319T072400Z_owner_no_tip_negative_t026.png,559a1788a22bc469eaa6ec044f69d7236312f74cd104cf93df8d6fbf9a52bc5a,553e3add8b2b6021576e9a0bf3698a2a74a3cf036f5db902d8907b7a149a0fdc,1280,742,960,557,0,201,0,202
eth3m_20260319T121200Z_confirmed_current_tip_t042,train,short_start,1,2026-03-19T12:12:00+00:00,train/short_start/eth3m_20260319T121200Z_confirmed_current_tip_t042.png,1d7f7b93f1c1ce6368f74321f1e5d6cb2b288910fc85d5156d113f8ac9f4d5be,0c133ee5630ea63a6dd0ccae25f032063c14ecec614b90e269ca65494f20733e,1280,742,960,557,0,201,0,202
eth3m_20260319T130900Z_owner_no_tip_negative_t148,train,no_start,0,2026-03-19T13:09:00+00:00,train/no_start/eth3m_20260319T130900Z_owner_no_tip_negative_t148.png,7d78ea3205439bbb52e0093a05a5980c9ad1f968b2c2cc4e6eb640d21690a305,c7c52da4826cc0033581f585fcd5244c063e584bb0c85dee7dbdc70a6940c9d2,1280,742,960,557,0,201,0,202
