fold,minutes,cohort,arm,n,symbols,selected_n,matched_n,matched_symbols,cost_bp,funding_included,mean_gross_bp,mean_net_bp,median_net_bp,win_pct,profit_factor,censored_n,control_net_bp,mean_net_ex_top3_bp,top3_positive_profit_pct,median_mfe_r,median_net_r,portfolio_net_pct,mdd_pct,capital_sleeves,excess_bp,p,months,p_resolution,ci_low,ci_high,family,p_holm,p_holm_primary
development,60,all_core,band005,2531,46,2531,2531,46,20,False,59.766197814514875,39.76619781451486,-164.65011529210872,25.80007902015014,1.2241877943599215,6,-42.10258092419566,19.61312372595148,9.291628590183358,1.0914617773848736,-1.051243085603787,12.244277105106004,-7.956568281707055,54,81.86877873871053,0.001,24,0.0001,37.95982175748966,126.90578269495585,parameter,0.005,
development,60,all_core,band020,3963,46,3958,3963,46,20,False,55.1117668057658,35.11176680576578,-173.5651297395635,25.61191016906384,1.1881576396541682,9,-22.233685352037547,14.529249232213592,9.288072888186463,1.1118904038841253,-1.0544521864806502,14.153481223157161,-12.166966387726564,54,57.34545215780333,0.0013,24,0.0001,25.929010868506783,91.42011507266771,parameter,0.0052,
development,60,all_core,band030,4636,46,4618,4636,46,20,False,54.978746750780445,34.97874675078043,-174.82873169852252,26.53149266609146,1.1859745656396081,9,-29.24040969073359,17.5763846036805,7.806671206379287,1.1551725519463056,-1.0539949369360966,15.271722723759407,-14.252691046410959,54,64.21915644151402,0.0001,24,0.0001,43.79948598202486,87.00309079299657,parameter,0.001,
development,60,all_core,base,3080,46,3080,3080,46,20,False,39.02382281564549,19.023822815645467,-171.13380606530558,24.87012987012987,1.1041816690094357,7,-31.496596135699832,3.014323267836361,7.94164337318945,1.1292868341867268,-1.0537484776277783,3.4184047298394082,-13.544963477253047,54,50.5204189513453,0.0116,24,0.0001,10.34651617027591,90.36860083460124,baseline,0.0116,
development,60,all_core,exit_chandelier,3080,46,3072,3080,46,20,False,25.665722171868353,5.665722171868346,-94.00995113616136,34.935064935064936,1.0450691142167516,1,-34.176026202595345,1.41815213709054,3.2341524977465936,0.9929739230648791,-0.4763862208179699,1.8450121009717213,-6.866813414460971,54,39.84174837446369,0.0006,24,0.0001,19.241129171773366,61.87917280345926,exit,0.0018,
development,60,all_core,exit_fixed3r,3080,46,2911,3080,46,20,False,22.29711252334736,2.2971125233473435,-192.83564781190086,28.603896103896105,1.0114667187845865,7,-40.37865151607207,-0.4054904730178476,1.3335953621001377,1.2258337106832953,-1.0647799134046978,0.7606075018620206,-6.294562517133617,54,42.67576403941941,0.0049,24,0.0001,14.84134694012323,71.04564449165856,exit,0.0098,
development,60,all_core,exit_sma60,3080,46,3080,3080,46,20,False,26.18068551704446,6.180685517044442,-139.30647833303388,26.88311688311688,1.0392704229428413,3,-23.367966577768865,-7.149447574322695,8.145315528401069,1.0094117363178858,-0.7730864824116399,-0.9211403929258899,-12.267003214862548,54,29.548652094813303,0.0366,24,0.0001,0.26659839342534236,61.23318964236925,exit,0.0366,
development,60,all_core,focus24,1192,46,1192,1192,46,20,False,62.80331429400997,42.80331429400996,-167.7163666306719,24.496644295302016,1.2377654049315745,3,8.436117273483134,10.537163596155791,14.49228567680431,1.1818472048836761,-1.0578790869289376,6.618352745889244,-6.116484746666828,54,34.36719702052683,0.1788,24,0.0001,-37.94415610999991,95.94866119113006,parameter,0.2264,
development,60,all_core,focus36,475,45,475,475,45,20,False,75.02998655168079,55.02998655168078,-157.42926434923143,27.157894736842103,1.3310279041913202,1,-5.696717308669023,13.697839051599804,18.71863101399723,1.285950009252459,-1.0588695624336737,4.292350698446135,-2.1489737393489583,54,60.72670386034982,0.1132,24,0.0001,-33.512918213720646,146.1866666798802,parameter,0.2264,
development,60,all_core,focus6,5204,46,5197,5204,46,20,False,49.73360360144266,29.73360360144265,-170.79751090289363,25.71099154496541,1.1619731190235123,9,-15.857661449969058,13.931537737211004,7.4119734379035185,1.0862059368512949,-1.0513222463541299,16.683213148764843,-12.67623656573036,54,45.59126505141171,0.0025,24,0.0001,16.647632348929925,75.9832119560033,parameter,0.0075,
