n,auc,top_n,top_gross_bp,top_net_bp,top_win_pct,top_excess_bp,fold,minutes,cohort,arm,score
2531,0.49526067123638423,254,-44.71276207703236,-64.71276207703237,23.62204724409449,8.295837241017884,development,60,all_core,band005,relative_volume
2531,0.48999620005642835,254,29.607076638488117,9.607076638488095,24.015748031496063,36.4170850264689,development,60,all_core,band005,tr_expansion
2531,0.48256307009346555,254,40.84996935130617,20.849969351306164,25.590551181102363,49.131404994002864,development,60,all_core,band005,near_zero_bars
3963,0.5079813650065838,397,0.35620975321756027,-19.643790246782455,25.188916876574307,52.479651497071934,development,60,all_core,band020,relative_volume
3963,0.5005908656449057,397,105.55301044129945,85.55301044129942,24.937027707808564,111.8037592965444,development,60,all_core,band020,tr_expansion
3963,0.4903718643682617,397,63.10716722250094,43.10716722250092,27.455919395465994,54.34001840818078,development,60,all_core,band020,near_zero_bars
4636,0.5004470828619032,464,36.31283330227985,16.312833302279838,25.43103448275862,109.12977570893348,development,60,all_core,band030,relative_volume
4636,0.4930634127245559,464,68.89265893280218,48.89265893280216,25.43103448275862,89.89958238820483,development,60,all_core,band030,tr_expansion
4636,0.4844490115482482,464,27.37071106532125,7.3707110653212355,24.568965517241377,29.62356843082821,development,60,all_core,band030,near_zero_bars
3080,0.5180008846142563,308,-17.110879209400803,-37.110879209400814,23.376623376623375,78.7068362418263,development,60,all_core,base,relative_volume
3080,0.5007334174318655,308,99.71058212201932,79.7105821220193,24.675324675324674,135.053490298309,development,60,all_core,base,tr_expansion
3080,0.5119600637283331,308,98.05006404605754,78.05006404605753,28.246753246753247,115.97954720751187,development,60,all_core,base,near_zero_bars
3080,0.516627989374411,308,13.56702404453935,-6.432975955460656,34.090909090909086,66.66688467190541,development,60,all_core,exit_chandelier,relative_volume
3080,0.4986462947710527,308,6.834810744821236,-13.165189255178783,34.090909090909086,39.90579188098369,development,60,all_core,exit_chandelier,tr_expansion
3080,0.5143936105484199,308,86.96642098313896,66.96642098313895,37.66233766233766,96.4006394163872,development,60,all_core,exit_chandelier,near_zero_bars
3080,0.4934375804913904,308,-16.828174280726405,-36.82817428072643,25.0,58.770000355161145,development,60,all_core,exit_fixed3r,relative_volume
3080,0.4786351654012581,308,-5.862592512194838,-25.86259251219485,25.0,37.14325573690588,development,60,all_core,exit_fixed3r,tr_expansion
3080,0.5256011013157874,308,60.78061594536853,40.78061594536852,31.818181818181817,82.05436115489823,development,60,all_core,exit_fixed3r,near_zero_bars
3080,0.5317597454972928,308,-22.276179401150777,-42.2761794011508,26.2987012987013,39.91061239322396,development,60,all_core,exit_sma60,relative_volume
3080,0.5137993281334466,308,99.45098519048601,79.450985190486,27.27272727272727,96.9187071371006,development,60,all_core,exit_sma60,tr_expansion
3080,0.5135362769325816,308,83.75137327692381,63.75137327692382,28.57142857142857,82.16575698118166,development,60,all_core,exit_sma60,near_zero_bars
1192,0.5185121765601217,120,-21.407826396126453,-41.407826396126474,22.5,67.0960422507235,development,60,all_core,focus24,relative_volume
1192,0.5086225266362253,120,173.74513352131353,153.74513352131353,25.0,53.03756295012313,development,60,all_core,focus24,tr_expansion
