arm,scope,null_policy,action_policy,accepted_delta_action_minus_null,closed_delta_action_minus_null,cumulative_net_r_delta_action_minus_null,correlation_threshold_rejections,history_unavailable_rejections,interpretation
v7,development,event_leaders_max_open_5,event_leaders_max_open_5_corr_30d,15,15,-107.75626478634206,103,1743,no-op risk-policy comparison only; not an alpha claim
v7,validation_reused_history,event_leaders_max_open_5,event_leaders_max_open_5_corr_30d,-24,-24,20.10059655927762,75,12,no-op risk-policy comparison only; not an alpha claim
v7,authorized_holdout_use_1,event_leaders_max_open_5,event_leaders_max_open_5_corr_30d,-28,-28,19.93984857392519,6,1,no-op risk-policy comparison only; not an alpha claim
v8,development,event_leaders_max_open_5,event_leaders_max_open_5_corr_30d,-4,-4,-19.825815083979258,185,1598,no-op risk-policy comparison only; not an alpha claim
v8,validation_reused_history,event_leaders_max_open_5,event_leaders_max_open_5_corr_30d,-15,-15,-39.85484014823622,45,19,no-op risk-policy comparison only; not an alpha claim
v8,authorized_holdout_use_1,event_leaders_max_open_5,event_leaders_max_open_5_corr_30d,-10,-10,-43.213026449887124,4,5,no-op risk-policy comparison only; not an alpha claim
