policy,arm,scope,availability_clock,candidates,formal_executed,trade_clock_available,accepted,blocked,blocked_max_open_positions_5,blocked_correlation_ge_0_80,blocked_correlation_history_unavailable,blocked_frozen_trade_clock_unavailable,censored_accepted,closed,cumulative_net_r,mean_net_r,mean_net_return,realized_10r_count,realized_10r_rate_of_closed,pf_net_r,max_drawdown_r,max_open_after_entry,realized_10r_retention_vs_baseline
event_leaders_baseline,v7,development,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",38673,31424,31424,31424,7249,0,0,0,0,2,31422,1432.9967022452488,0.045604885183796344,0.0008665268507604052,177,0.005632995990070651,1.064583344148082,2942.3087444017,765,1.0
event_leaders_baseline,v7,validation_reused_history,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",61369,49910,49910,49910,11459,0,0,0,0,414,49496,-5180.942592597889,-0.10467396542342593,-0.0015849626281869375,255,0.005151931469209633,0.8580227995637855,5809.683055068389,653,1.0
event_leaders_baseline,v7,authorized_holdout_use_1,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",24714,20045,20045,20045,4669,0,0,0,0,400,19645,-2387.34796473088,-0.12152445735458793,-0.002248147398096426,117,0.005955713922117587,0.8381038681310827,3013.003275686212,600,1.0
event_leaders_baseline,v8,development,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",33643,28351,28037,28037,5606,0,0,0,314,2,28035,1698.1393018789533,0.06057211706363308,0.0012480678207769098,167,0.005956839664704833,1.0857788762452012,2704.173626109708,685,1.0
event_leaders_baseline,v8,validation_reused_history,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",52737,44432,43823,43820,8917,0,0,0,612,339,43481,-4138.7102613971465,-0.09518433939875225,-0.0014170759837963069,239,0.005496653710816218,0.870080022587543,4626.4910107771175,535,1.0
event_leaders_baseline,v8,authorized_holdout_use_1,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",21120,17794,17560,17559,3561,0,0,0,235,328,17231,-2264.212238152208,-0.13140341466845848,-0.002254104904996724,108,0.006267773199466079,0.826269723226121,2748.9078360170292,506,1.0
event_leaders_max_open_5,v7,development,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",38673,31424,31424,661,38012,30763,0,0,0,0,661,-27.76764324258866,-0.042008537432055466,0.0011483401962949127,2,0.0030257186081694403,0.9462145940126436,58.48142957421969,5,0.011299435028248588
event_leaders_max_open_5,v7,validation_reused_history,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",61369,49910,49910,637,60732,49273,0,0,0,18,619,-182.7630957595021,-0.2952554051042037,-0.010628301391174513,2,0.0032310177705977385,0.6287934789034506,190.29662738422155,5,0.00784313725490196
event_leaders_max_open_5,v7,authorized_holdout_use_1,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",24714,20045,20045,237,24477,19808,0,0,0,18,219,-85.39758092858908,-0.3899432919113657,-0.015071025139399126,0,0.0,0.5157916762353613,85.83042180833428,5,0.0
event_leaders_max_open_5,v8,development,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",33643,28351,28037,672,32971,27365,0,0,314,0,672,5.699485673359231,0.008481377490117903,0.0029935263254928395,6,0.008928571428571428,1.010693841096446,65.41570679034231,5,0.03592814371257485
event_leaders_max_open_5,v8,validation_reused_history,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",52737,44432,43823,726,52011,43094,0,0,612,15,711,-61.344486045405034,-0.08627916462082283,-0.004335885208902684,3,0.004219409282700422,0.8796188155281873,87.60156988832554,5,0.012552301255230125
event_leaders_max_open_5,v8,authorized_holdout_use_1,"a return for bar [t, t+30m) is available at t+30m and is eligible only when t+30m < candidate entry_time",21120,17794,17560,275,20845,17284,0,0,235,15,260,-21.609551253066073,-0.08311365866563875,0.0009062194266200944,1,0.0038461538461538464,0.8913680284283635,44.975558039909195,5,0.009259259259259259
