arm,scope,reaching_correlation_history_gate,history_available_or_no_peer,history_unknown,history_coverage_rate,different_asset_pairs_evaluated,no_open_different_asset,threshold_rejections
v7,development,2522,779,1743,0.3088818398096749,776,3,103
v7,validation_reused_history,700,688,12,0.9828571428571429,681,7,75
v7,authorized_holdout_use_1,216,215,1,0.9953703703703703,208,7,6
v8,development,2451,853,1598,0.34802121583027334,851,2,185
v8,validation_reused_history,775,756,19,0.9754838709677419,749,7,45
v8,authorized_holdout_use_1,274,269,5,0.9817518248175182,262,7,4
