asset,source_status,venue,stream_key,cache_sha256,return_rows
0G,selected,binance,binance_30m_041504790233049d,bc78e155506c258a18dccab5ee48e0709062fcb949154eb0ed9be52613db9c11,17152
1000000BOB,selected,binance,binance_30m_55a981a791452889,67b12d63efee0d9f6fbb313695a2ebb5aa87f66b03a81a629231097bed10b122,22158
1000000MOG,selected,binance,binance_30m_db69631d719dfcdf,a89343acc1c2cdc65ed610b728b66d80f35f351b928e8873c26be6ffc354b25d,32230
1000BONK,selected,binance,binance_30m_0f013f548f964a6f,4543dba6e74fb66457c58972879d61cc4e0ff28c266dfd56fdca4d9509ec6c50,35159
1000CAT,selected,binance,binance_30m_8ccaf44348579844,752ca64a433e7973aef574c5f430faa57fb4928cbe70839ac80202f8d231b288,33046
1000CHEEMS,selected,binance,binance_30m_1e806013b7c8f634,42363ee63467f36d319181adde33d4eb4e6816d9d58684261c21f2cd8c52dc5b,31367
1000FLOKI,selected,binance,binance_30m_070639f1ba5b6815,02e802f4d8ca4263e3a7bd2f95f155c3a5956d059d1a3444668f3c0db2bff935,35159
1000LUNC,selected,binance,binance_30m_141675ec8c36f3ee,7e11577ec612b7e183eb6a3c340e659e01432fdf91d993c01fb1e6be5380190c,35159
1000PEPE,selected,binance,binance_30m_4158666b29c2b6a0,357ef02eefee2830f6f25f3092316949d960bda885ed746b2c9e7ee90c64a128,35159
1000RATS,selected,binance,binance_30m_fee2246d31a5cc7b,cbd0780f2683c652111526fa102f44d9514e090095fa183468cb274df0f269d4,35159
1000SATS,selected,binance,binance_30m_78936aa37d85d3ce,764a05b51022ac9638da9c27ae099e9be3311c265422aaf5b269c0126f70db08,35159
1000SHIB,selected,binance,binance_30m_5ea763186dfdde5b,22ea609d72c236b2dbc4e56958c897e8532b072d4a9dadba5148887c392d80c9,35159
1000WHY,selected,binance,binance_30m_01d3331302a0d763,9654b332a7a3b1569eff3da7536805d379120d2290100415deb90f44238d5981,31368
1000X,selected,binance,binance_30m_071b408a709e023d,6992aa748a8edc61491e54c5e8c3ec1180b2bdd89c18d7337a5a3d2d0aa5ad6b,31942
1000XEC,selected,binance,binance_30m_4157459a328586c9,252f20f6e2b311de2f554061384230f5c0ab14d19ec8d8f35cf8af63988cea7f,35159
1INCH,selected,binance,binance_30m_5120a30125d30edc,1ea282f7e041c3b7a3eb5b37399ee31fec0081101204ff0e31ee37600dcb617d,35159
1MBABYDOGE,selected,binance,binance_30m_6bebd440a31d52ba,7251d9ce2c05c19f6c1eb0312c2f49036ceed99e6c52c4fd6653c43b58f7db6b,34727
2Z,selected,binance,binance_30m_bab99a5b2cdb896a,a331c77508309bb5f34528000a836ba2d6fdce78588cd3d105028a2d9206c717,16438
4,selected,binance,binance_30m_13ecb2b94fdb3dda,d9767e587e7a29ed1a62a3b50f47cc575d994b7956ff34f645c31a56678ee32e,16152
42,selected,binance,binance_30m_292b930fc4dfebe7,4433715536042c882e6f61dfab9e0b3c2e5ca50d86aa0d7ad0a3bafcb4bcdb18,15242
A,selected,binance,binance_30m_8d1d614cd65785c1,39bed5476cadf3a4113329beec809203f2a109c759f2fdc3ebbdd4333014f26c,22543
A2Z,selected,binance,binance_30m_dc20226041f7e129,cc2dbd19e0e83294babd05bf7974c741f40d6a78af0aebd254349fcf9120aaf7,19519
AAOI,selected,okx,okx_30m_b8c9330095d1f0d3,25e2f84962f239210932dd7df0af826a9c9932d7661d0a3a97e1a94aa14c3b52,5117
AAPL,selected,okx,okx_30m_ed8fa81d6c4f5dc8,b6febe17d9af1e42be229a338fd680f8ee86c21bf78780013bad31faf7396ed1,9102
AAVE,selected,binance,binance_30m_41776d1f1d3bd3d2,35b2b456baa899d8ff9c47e82fe2ed51727e8cabcf0ce090b6992a9cd58286fb,35159
ACE,selected,binance,binance_30m_7997bbc4f887d3a5,31dd44301645e558448259cb0c65ae0a0323ee5f72515554652b9b006233e0b5,35159
ACH,selected,binance,binance_30m_75c977b74c973505,a1df2ad27c359cc5cdb7b3b2901cda53250b2b5e0f22e485f5b03d87275685bb,35159
ACT,selected,binance,binance_30m_e1a0b237a006a19a,466a49498148d1025e1ba396dbdf5184a6246c7a83e87c31110e430e16fa84b3,32038
ACU,selected,binance,binance_30m_7c7b71dc17198e87,f4f201d27ba216318b2c81df8df66d8d0e7577ac0cd81dd325934122db096a18,11109
ACX,selected,binance,binance_30m_6f3ea426536b19d3,8da05741ca1e8652ba6e62ce4d617e557267da00931fac7fbea7473cc80a6238,30833
ADA,selected,binance,binance_30m_bb64e70fa6232678,61910e054ebcba487d3be62662455cd721fae05e604c33d73bc4c66a3b2c9ba6,35159
ADBE,selected,okx,okx_30m_1e2677939810132c,5f4fa86d3f6dcb734c675d68c4a49354406d52333e832af862912dcc92b4a36c,4732
AEHR,selected,okx,okx_30m_97645c85a122307a,ef380f8aa3de9f2b4d687baa0effc5814ce60038a53bfd3c2789413033b6f21d,2140
AEON,selected,okx,okx_30m_d24123b26e31157f,cde6d0a47de2f8cca79b527c81db54a410347d25c27f8901018bbfe7b6c88572,2136
AERO,selected,binance,binance_30m_c06a76f39630adea,ae34b361be9a409d14296b7899bd9bcdda3215310dd576d34bf07a9c5fc39ebb,30930
