side,period,arm,fixed_comparable,rescued_loss,harmed_winner,fixed_mean_delta_r,fixed_mean_delta_original_r,fixed_mean_delta_bp,serial_common_closed,serial_new_closed,serial_lost_closed
long,full,htf_touch__trail,1292,33,24,0.02057177318129165,0.04623829866977232,6.486636289162732,1266,0,26
long,full,htf_close__trail,1292,34,85,0.014055856356125704,0.04008863788029697,6.435032208641535,1270,56,22
long,full,htf_body__trail,1292,45,68,0.02107010832633453,0.045817867206183575,7.687316949191741,1263,46,29
long,full,original__tp2,1292,37,0,-0.061775809284644274,-0.061775809284644274,-8.96621074417191,1292,9,0
long,full,htf_touch__tp2,1292,54,19,-0.038748751062532755,-0.021575489402383925,-1.810845964146087,1268,7,24
long,full,htf_close__tp2,1292,51,82,-0.030713296107436616,-0.014351576695313367,-0.3586260136265113,1270,62,22
long,full,htf_body__tp2,1292,63,63,-0.038848101931089604,-0.024338683604972117,-2.2255778412258995,1263,53,29
long,earlier,htf_touch__trail,784,23,12,0.03482018854766574,0.06131901257429891,11.482725537297346,764,0,21
long,earlier,htf_close__trail,785,22,50,0.031999213574492015,0.05312846468174423,10.888110057614043,767,24,18
long,earlier,htf_body__trail,785,33,38,0.0677977259764128,0.09733840897798313,16.159369528687993,762,21,23
long,earlier,original__tp2,785,22,0,-0.07174169069213313,-0.07174169069213313,-5.57986641179094,785,5,0
long,earlier,htf_touch__tp2,784,37,12,-0.03110495657042708,-0.009995850142053392,4.749314801610207,766,4,19
long,earlier,htf_close__tp2,785,34,49,-0.020805315668532234,-0.0020814478074913686,5.821965466094298,767,26,18
long,earlier,htf_body__tp2,785,44,37,-0.013054430089573018,0.010608264074114183,5.091663492484118,762,24,23
long,later,htf_touch__trail,507,10,12,-0.003463903964823518,0.021253515030880615,-1.4197007727721436,501,0,6
long,later,htf_close__trail,507,12,35,-0.0137262647807925,0.01989876798062025,-0.45977274489578446,503,32,4
long,later,htf_body__trail,507,12,30,-0.051279358843905026,-0.0339525968783581,-5.4301609105805735,501,25,6
long,later,original__tp2,507,15,0,-0.04634540118823643,-0.04634540118823643,-14.209367156241068,507,4,0
long,later,htf_touch__tp2,507,17,7,-0.05268836856134493,-0.041280137473272555,-12.152152556788462,501,3,6
long,later,htf_close__tp2,507,17,33,-0.046054054775168246,-0.03334970524943619,-9.928180868815547,503,36,4
long,later,htf_body__tp2,507,19,26,-0.07878504945690912,-0.07844786295030297,-13.555034344110258,501,29,6
short,full,htf_touch__trail,1408,41,31,-0.025854811909784017,0.028105041476897175,1.1120549395694463,1372,0,36
short,full,htf_close__trail,1408,45,110,-0.06618932973189356,-0.02865383986338915,-4.1772006175335425,1378,48,30
short,full,htf_body__trail,1408,59,76,-0.04277442726264449,0.0011665030112834975,1.1832881191046998,1366,37,42
short,full,original__tp2,1408,42,0,-0.17795253755134557,-0.17795253755134557,-23.292534932166138,1408,10,0
short,full,htf_touch__tp2,1408,59,23,-0.1673984907812293,-0.15151998219168197,-22.875385228993167,1372,5,36
short,full,htf_close__tp2,1408,64,103,-0.1757347382462224,-0.16389544472418638,-23.08298036228275,1378,52,30
short,full,htf_body__tp2,1408,80,72,-0.16082028451713645,-0.14580362583065665,-20.22493328909369,1369,42,39
short,earlier,htf_touch__trail,798,15,25,-0.08294244748394483,-0.06680518017695533,-12.593956531682636,785,0,13
short,earlier,htf_close__trail,798,22,66,-0.05294916786910158,-0.02861134811143986,-1.5044508954319666,785,26,13
