side,period,arm,comparison,metric,difference,ci_low,ci_high,p,months,p_resolution,permutation_method,p_adjusted_primary30
long,full,original__trail,random,net_r,0.029802702016693525,-0.2034568105672174,0.25172136303328735,0.402959704029597,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,original__trail,random,net_return,-0.0012195039621344006,-0.00584341825069992,0.003362287460007454,0.6922307769223077,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_touch__trail,original__trail,net_r,0.009503726061973947,-0.03570950854250675,0.05871338554903314,0.35276472352764726,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_touch__trail,random,net_r,0.006498507771333933,-0.17845159235672978,0.19591858036610882,0.47205279472052797,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_touch__trail,original__trail,net_return,0.00029085566902061405,-0.0009757748459466889,0.0017493207588420766,0.35296470352964704,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_touch__trail,random,net_return,-0.0012395135157203339,-0.006596879115614367,0.004080289677241437,0.6696330366963303,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_close__trail,htf_touch__trail,net_r,-0.011491506660728693,-0.0799823041064686,0.05420204983271967,0.616938306169383,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_close__trail,random,net_r,0.02610483696862334,-0.13122598476885988,0.191002294473275,0.37976202379762025,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_close__trail,htf_touch__trail,net_return,2.873154491208005e-05,-0.0016956098544363767,0.0016762953291408588,0.47565243475652436,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_close__trail,random,net_return,-0.0014405798255582272,-0.005885544513316092,0.0031786598066572934,0.73002699730027,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_body__trail,htf_close__trail,net_r,0.001789010962567228,-0.047271739563811706,0.06950375917747034,0.49535046495350465,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_body__trail,random,net_r,0.03404578380202497,-0.1363465744081657,0.20946127817487614,0.35536446355364465,20,9.999000099990002e-05,monte_carlo_month_signs,
long,full,htf_body__trail,htf_close__trail,net_return,-3.879453537775616e-05,-0.0011986643081794437,0.0016591731484266457,0.5176482351764824,20,9.999000099990002e-05,monte_carlo_month_signs,
