side,period,arm,exit_reason,count,net_r,mean_net_bp
long,full,original__trail,initial_stop,739,-821.5648547822993,-254.13982447507095
long,full,original__trail,opposite_v6_next_open,178,-59.68106775946643,-95.21486932540908
long,full,original__trail,trailing_stop,375,871.6322723749664,519.0838846942974
long,full,htf_touch__trail,initial_stop,637,-699.2717963822654,-287.48463918007917
long,full,htf_touch__trail,opposite_v6_next_open,282,-98.45603126413299,-110.06833003508835
long,full,htf_touch__trail,trailing_stop,347,800.3393582223064,599.2834871724117
long,full,htf_close__trail,ma_close_next_open,904,-668.3164302794316,-196.17989652487432
long,full,htf_close__trail,opposite_v6_next_open,118,-21.30801293818944,-43.65528875619078
long,full,htf_close__trail,trailing_stop,304,677.1220051830098,580.1603216034225
long,full,htf_body__trail,ma_body_next_open,820,-694.6355277547027,-221.9528240181411
long,full,htf_body__trail,opposite_v6_next_open,165,-56.519665395723266,-85.04776565972438
long,full,htf_body__trail,trailing_stop,324,741.1548581329255,584.8016773061205
long,full,original__tp2,initial_stop,728,-808.7812116134389,-254.89029134064504
long,full,original__tp2,opposite_v6_next_open,162,-57.61220541943916,-104.84768699156916
long,full,original__tp2,tp2,411,775.6112334624312,440.8565521938206
long,full,htf_touch__tp2,initial_stop,630,-691.6224034059155,-287.8215316655223
long,full,htf_touch__tp2,opposite_v6_next_open,265,-102.42466767653589,-126.87517046360843
long,full,htf_touch__tp2,tp2,380,723.3290452787289,522.8795912936005
long,full,htf_close__tp2,ma_close_next_open,889,-668.0002175394613,-201.7056334957053
long,full,htf_close__tp2,opposite_v6_next_open,112,-25.615814583875483,-68.00338054877024
long,full,htf_close__tp2,tp2,331,629.7814215226001,521.5512857076519
long,full,htf_body__tp2,ma_body_next_open,805,-692.5511871422768,-227.7376274639545
long,full,htf_body__tp2,opposite_v6_next_open,158,-59.36868179713414,-102.35377292394637
long,full,htf_body__tp2,tp2,353,671.1176688904059,510.57002781164095
long,earlier,original__trail,initial_stop,437,-484.24844708313094,-255.8195564574488
long,earlier,original__trail,opposite_v6_next_open,118,-37.79595716088976,-78.67803831540971
long,earlier,original__trail,trailing_stop,230,541.8444858664238,503.2289556322393
long,earlier,htf_touch__trail,initial_stop,366,-400.66271415863304,-289.31685355720964
long,earlier,htf_touch__trail,opposite_v6_next_open,184,-59.06039709551679,-94.31991781003863
long,earlier,htf_touch__trail,trailing_stop,214,494.5137492815236,576.4993922364936
long,earlier,htf_close__trail,ma_close_next_open,529,-388.10140872744853,-199.3930285081458
long,earlier,htf_close__trail,opposite_v6_next_open,75,-7.13416057997602,-4.542359675606134
long,earlier,htf_close__trail,trailing_stop,187,427.4212828665237,566.4739392373339
long,earlier,htf_body__trail,ma_body_next_open,472,-390.47867567361703,-224.90118315102194
long,earlier,htf_body__trail,opposite_v6_next_open,109,-30.529137728882148,-58.74880954139161
long,earlier,htf_body__trail,trailing_stop,202,475.03556925023247,572.4605533255822
long,earlier,original__tp2,initial_stop,433,-479.78550284841504,-256.20256002635966
long,earlier,original__tp2,opposite_v6_next_open,105,-36.006571977039634,-89.17556792904259
long,earlier,original__tp2,tp2,252,476.57665906980174,435.58265207765595
long,earlier,htf_touch__tp2,initial_stop,363,-397.25896360657697,-291.70707759145836
long,earlier,htf_touch__tp2,opposite_v6_next_open,171,-63.1532485164715,-116.84673156475482
long,earlier,htf_touch__tp2,tp2,236,449.8987334226805,516.3963432843734
long,earlier,htf_close__tp2,ma_close_next_open,517,-385.4539578629508,-205.27649924063334
long,earlier,htf_close__tp2,opposite_v6_next_open,70,-10.972372075604353,-37.01673291009221
long,earlier,htf_close__tp2,tp2,206,392.4252857757732,510.8277153075317
long,earlier,htf_body__tp2,ma_body_next_open,463,-388.6936468522234,-230.76999205994431
long,earlier,htf_body__tp2,opposite_v6_next_open,103,-32.908563980235314,-80.8550952227663
long,earlier,htf_body__tp2,tp2,220,418.7205944542702,501.07923505064554
long,later,original__trail,initial_stop,302,-337.3164076991683,-251.70921892441154
long,later,original__trail,opposite_v6_next_open,60,-21.885110598576677,-127.73730364507443
long,later,original__trail,trailing_stop,145,329.7877865085426,544.2330825168721
long,later,htf_touch__trail,initial_stop,271,-298.6090822236324,-285.01013563015385
long,later,htf_touch__trail,opposite_v6_next_open,97,-39.249975632030825,-140.7455043175422
long,later,htf_touch__trail,trailing_stop,133,305.8256089407829,635.9436098512576
long,later,htf_close__trail,ma_close_next_open,375,-280.2150215519832,-191.64723834047263
long,later,htf_close__trail,opposite_v6_next_open,43,-14.17385235821342,-111.87551389674537
long,later,htf_close__trail,trailing_stop,117,249.7007223164862,602.0351378637522
long,later,htf_body__trail,ma_body_next_open,348,-304.1568520810857,-217.95390013676257
long,later,htf_body__trail,opposite_v6_next_open,56,-25.99052766684111,-136.23680524719353
long,later,htf_body__trail,trailing_stop,122,266.1192888826931,605.2353416017659
long,later,original__tp2,initial_stop,295,-328.9957087650239,-252.96414781212152
long,later,original__tp2,opposite_v6_next_open,57,-21.605633442399512,-133.7173800014866
long,later,original__tp2,tp2,159,299.03457439262945,449.215186340195
long,later,htf_touch__tp2,initial_stop,267,-294.3634397993386,-282.5389355190249
long,later,htf_touch__tp2,opposite_v6_next_open,93,-39.12576062347902,-146.3337505509349
long,later,htf_touch__tp2,tp2,144,273.43031185604843,533.5049144198335
long,later,htf_close__tp2,ma_close_next_open,372,-282.54625967651054,-196.74289803837254
long,later,htf_close__tp2,opposite_v6_next_open,42,-14.64344250827113,-119.64779327990034
long,later,htf_close__tp2,tp2,125,237.35613574682694,539.22372972705
long,later,htf_body__tp2,ma_body_next_open,342,-303.8575402900534,-223.6324087272782
long,later,htf_body__tp2,opposite_v6_next_open,55,-26.460117816898823,-142.61493298252
long,later,htf_body__tp2,tp2,133,252.3970744361357,526.2690835065206
short,full,original__trail,initial_stop,792,-882.3342418833092,-248.59179213065997
short,full,original__trail,opposite_v6_next_open,178,-51.16080315620409,-63.7496289765756
short,full,original__trail,trailing_stop,438,1188.1149413005635,568.7943485612523
short,full,htf_touch__trail,initial_stop,664,-726.5198474797126,-294.09290166251793
short,full,htf_touch__trail,opposite_v6_next_open,304,-91.92981625548092,-82.82879347585477
short,full,htf_touch__trail,trailing_stop,404,1042.5687001094932,655.067010210703
short,full,htf_close__trail,ma_close_next_open,969,-703.7982730865641,-194.72654649793344
short,full,htf_close__trail,opposite_v6_next_open,114,-14.834261291983106,-14.94505985984431
short,full,htf_close__trail,trailing_stop,343,871.7939574655196,647.9850061711309
short,full,htf_body__trail,ma_body_next_open,841,-697.494931902603,-216.4928284882355
