side,period,arm,closed,win_rate_pct,total_net_r,mean_net_r,mean_original_r,mean_gross_bp,mean_net_bp,total_net_bp,pf_r,median_risk_pct,median_position_multiplier,widened_pct,realized_gt5r,realized_gt10r,worst_net_r,worst_gross_r,net_r_q05,net_r_cvar05,gross_loss_beyond_1r,net_loss_beyond_2r,net_loss_beyond_2r_pct,mean_holding_hours,tp2_exits,ma_confirm_exits,matched,coverage_pct,paired_actual_r,random_r,excess_r,random_bp,paired_actual_bp,excess_bp
long,full,original__trail,1292,31.424148606811148,-9.613650166799275,-0.007440905701857024,-0.007440905701857024,12.181795459257957,-7.818204540742057,-10101.120266638736,0.9893125690989448,2.174078437951755,1.0,0.0,38,9,-1.5056456776947853,-1.0000000000000124,-1.193095036927623,-1.2598139571748357,0,0,0.0,15.337074303405572,0,0,1292,100.0,-0.007440905701857024,-0.03724360771855056,0.02980270201669351,4.376835080601958,-7.818204540742057,-12.195039621344003
long,full,htf_touch__trail,1266,31.911532385466035,2.611530575908013,0.002062820360116914,0.02047323753349517,15.090352149464088,-4.909647850535917,-6215.61417877847,1.003166384308414,2.5542405152555,1.0,42.25908372827804,27,5,-1.5017574989438294,-1.0000000000000124,-1.168923807390815,-1.2203982481664393,0,0,0.0,18.089060031595576,0,0,1266,100.0,0.002062820360116914,-0.004435687411217029,0.006498507771333952,7.485487306667422,-4.909647850535917,-12.395135157203343
long,full,htf_close__trail,1326,27.300150829562593,-12.502438034611252,-0.009428686300611805,0.008400780808115463,15.377667598584896,-4.622332401415115,-6129.212764276442,0.9825270553684461,2.559952777163035,1.0,42.835595776772244,22,4,-4.319488054607526,-4.085324232081928,-1.2395750582750602,-1.5106276515878811,129,6,0.4524886877828055,14.188536953242835,0,904,1326,100.0,-0.009428686300611805,-0.03553352326923513,0.026104836968623354,9.783465854167163,-4.622332401415115,-14.405798255582276
long,full,htf_body__trail,1309,29.182582123758593,-10.00033501750034,-0.007639675338044568,0.005205538029612758,14.989722244807336,-5.010277755192669,-6558.453581547204,0.987121108116337,2.5449609772650197,1.0,42.24598930481284,25,5,-4.425290102389103,-4.191126279863505,-1.4186262433968937,-1.8534375779858177,207,19,1.4514896867838043,15.386172650878533,0,820,1309,100.0,-0.007639675338044568,-0.041685459140069506,0.03404578380202494,7.778215320190962,-5.010277755192669,-12.78849307538364
long,full,original__tp2,1301,34.28132205995389,-90.78218357044696,-0.06977877292117368,-0.06977877292117368,3.5869220315422896,-16.41307796845772,-21353.414436963492,0.8968747349045829,2.17120994739359,1.0,0.0,0,0,-1.5056456776947853,-1.0000000000000124,-1.1917894736842134,-1.253493157956961,0,0,0.0,10.809761721752498,411,0,1301,100.0,-0.06977877292117368,-0.14694106399479212,0.07716229107361844,-20.228890827636697,-16.41307796845772,3.8158128591789784
long,full,htf_touch__tp2,1275,33.88235294117647,-70.71802580372257,-0.05546511827742946,-0.045088790894261724,7.250791819163078,-12.749208180836929,-16255.240430567084,0.9131244186400232,2.56058527663465,1.0,42.66666666666667,0,0,-1.5017574989438294,-1.0000000000000124,-1.167290526315786,-1.2205311481989232,0,0,0.0,13.605098039215687,380,0,1275,100.0,-0.05546511827742946,-0.09006995058607298,0.034604832308643536,-12.263478623693722,-12.749208180836929,-0.48572955714320637
long,full,htf_close__tp2,1332,28.753753753753752,-63.83461060073663,-0.04792388183238486,-0.041327262143100514,9.264856434000354,-10.735143565999651,-14299.211229911534,0.9103630593655422,2.5627037832888453,1.0,43.093093093093096,0,0,-4.319488054607526,-4.085324232081928,-1.2391389743589796,-1.5106276515878811,130,6,0.45045045045045046,10.624061561561561,331,889,1332,100.0,-0.04792388183238486,-0.09920463953479108,0.05128075770240623,-7.943089735820818,-10.735143565999651,-2.7920538301788356
long,full,htf_body__tp2,1316,30.927051671732524,-80.80220004900505,-0.06139984806155399,-0.058875911866539794,5.357548318421262,-14.642451681578745,-19269.466412957627,0.8951614457509165,2.5542405152555,1.0,42.5531914893617,0,0,-4.425290102389103,-4.191126279863505,-1.4174853951803628,-1.8534375779858177,208,19,1.4437689969604863,11.446808510638299,353,805,1316,100.0,-0.06139984806155399,-0.09427639775363232,0.03287654969207832,-6.494984716769168,-14.642451681578745,-8.14746696480958
long,earlier,original__trail,785,32.35668789808917,19.800081622403134,0.02522303391388934,0.02522303391388934,13.20446509846063,-6.7955349015393836,-5334.494897708416,1.0368958393828858,2.2123552123552,1.0,0.0,21,7,-1.5056456776947853,-1.0000000000000124,-1.1789277765097994,-1.2537764036754095,0,0,0.0,15.289808917197453,0,0,785,100.0,0.02522303391388934,0.0686490589954211,-0.0434260250815318,16.829605949501612,-6.7955349015393836,-23.625140851041
long,earlier,htf_touch__trail,764,33.50785340314136,34.79063802737375,0.045537484329023235,0.061325929574050767,20.16496944976935,0.16496944976934044,126.03665962377607,1.0721809820022739,2.61486942523819,1.0,42.67015706806283,15,4,-1.5017574989438294,-1.0000000000000124,-1.1549190023687896,-1.2137576062648165,0,0,0.0,18.227094240837697,0,0,762,99.73821989528795,0.038607590411360866,0.03932843852251675,-0.0007208481111559055,19.504006242180186,-1.3597549578937433,-20.863761200073924
long,earlier,htf_close__trail,791,28.445006321112515,32.185713559099156,0.040689903361692994,0.05392019355645379,20.140376208472624,0.14037620847261822,111.03758090184101,1.077506980761321,2.61952861952861,1.0,42.857142857142854,13,3,-2.4326780952380944,-2.384761904761904,-1.2098317922406876,-1.4076534191615473,71,2,0.2528445006321113,14.902654867256636,0,529,789,99.74715549936789,0.0383995165304029,-0.015656259659170897,0.05405577618957382,17.42098642863113,-0.5706600377447749,-17.991646466375915
long,earlier,htf_body__trail,783,30.906768837803323,54.027755847733346,0.06900096532277566,0.0835297323577737,23.933656557437516,3.933656557437499,3080.0530844735617,1.1226016005061443,2.61113657195233,1.0,42.27330779054917,15,4,-2.3469638095238117,-2.299047619047621,-1.366869623790982,-1.612982955777575,112,5,0.6385696040868455,16.17528735632184,0,472,781,99.74457215836526,0.0622997461124412,-0.03457964316144186,0.09687938927388305,14.658201969861732,2.4556762444747133,-12.202525725387027
long,earlier,original__tp2,790,35.063291139240505,-39.215415755653005,-0.0496397667793076,-0.0496397667793076,6.667955948868479,-13.332044051131533,-10532.314800393911,0.9256478592586186,2.211665086198905,1.0,0.0,0,0,-1.5056456776947853,-1.0000000000000124,-1.1788517306136026,-1.2526264513579703,0,0,0.0,10.70379746835443,252,0,790,100.0,-0.0496397667793076,-0.11074866871029904,0.06110890193099146,-18.26830134671565,-13.332044051131533,4.9362572955841175
long,earlier,htf_touch__tp2,770,35.324675324675326,-10.513478700367981,-0.01365386844203634,0.000845746903364686,14.803995781610018,-5.1960042183899935,-4000.9232481602953,0.9779411645722095,2.6208952422760903,1.0,43.116883116883116,0,0,-1.5017574989438294,-1.0000000000000124,-1.1534584104734182,-1.213181116865488,0,0,0.0,13.717857142857143,236,0,768,99.74025974025975,-0.018652960903094443,-0.06616315237911995,0.0475101914760255,-5.94862806446469,-6.2773742371437455,-0.32874617267905276
