arm,signal_i,status,blocking_trade,symbol,asset,timeframe,signal_bar_open
v9_long,1416,closed,,WIFUSDT,WIF,4h,2024-09-10 12:00:00+00:00
v9_long,1467,closed,,WIFUSDT,WIF,4h,2024-09-19 00:00:00+00:00
v9_long,1499,skipped_in_position,binance_um:WIFUSDT:4h:v9_long:1467,WIFUSDT,WIF,4h,2024-09-24 08:00:00+00:00
v9_long,1708,closed,,WIFUSDT,WIF,4h,2024-10-29 04:00:00+00:00
v9_long,3188,closed,,WIFUSDT,WIF,4h,2025-07-02 20:00:00+00:00
v9_long,3230,skipped_in_position,binance_um:WIFUSDT:4h:v9_long:3188,WIFUSDT,WIF,4h,2025-07-09 20:00:00+00:00
v9_long,3594,closed,,WIFUSDT,WIF,4h,2025-09-08 12:00:00+00:00
v9_long,4777,closed,,WIFUSDT,WIF,4h,2026-03-24 16:00:00+00:00
v9_long,4863,closed,,WIFUSDT,WIF,4h,2026-04-08 00:00:00+00:00
v9_long,4911,skipped_in_position,binance_um:WIFUSDT:4h:v9_long:4863,WIFUSDT,WIF,4h,2026-04-16 00:00:00+00:00
v10_4,1467,closed,,WIFUSDT,WIF,4h,2024-09-19 00:00:00+00:00
v10_4,3188,closed,,WIFUSDT,WIF,4h,2025-07-02 20:00:00+00:00
v10_4,4777,closed,,WIFUSDT,WIF,4h,2026-03-24 16:00:00+00:00
v10_4,4863,closed,,WIFUSDT,WIF,4h,2026-04-08 00:00:00+00:00
v10_4,4912,skipped_in_position,binance_um:WIFUSDT:4h:joint:4863,WIFUSDT,WIF,4h,2026-04-16 04:00:00+00:00
box_htf,1479,closed,,WIFUSDT,WIF,4h,2024-09-21 00:00:00+00:00
box_chart,1467,closed,,WIFUSDT,WIF,4h,2024-09-19 00:00:00+00:00
box_chart,3188,closed,,WIFUSDT,WIF,4h,2025-07-02 20:00:00+00:00
box_chart,4863,closed,,WIFUSDT,WIF,4h,2026-04-08 00:00:00+00:00
box_any,1467,closed,,WIFUSDT,WIF,4h,2024-09-19 00:00:00+00:00
box_any,3188,closed,,WIFUSDT,WIF,4h,2025-07-02 20:00:00+00:00
box_any,4863,closed,,WIFUSDT,WIF,4h,2026-04-08 00:00:00+00:00
