stage,factor,value,entry_spread_atr,entry_slope_atr_per_bar,strong_dwell_bars,neutral_dwell_bars,events,runner_armed_events,runner_armed_recall,median_signals_per_30d,max_signals_per_30d,median_runner_armed_precision,median_mean_net_bp,worst_fold_mean_net_bp,eligible
1,entry_spread_atr,0.0,0.0,0.0,1,8,556,251,0.6553524804177546,22.691868844583233,24.23076923076923,0.47389096483663884,-18.561354795790695,-36.525451869346035,True
1,entry_spread_atr,0.2,0.2,0.0,1,8,502,225,0.587467362924282,20.552035791496515,21.593406593406595,0.4639907816400999,-15.025559905681291,-32.35367067205506,True
1,entry_spread_atr,0.4,0.4,0.0,1,8,471,206,0.5378590078328982,19.315697814076387,20.274725274725274,0.4481535069587984,-17.77343585919222,-35.55075987285531,True
1,entry_spread_atr,0.6,0.6,0.0,1,8,434,191,0.49869451697127937,17.916316358395388,19.12087912087912,0.44074246660453553,-15.090597612161403,-33.79691563343156,True
1,entry_spread_atr,0.8,0.8,0.0,1,8,401,178,0.46475195822454307,16.440817919769394,17.47252747252747,0.4541378666168504,-15.706314362830447,-36.48116879341167,True
1,entry_spread_atr,1.0,1.0,0.0,1,8,348,157,0.40992167101827676,14.509973721930244,14.917127071823204,0.45766283524904217,-20.89681208908504,-38.35699669838694,True
2,entry_slope_atr_per_bar,0.0,1.0,0.0,1,8,348,157,0.40992167101827676,14.509973721930244,14.917127071823204,0.45766283524904217,-20.89681208908504,-38.35699669838694,True
2,entry_slope_atr_per_bar,0.01,1.0,0.01,1,8,348,156,0.4073107049608355,14.468081912082633,15.0,0.46022213612294977,-21.18434947882293,-38.554308427785585,True
2,entry_slope_atr_per_bar,0.02,1.0,0.02,1,8,346,155,0.4046997389033943,14.385208983905837,15.0,0.4571577847439916,-21.18434947882293,-36.083561987898165,True
2,entry_slope_atr_per_bar,0.03,1.0,0.03,1,8,346,155,0.4046997389033943,14.303687244775404,15.0,0.459830866807611,-20.731953695636268,-36.15278367355249,True
2,entry_slope_atr_per_bar,0.04,1.0,0.04,1,8,344,151,0.39425587467362927,14.183886765408506,14.917127071823204,0.4516064257028113,-20.631487745916257,-36.755636453307616,True
2,entry_slope_atr_per_bar,0.05,1.0,0.05,1,8,338,151,0.39425587467362927,13.896078549123228,14.67032967032967,0.456158810325477,-23.26962313509929,-36.224012723426746,True
3,strong_dwell_bars,1.0,1.0,0.05,1,8,338,151,0.39425587467362927,13.896078549123228,14.67032967032967,0.456158810325477,-23.26962313509929,-36.224012723426746,True
3,strong_dwell_bars,2.0,1.0,0.05,2,8,331,148,0.38642297650130547,13.728981503723276,14.175824175824175,0.45523672883787664,-25.6093703653988,-33.3137999328863,True
3,strong_dwell_bars,3.0,1.0,0.05,3,8,322,139,0.3629242819843342,13.400192169108816,14.010989010989011,0.4345145287030475,-28.945292956674464,-32.28006789945406,True
3,strong_dwell_bars,4.0,1.0,0.05,4,8,310,134,0.34986945169712796,13.222330156031813,13.532608695652174,0.43746091307066914,-29.793483395458594,-33.93918209112699,True
3,strong_dwell_bars,6.0,1.0,0.05,6,8,282,119,0.31070496083550914,11.982423653694372,12.880434782608695,0.4231464737793852,-25.67771947026587,-37.35632239140679,True
3,strong_dwell_bars,8.0,1.0,0.05,8,8,252,114,0.29765013054830286,10.602780446793178,11.868131868131869,0.45837104072398194,-18.992376556461025,-28.44242382321682,True
3,strong_dwell_bars,10.0,1.0,0.05,10,8,237,112,0.2924281984334204,9.945201777564257,10.714285714285714,0.4784313725490196,-11.95494038925553,-27.08257878985997,True
3,strong_dwell_bars,12.0,1.0,0.05,12,8,207,97,0.25326370757180156,8.299903915445592,9.725274725274724,0.4734944103858637,-18.820462170359487,-27.83572926926487,True
3,strong_dwell_bars,16.0,1.0,0.05,16,8,169,80,0.20887728459530025,7.232014172471775,7.417582417582418,0.4805555555555555,-23.349234330251974,-25.21460464064073,False
4,neutral_dwell_bars,8.0,1.0,0.05,12,8,207,97,0.25326370757180156,8.299903915445592,9.725274725274724,0.4734944103858637,-18.820462170359487,-27.83572926926487,True
4,neutral_dwell_bars,16.0,1.0,0.05,12,16,207,97,0.25326370757180156,8.299903915445592,9.725274725274724,0.4734944103858637,-18.820462170359487,-27.83572926926487,True
4,neutral_dwell_bars,24.0,1.0,0.05,12,24,207,97,0.25326370757180156,8.299903915445592,9.725274725274724,0.4734944103858637,-18.820462170359487,-27.83572926926487,True
4,neutral_dwell_bars,32.0,1.0,0.05,12,32,207,97,0.25326370757180156,8.299903915445592,9.725274725274724,0.4734944103858637,-18.820462170359487,-27.83572926926487,True
4,neutral_dwell_bars,48.0,1.0,0.05,12,48,207,97,0.25326370757180156,8.299903915445592,9.725274725274724,0.4734944103858637,-18.820462170359487,-27.83572926926487,True
4,neutral_dwell_bars,64.0,1.0,0.05,12,64,207,97,0.25326370757180156,8.299903915445592,9.725274725274724,0.4734944103858637,-18.820462170359487,-27.83572926926487,True
