fold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,runner_armed_events,runner_armed_precision,signals_per_30d,within_24h_previous_share,median_hours_between_signals,event_retention,runner_armed_recall,policy
2025H1,223,-4.297525660996751,-24.297525660996765,-58.960153080900284,0.2062780269058296,0.558236281247845,-0.6220112252699765,-0.6787950481593588,20.0,103.16065556553535,726.4286727832858,0.37788655553641814,101,0.452914798206278,36.96132596685083,0.6816143497757847,16.625,1.0,1.0,V3 position lock
2025H2,217,0.6449869602626697,-19.355013039737337,-50.41185325729279,0.2350230414746544,0.5902528955355123,-0.617945443339305,-0.6531038871841938,18.0,87.17660167051028,567.234601861718,0.39340047009242196,89,0.41013824884792627,35.380434782608695,0.6497695852534562,18.125,1.0,1.0,V3 position lock
2026P1,81,3.5381181979469387,-16.461881802053068,-61.04523548717487,0.24691358024691357,0.7177517518384358,-0.2338290722862032,-0.2626014690262145,13.0,86.35155845263533,623.5796164809071,0.4011609743670696,30,0.37037037037037035,41.186440677966104,0.7037037037037037,12.75,1.0,1.0,V3 position lock
